seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,2,0.01,100,2416,0.1,0.9242559671401978,0.08723767846822739,0.2953602520113825,0.14419236779212952
2,390,2,0.01,100,2416,0.1,0.9129537343978882,0.10025493800640106,0.3166306018160611,0.15800729393959045
3,390,2,0.01,100,2416,0.1,0.9143764972686768,0.09861628711223602,0.314032302657284,0.18529172241687775
4,390,2,0.01,100,2416,0.1,0.9090961813926697,0.10469784587621689,0.323570465086381,0.20531553030014038
5,390,2,0.01,100,2416,0.1,0.9184771180152893,0.09389340877532959,0.30642031390775903,0.18794697523117065
6,390,2,0.01,100,2416,0.1,0.9183171391487122,0.09407765418291092,0.3067208082000811,0.14736399054527283
7,390,2,0.01,100,2416,0.1,0.9136141538619995,0.09949429333209991,0.31542716010530847,0.1776657998561859
8,390,2,0.01,100,2416,0.1,0.9143815040588379,0.09861046820878983,0.31402303770390766,0.2562488615512848
9,390,2,0.01,100,2416,0.1,0.9171170592308044,0.09545986354351044,0.3089657967211103,0.1663043200969696
10,390,2,0.01,100,2416,0.1,0.9189441204071045,0.09335554391145706,0.3055413947592978,0.2519327998161316
11,390,2,0.01,100,2416,0.1,0.9087008237838745,0.10515321791172028,0.3242733691065615,0.17303653061389923
12,390,2,0.01,100,2416,0.1,0.9209443926811218,0.09105175733566284,0.301747837333862,0.1784549355506897
13,390,2,0.01,100,2416,0.1,0.9194167256355286,0.0928112268447876,0.30464935063903814,0.212448388338089
14,390,2,0.01,100,2416,0.1,0.9154322147369385,0.09740032255649567,0.312090247454956,0.28390857577323914
15,390,2,0.01,100,2416,0.1,0.9133585691452026,0.09978868067264557,0.3158934641182776,0.2309655398130417
16,390,2,0.01,100,2416,0.1,0.9169055819511414,0.09570341557264328,0.30935968640507006,0.150130495429039
17,390,2,0.01,100,2416,0.1,0.9151829481124878,0.09768741577863693,0.3125498612679854,0.1674429476261139
18,390,2,0.01,100,2416,0.1,0.9143610000610352,0.09863412380218506,0.31406070082419585,0.17855265736579895
19,390,2,0.01,100,2416,0.1,0.9149678945541382,0.09793512523174286,0.3129458822731861,0.14905327558517456
20,390,2,0.01,100,2416,0.1,0.9114929437637329,0.10193736851215363,0.31927631999907796,0.15082024037837982
21,390,2,0.01,100,2416,0.1,0.9190376400947571,0.09324781596660614,0.3053650536106025,0.1797230839729309
22,390,2,0.01,100,2416,0.1,0.9306797981262207,0.0798390656709671,0.28255807486420753,0.26603808999061584
23,390,2,0.01,100,2416,0.1,0.9094640016555786,0.10427417606115341,0.3229151220694897,0.16088344156742096
24,390,2,0.01,100,2416,0.1,0.9093347787857056,0.10442301630973816,0.3231455033104099,0.17868366837501526
25,390,2,0.01,100,2416,0.1,0.9094880819320679,0.10424649715423584,0.3228722613577014,0.175180584192276
26,390,2,0.01,100,2416,0.1,0.9141076803207397,0.0989258885383606,0.31452486155844755,0.1675044298171997
27,390,2,0.01,100,2416,0.1,0.912527859210968,0.10074540227651596,0.31740416234907187,0.16365563869476318
28,390,2,0.01,100,2416,0.1,0.9190278649330139,0.09325908869504929,0.30538351084341353,0.1853785365819931
29,390,2,0.01,100,2416,0.1,0.9057554602622986,0.10854551196098328,0.3294624591072301,0.21023742854595184
30,390,2,0.01,100,2416,0.1,0.9166629314422607,0.09598291665315628,0.30981109833761006,0.21711495518684387
1,390,2,0.01,100,6040,0.25,0.9137148857116699,0.0993783101439476,0.3152432555090554,0.11930733174085617
2,390,2,0.01,100,6040,0.25,0.9098076224327087,0.10387840867042542,0.3223017354443277,0.14537863433361053
3,390,2,0.01,100,6040,0.25,0.921139657497406,0.09082683175802231,0.30137490233598135,0.1624915599822998
4,390,2,0.01,100,6040,0.25,0.9164632558822632,0.09621282666921616,0.31018192511688386,0.11003382503986359
5,390,2,0.01,100,6040,0.25,0.9237115383148193,0.08786466717720032,0.2964197482915069,0.12341818958520889
6,390,2,0.01,100,6040,0.25,0.924287736415863,0.0872010663151741,0.2952982666985604,0.2044234275817871
7,390,2,0.01,100,6040,0.25,0.917991578578949,0.09445261210203171,0.30733143689188663,0.2933810353279114
8,390,2,0.01,100,6040,0.25,0.9179016947746277,0.09455617517232895,0.3074998783289661,0.13265207409858704
