seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,1,0.01,100,2304,0.1,0.9851459860801697,0.014495328068733215,0.1203965450863654,0.5369662642478943
2,390,1,0.01,100,2304,0.1,0.9943916201591492,0.005472927819937468,0.07397923911434523,0.29304513335227966
3,390,1,0.01,100,2304,0.1,0.9940658211708069,0.0057908943854272366,0.0760979262886134,0.2485467791557312
4,390,1,0.01,100,2304,0.1,0.9908166527748108,0.008961595594882965,0.09466570442817697,0.32461443543434143
5,390,1,0.01,100,2304,0.1,0.9944350719451904,0.0054305437952280045,0.07369222343794496,0.2594076991081238
6,390,1,0.01,100,2304,0.1,0.9904183745384216,0.00935027189552784,0.09669680395715176,0.3673940896987915
7,390,1,0.01,100,2304,0.1,0.9930593371391296,0.006773051805794239,0.08229855287788625,0.34110328555107117
8,390,1,0.01,100,2304,0.1,0.9930928945541382,0.006740309298038483,0.08209938670927136,0.3732258677482605
9,390,1,0.01,100,2304,0.1,0.9938952326774597,0.005957344546914101,0.07718383604689585,0.24216747283935547
10,390,1,0.01,100,2304,0.1,0.9930065274238586,0.006824608892202377,0.08261119108330528,0.3461749255657196
11,390,1,0.01,100,2304,0.1,0.9934507608413696,0.006391090340912342,0.07994429523682313,0.3614746928215027
12,390,1,0.01,100,2304,0.1,0.9940344095230103,0.005821527447551489,0.0762989347733734,0.2710985243320465
13,390,1,0.01,100,2304,0.1,0.9906358122825623,0.009138079360127449,0.09559330185806665,0.33166205883026123
14,390,1,0.01,100,2304,0.1,0.9929122924804688,0.006916559301316738,0.0831658541789642,0.3825073838233948
15,390,1,0.01,100,2304,0.1,0.9823135137557983,0.017259402200579643,0.13137504405548125,0.48184964060783386
16,390,1,0.01,100,2304,0.1,0.9863901734352112,0.01328118983656168,0.1152440446902211,0.42125406861305237
17,390,1,0.01,100,2304,0.1,0.9943237900733948,0.005539166275411844,0.07442557541203054,0.285562664270401
18,390,1,0.01,100,2304,0.1,0.9919036030769348,0.00790089275687933,0.08888696618109615,0.3410135507583618
19,390,1,0.01,100,2304,0.1,0.9903189539909363,0.009447280317544937,0.09719712093238635,0.35697776079177856
20,390,1,0.01,100,2304,0.1,0.9678685665130615,0.03135554492473602,0.17707496978606554,0.6443389654159546
21,390,1,0.01,100,2304,0.1,0.9944535493850708,0.00541249755769968,0.07356967824926028,0.30247148871421814
22,390,1,0.01,100,2304,0.1,0.9898751378059387,0.009880375117063522,0.09940007604153793,0.3753109276294708
23,390,1,0.01,100,2304,0.1,0.9865601658821106,0.013115289621055126,0.11452200496435228,0.44227221608161926
24,390,1,0.01,100,2304,0.1,0.9910797476768494,0.008704865351319313,0.09329986790622649,0.43635061383247375
25,390,1,0.01,100,2304,0.1,0.9891175031661987,0.010619697161018848,0.10305191488283393,0.3829146921634674
26,390,1,0.01,100,2304,0.1,0.9608323574066162,0.038221798837184906,0.19550396118029145,0.5747543573379517
27,390,1,0.01,100,2304,0.1,0.9900689721107483,0.00969118345528841,0.0984438086183606,0.4090844690799713
28,390,1,0.01,100,2304,0.1,0.9928613901138306,0.006966229062527418,0.08346393869526778,0.3427380621433258
29,390,1,0.01,100,2304,0.1,0.9908883571624756,0.008891628123819828,0.09429543002616737,0.4643286168575287
30,390,1,0.01,100,2304,0.1,0.9840559959411621,0.015558980405330658,0.12473564208088504,0.4038008153438568
1,390,1,0.01,100,5761,0.25,0.9966471791267395,0.0032718454021960497,0.05720004722197395,0.22787269949913025
2,390,1,0.01,100,5761,0.25,0.9971051812171936,0.002824903465807438,0.05314982093862065,0.20213854312896729
3,390,1,0.01,100,5761,0.25,0.9955577254295349,0.004334993194788694,0.06584066520615275,0.23776240646839142
4,390,1,0.01,100,5761,0.25,0.9948835968971252,0.004992865491658449,0.07066021151722127,0.21937783062458038
5,390,1,0.01,100,5761,0.25,0.996984601020813,0.002942559774965048,0.05424536639165642,0.19797027111053467
6,390,1,0.01,100,5761,0.25,0.9965982437133789,0.003319622715935111,0.05761616714026638,0.20469631254673004
7,390,1,0.01,100,5761,0.25,0.9970300197601318,0.002898244187235832,0.05383534329077722,0.1906086802482605
8,390,1,0.01,100,5761,0.25,0.9970290660858154,0.0028992192819714546,0.053844398798495785,0.24335798621177673
9,390,1,0.01,100,5761,0.25,0.9969732165336609,0.0029536986257880926,0.05434794040060849,0.19577550888061523
10,390,1,0.01,100,5761,0.25,0.9970611929893494,0.0028678278904408216,0.05355210444455775,0.1839524358510971
11,390,1,0.01,100,5761,0.25,0.9955675005912781,0.00432544993236661,0.06576815287330647,0.2589610517024994
12,390,1,0.01,100,5761,0.25,0.9947448372840881,0.005128251854330301,0.07161181365061425,0.31644943356513977
13,390,1,0.01,100,5761,0.25,0.9969926476478577,0.002934712916612625,0.0541729906559775,0.15835882723331451
14,390,1,0.01,100,5761,0.25,0.9972595572471619,0.002674287650734186,0.051713515165130536,0.2156583070755005
15,390,1,0.01,100,5761,0.25,0.9965255856513977,0.0033904898446053267,0.05822791293362082,0.23714755475521088
16,390,1,0.01,100,5761,0.25,0.9966551661491394,0.0032640525605529547,0.05713188742333789,0.2298547476530075
17,390,1,0.01,100,5761,0.25,0.9963860511779785,0.0035266599152237177,0.05938568779785006,0.24590368568897247
18,390,1,0.01,100,5761,0.25,0.9966545104980469,0.0032647009938955307,0.05713756202267936,0.19131973385810852
19,390,1,0.01,100,5761,0.25,0.9966089725494385,0.0033091262448579073,0.057525005387726015,0.1800258606672287
20,390,1,0.01,100,5761,0.25,0.9972217679023743,0.002711143344640732,0.05206864070283314,0.1940910816192627
21,390,1,0.01,100,5761,0.25,0.9968703389167786,0.0030540914740413427,0.05526383513692605,0.21862399578094482
22,390,1,0.01,100,5761,0.25,0.9964791536331177,0.0034358242992311716,0.05861590483163398,0.22762992978096008
23,390,1,0.01,100,5761,0.25,0.9969627857208252,0.002963881241157651,0.05444153966556834,0.19002553820610046
24,390,1,0.01,100,5761,0.25,0.9968726634979248,0.0030518039129674435,0.055243134532423514,0.20632816851139069
25,390,1,0.01,100,5761,0.25,0.9964190125465393,0.003494499484077096,0.05911429170748048,0.2202550768852234
26,390,1,0.01,100,5761,0.25,0.9963688254356384,0.00354346027597785,0.05952697099616148,0.2383750081062317
27,390,1,0.01,100,5761,0.25,0.9949027299880981,0.0049741812981665134,0.07052787603612144,0.2616109549999237
28,390,1,0.01,100,5761,0.25,0.9967726469039917,0.0031494207214564085,0.056119699940897834,0.2522796094417572
29,390,1,0.01,100,5761,0.25,0.9963056445121765,0.003605128964409232,0.06004272615737257,0.21077482402324677
30,390,1,0.01,100,5761,0.25,0.9960222244262695,0.0038817040622234344,0.06230332304318474,0.24830985069274902
1,390,1,0.01,100,11523,0.5,0.997909426689148,0.0020401093643158674,0.045167569829645114,0.1804181933403015
2,390,1,0.01,100,11523,0.5,0.9958564639091492,0.004043469671159983,0.06358828249890056,0.26539769768714905
3,390,1,0.01,100,11523,0.5,0.9929616451263428,0.006868371739983559,0.0828756402085894,0.21365268528461456
4,390,1,0.01,100,11523,0.5,0.9963181018829346,0.0035930078011006117,0.05994170335501496,0.19614408910274506
5,390,1,0.01,100,11523,0.5,0.9960637092590332,0.0038412297144532204,0.06197765496090684,0.23982279002666473
6,390,1,0.01,100,11523,0.5,0.997094988822937,0.0028348348569124937,0.053243167232166926,0.22815166413784027
