seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,100,2378,0.1,0.9988431930541992,0.0011751323472708464,0.034280203431001494,0.16357028484344482
2,380,2,0.01,100,2378,0.1,0.9984966516494751,0.0015271675074473023,0.03907899061448878,0.20959115028381348
3,380,2,0.01,100,2378,0.1,0.9989595413208008,0.0010569115402176976,0.03251017594873484,0.21102450788021088
4,380,2,0.01,100,2378,0.1,0.9984914064407349,0.0015324678970500827,0.039146748230856704,0.20973017811775208
5,380,2,0.01,100,2378,0.1,0.9975301623344421,0.00250891107134521,0.05008903144746572,0.21139471232891083
6,380,2,0.01,100,2378,0.1,0.9988389611244202,0.0011794267920777202,0.03434278369727358,0.20179152488708496
7,380,2,0.01,100,2378,0.1,0.9987433552742004,0.001276532537303865,0.03572859551261237,0.20763640105724335
8,380,2,0.01,100,2378,0.1,0.9983099699020386,0.0017168024787679315,0.04143431523227977,0.28146377205848694
9,380,2,0.01,100,2378,0.1,0.9985949397087097,0.0014273033011704683,0.037779667827688324,0.22154010832309723
10,380,2,0.01,100,2378,0.1,0.998721182346344,0.0012990557588636875,0.03604241610746549,0.18305867910385132
11,380,2,0.01,100,2378,0.1,0.9989113807678223,0.0011058804811909795,0.03325478132826887,0.20641162991523743
12,380,2,0.01,100,2378,0.1,0.9987509250640869,0.0012688551796600223,0.03562099352432526,0.15495425462722778
13,380,2,0.01,100,2378,0.1,0.9981947541236877,0.0018338150111958385,0.04282306634508835,0.27981215715408325
14,380,2,0.01,100,2378,0.1,0.9988430738449097,0.0011752154678106308,0.03428141577897025,0.14751817286014557
15,380,2,0.01,100,2378,0.1,0.9989251494407654,0.0010918600019067526,0.03304330494830613,0.15677541494369507
16,380,2,0.01,100,2378,0.1,0.998682975769043,0.0013378671137616038,0.03657686582748177,0.21205125749111176
17,380,2,0.01,100,2378,0.1,0.9989319443702698,0.0010849800892174244,0.03293903594851289,0.17496244609355927
18,380,2,0.01,100,2378,0.1,0.9983392953872681,0.0016870081890374422,0.041073205244264076,0.22152483463287354
19,380,2,0.01,100,2378,0.1,0.9987229108810425,0.001297297072596848,0.03601801039198095,0.2057933509349823
20,380,2,0.01,100,2378,0.1,0.9987248778343201,0.0012952915858477354,0.03599015956963424,0.2269965261220932
21,380,2,0.01,100,2378,0.1,0.9989088773727417,0.0011083765421062708,0.03329228952935305,0.1784583032131195
22,380,2,0.01,100,2378,0.1,0.9987818598747253,0.0012374096550047398,0.035176834067390715,0.22541043162345886
23,380,2,0.01,100,2378,0.1,0.9989352822303772,0.0010815637651830912,0.03288713677386785,0.16413827240467072
24,380,2,0.01,100,2378,0.1,0.9988091588020325,0.001209718408063054,0.03478100642682805,0.2619066536426544
25,380,2,0.01,100,2378,0.1,0.9988254308700562,0.0011931448243558407,0.03454192849792612,0.16938841342926025
26,380,2,0.01,100,2378,0.1,0.9987658858299255,0.0012536519207060337,0.0354069473508524,0.18126502633094788
27,380,2,0.01,100,2378,0.1,0.996668815612793,0.003383899573236704,0.058171295096780366,0.2679314911365509
28,380,2,0.01,100,2378,0.1,0.9987223744392395,0.0012978370068594813,0.03602550494940329,0.16400644183158875
29,380,2,0.01,100,2378,0.1,0.9987968802452087,0.0012221705401316285,0.03495955577709231,0.294959157705307
30,380,2,0.01,100,2378,0.1,0.9985172748565674,0.0015062192687764764,0.03881004082420523,0.23795607686042786
1,380,2,0.01,100,5945,0.25,0.9964424967765808,0.0036138349678367376,0.06011518084341706,0.2562403380870819
2,380,2,0.01,100,5945,0.25,0.9979991912841797,0.0020325048826634884,0.045083310466995305,0.23749636113643646
3,380,2,0.01,100,5945,0.25,0.9984691143035889,0.0015551492106169462,0.03943538018856857,0.16068804264068604
4,380,2,0.01,100,5945,0.25,0.999384343624115,0.0006253892206586897,0.02500778320160925,0.10699108242988586
5,380,2,0.01,100,5945,0.25,0.9994357228279114,0.000573239172808826,0.02394241367967787,0.12812849879264832
6,380,2,0.01,100,5945,0.25,0.9994282722473145,0.0005808055284433067,0.02409990722893569,0.16826891899108887
7,380,2,0.01,100,5945,0.25,0.9985331296920776,0.001490104477852583,0.038601871429408484,0.21148444712162018
8,380,2,0.01,100,5945,0.25,0.9992080926895142,0.0008044164278544486,0.02836223594596252,0.14535407721996307
9,380,2,0.01,100,5945,0.25,0.9987166523933411,0.0013036478776484728,0.036106064278019455,0.1548561304807663
10,380,2,0.01,100,5945,0.25,0.9993105530738831,0.0007003483478911221,0.026464095448193996,0.16852368414402008
11,380,2,0.01,100,5945,0.25,0.9995971918106079,0.00040917887235991657,0.020228170267226755,0.16155196726322174
12,380,2,0.01,100,5945,0.25,0.9978014826774597,0.0022333243396133184,0.047258061107215546,0.12520715594291687
13,380,2,0.01,100,5945,0.25,0.9994540810585022,0.0005545404856093228,0.02354868330946176,0.10857408493757248
14,380,2,0.01,100,5945,0.25,0.989134669303894,0.01103733479976654,0.10505872072211112,0.3448575735092163
15,380,2,0.01,100,5945,0.25,0.9993833899497986,0.0006263820687308908,0.025027626110578103,0.14888738095760345
16,380,2,0.01,100,5945,0.25,0.9994896054267883,0.0005184985348023474,0.022770562900427987,0.11521559953689575
17,380,2,0.01,100,5945,0.25,0.9988226890563965,0.001195947639644146,0.034582475903904654,0.15917827188968658
18,380,2,0.01,100,5945,0.25,0.9989580512046814,0.0010584607953205705,0.03253399445688418,0.23037676513195038
19,380,2,0.01,100,5945,0.25,0.9993891716003418,0.0006205116515047848,0.024910071286625913,0.12815260887145996
20,380,2,0.01,100,5945,0.25,0.9992546439170837,0.0007571381866000593,0.027516144108505815,0.1232256144285202
21,380,2,0.01,100,5945,0.25,0.9990172386169434,0.0009983041090890765,0.03159595083375521,0.16223777830600739
22,380,2,0.01,100,5945,0.25,0.9990072846412659,0.001008408609777689,0.03175545007991052,0.17200645804405212
23,380,2,0.01,100,5945,0.25,0.9992662668228149,0.0007453436264768243,0.02730098215223812,0.1312227100133896
