seed,max_neurons,layers,learn_rate,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,1,0.9937292337417603,0.006376547738909721,0.0798532888421618,0.4380035400390625
1,350,1,0.01,2,0.9965543150901794,0.0035038134083151817,0.059193018239613204,0.24662885069847107
1,350,1,0.01,3,0.9982659816741943,0.0017632772214710712,0.041991394612123464,0.185827374458313
1,350,1,0.01,4,0.9986268877983093,0.0013962849043309689,0.037366895834829106,0.16205546259880066
1,350,1,0.01,5,0.998670220375061,0.0013521985383704305,0.03677225228851818,0.18599681556224823
1,350,1,0.01,6,0.9987731575965881,0.0012475157855078578,0.03532018948856104,0.18320901691913605
1,350,1,0.01,7,0.9987730979919434,0.001247612526640296,0.035321558949744786,0.141037255525589
1,350,1,0.01,8,0.9983357787132263,0.0016922708600759506,0.04113721988754163,0.25904878973960876
1,350,1,0.01,9,0.9992565512657166,0.0007559880032204092,0.02749523600954189,0.17458000779151917
1,350,1,0.01,10,0.9993022680282593,0.0007094961474649608,0.026636368886636196,0.10110532492399216
1,350,1,0.01,11,0.9978829026222229,0.002152838511392474,0.046398690837053516,0.23394502699375153
1,350,1,0.01,12,0.9992128610610962,0.0008004450355656445,0.028292137345305755,0.1604163646697998
1,350,1,0.01,13,0.9980357885360718,0.001997363520786166,0.04469187309552114,0.19492709636688232
1,350,1,0.01,14,0.999064028263092,0.0009517681901343167,0.03085074051192802,0.23118771612644196
1,350,1,0.01,15,0.9984405636787415,0.0015857736580073833,0.03982177366727132,0.23084697127342224
1,350,1,0.01,16,0.9987316727638245,0.001289732870645821,0.03591285105148046,0.17668166756629944
1,350,1,0.01,17,0.9988792538642883,0.0011396309128031135,0.03375841988012936,0.1988268494606018
1,350,1,0.01,18,0.9992918372154236,0.0007201294065453112,0.02683522697025891,0.14906856417655945
1,350,1,0.01,19,0.9984872937202454,0.0015382233541458845,0.0392201906439258,0.19433468580245972
1,350,1,0.01,20,0.9992008209228516,0.0008126896573230624,0.02850771224288372,0.1515597403049469
