seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,100,2378,0.1,0.9967243671417236,0.003330906853079796,0.05771400915791413,0.3237403333187103
2,350,1,0.01,100,2378,0.1,0.9982534646987915,0.0017759810434654355,0.042142390101481374,0.2193346619606018
3,350,1,0.01,100,2378,0.1,0.9969967603683472,0.003053882857784629,0.055261947647405885,0.2437981516122818
4,350,1,0.01,100,2378,0.1,0.9980112910270691,0.0020222626626491547,0.04496957485510792,0.20304347574710846
5,350,1,0.01,100,2378,0.1,0.9986073970794678,0.0014160958817228675,0.03763104943690605,0.1985054612159729
6,350,1,0.01,100,2378,0.1,0.9983980059623718,0.0016290249768644571,0.040361181559320794,0.30976977944374084
7,350,1,0.01,100,2378,0.1,0.9985928535461426,0.0014308809768408537,0.03782698741429,0.13693295419216156
8,350,1,0.01,100,2378,0.1,0.9983711242675781,0.0016563576646149158,0.04069837422569746,0.27544164657592773
9,350,1,0.01,100,2378,0.1,0.9984111785888672,0.0016156083438545465,0.04019463078390628,0.24332170188426971
10,350,1,0.01,100,2378,0.1,0.9985603094100952,0.001463965862058103,0.038261806832115275,0.21232350170612335
11,350,1,0.01,100,2378,0.1,0.9985814094543457,0.0014425107510760427,0.03798039956446012,0.1596728265285492
12,350,1,0.01,100,2378,0.1,0.9985364079475403,0.0014882839750498533,0.038578283723486886,0.16873691976070404
13,350,1,0.01,100,2378,0.1,0.9986594915390015,0.0013631238834932446,0.03692050762778384,0.1415739357471466
14,350,1,0.01,100,2378,0.1,0.9984358549118042,0.0015905327163636684,0.039881483377172275,0.2478054314851761
15,350,1,0.01,100,2378,0.1,0.9979896545410156,0.0020442798268049955,0.04521371281818156,0.32369694113731384
16,350,1,0.01,100,2378,0.1,0.9959468245506287,0.004121555481106043,0.06419934174978777,0.29380127787590027
17,350,1,0.01,100,2378,0.1,0.9985140562057495,0.0015110292006283998,0.03887195905313237,0.16695892810821533
18,350,1,0.01,100,2378,0.1,0.9986112117767334,0.0014122298453003168,0.03757964668940245,0.12707841396331787
19,350,1,0.01,100,2378,0.1,0.9977095723152161,0.0023290885146707296,0.04826063110518479,0.2269190102815628
20,350,1,0.01,100,2378,0.1,0.998479962348938,0.0015456578694283962,0.03931485558193488,0.2253962606191635
