modelo,data_fraction,n_seeds,mape_mean,mape_std,area_std,cv_final,range,mape_best,mape_worst
Baseline,0.1,30,0.1886494368314743,0.036695274325527036,0.036695274325527036,0.19451568444547188,0.1397162079811096,0.1441923677921295,0.2839085757732391
Baseline,0.25,30,0.14372532193859416,0.039352532066080845,0.039352532066080845,0.2738037496474977,0.20146663486957558,0.0919144004583358,0.2933810353279114
Baseline,0.5,30,0.12079768677552538,0.036357790062903406,0.036357790062903406,0.3009808468473901,0.16561176627874377,0.0862293913960456,0.2518411576747894
Baseline,1.0,30,0.09647354359428086,0.02480387903928377,0.02480387903928377,0.257105503904743,0.12204728275537491,0.0651079043745994,0.1871551871299743
TL_arq,0.1,30,0.20844495743513108,0.06588462719787218,0.06588462719787218,0.316076857932031,0.25542497634887695,0.1400400102138519,0.3954649865627289
TL_arq,0.25,30,0.13055128976702687,0.03376512275866206,0.03376512275866206,0.25863492286378054,0.1507480964064598,0.0879283472895622,0.238676443696022
TL_arq,0.5,30,0.11503800575931863,0.027937612996883066,0.027937612996883066,0.24285550512179305,0.12120722234249111,0.0727347284555435,0.1939419507980346
TL_arq,1.0,30,0.09512666960557298,0.030430342934208494,0.030430342934208494,0.3198928655905109,0.12827017158269882,0.0625048205256462,0.190774992108345
TL_wei,0.1,30,0.16326695332924518,0.025589908895803707,0.025589908895803707,0.15673661064893477,0.09685315191745761,0.1296801418066024,0.22653329372406
TL_wei,0.25,30,0.12170096759994822,0.021552822391662223,0.021552822391662223,0.1770965573791493,0.0866081938147545,0.0863201394677162,0.1729283332824707
TL_wei,0.5,30,0.10627893184622125,0.014147402592665961,0.014147402592665961,0.13311577701153732,0.07288229465484619,0.0866627693176269,0.1595450639724731
TL_wei,1.0,30,0.09898038879036901,0.012495662441188757,0.012495662441188757,0.12624382055776093,0.057429268956184304,0.0693221390247345,0.1267514079809188
