seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,400,2,0.01,100,2416,0.1,0.9958646297454834,0.004215834196656942,0.06492945553950798,0.15370211005210876
2,400,2,0.01,100,2416,0.1,0.9976075291633606,0.0024390467442572117,0.04938670614909656,0.15943026542663574
3,400,2,0.01,100,2416,0.1,0.9960355162620544,0.0040416233241558075,0.06357376285981355,0.16298697888851166
4,400,2,0.01,100,2416,0.1,0.9964585304260254,0.003610387910157442,0.06008650356076181,0.14171183109283447
5,400,2,0.01,100,2416,0.1,0.9951143860816956,0.004980732221156359,0.07057430283861371,0.16604799032211304
6,400,2,0.01,100,2416,0.1,0.9973741769790649,0.0026768988464027643,0.05173875574849828,0.18098951876163483
7,400,2,0.01,100,2416,0.1,0.9943320155143738,0.005778300575911999,0.07601513386104111,0.1627262383699417
8,400,2,0.01,100,2416,0.1,0.992318332195282,0.00783117301762104,0.08849391514460776,0.176652729511261
9,400,2,0.01,100,2416,0.1,0.9977884888648987,0.0022545785177499056,0.04748240219017889,0.15749578177928925
10,400,2,0.01,100,2416,0.1,0.9964039325714111,0.0036660816986113787,0.06054817667454057,0.1735091656446457
11,400,2,0.01,100,2416,0.1,0.9925215244293213,0.007624021265655756,0.08731564158646352,0.165326789021492
12,400,2,0.01,100,2416,0.1,0.9893339276313782,0.010873641818761826,0.10427675588913296,0.16912977397441864
13,400,2,0.01,100,2416,0.1,0.9970531463623047,0.0030042098369449377,0.05481067265546864,0.1925007700920105
14,400,2,0.01,100,2416,0.1,0.9968714118003845,0.0031895022839307785,0.05647567869384819,0.14685466885566711
15,400,2,0.01,100,2416,0.1,0.994080126285553,0.0060350908897817135,0.07768584742269156,0.17675907909870148
16,400,2,0.01,100,2416,0.1,0.9960390329360962,0.004038049839437008,0.06354565161706195,0.18865612149238586
17,400,2,0.01,100,2416,0.1,0.9966927170753479,0.003371642902493477,0.05806584970956231,0.17230316996574402
18,400,2,0.01,100,2416,0.1,0.9974297881126404,0.002620259765535593,0.05118847297522747,0.16319039463996887
19,400,2,0.01,100,2416,0.1,0.9966700077056885,0.0033948326017707586,0.058265192025520336,0.17277772724628448
20,400,2,0.01,100,2416,0.1,0.9943428635597229,0.005767263006418943,0.0759424980259337,0.16520242393016815
21,400,2,0.01,100,2416,0.1,0.9969750642776489,0.003083830466493964,0.055532247086660956,0.17073099315166473
22,400,2,0.01,100,2416,0.1,0.9899807572364807,0.010214220732450485,0.10106542797836698,0.36447563767433167
23,400,2,0.01,100,2416,0.1,0.9957637190818787,0.00431870948523283,0.06571688888887567,0.1538456380367279
24,400,2,0.01,100,2416,0.1,0.9958995580673218,0.004180244170129299,0.06465480778820164,0.15501604974269867
25,400,2,0.01,100,2416,0.1,0.9978213906288147,0.0022210380993783474,0.04712789088616578,0.16840440034866333
26,400,2,0.01,100,2416,0.1,0.9936805367469788,0.006442470476031303,0.08026500156376566,0.18967205286026
27,400,2,0.01,100,2416,0.1,0.9954617023468018,0.004626610781997442,0.06801919421749601,0.18417353928089142
28,400,2,0.01,100,2416,0.1,0.9966380596160889,0.003427373943850398,0.05854377801141978,0.13495400547981262
29,400,2,0.01,100,2416,0.1,0.9937981963157654,0.006322519388049841,0.07951427159981937,0.2148429900407791
30,400,2,0.01,100,2416,0.1,0.9974642992019653,0.002585036912932992,0.05084325828399466,0.11961933225393295
1,400,2,0.01,100,6040,0.25,0.9969857335090637,0.003072904422879219,0.05543378412916819,0.10253438353538513
2,400,2,0.01,100,6040,0.25,0.9948531985282898,0.005246956367045641,0.07243587762321681,0.15490053594112396
3,400,2,0.01,100,6040,0.25,0.9976909160614014,0.00235403748229146,0.04851842415301078,0.1135428249835968
4,400,2,0.01,100,6040,0.25,0.9956932067871094,0.004390618298202753,0.06626174083287242,0.17078948020935059
5,400,2,0.01,100,6040,0.25,0.9980416893959045,0.0019964424427598715,0.044681567147537155,0.12508723139762878
6,400,2,0.01,100,6040,0.25,0.9925535321235657,0.007591425906866789,0.08712878919660705,0.17022787034511566
7,400,2,0.01,100,6040,0.25,0.9955493807792664,0.004537259694188833,0.06735918418589133,0.12713861465454102
8,400,2,0.01,100,6040,0.25,0.9971679449081421,0.002887183800339699,0.05373252088204776,0.14396226406097412
9,400,2,0.01,100,6040,0.25,0.9982349872589111,0.0017993536312133074,0.04241878865801459,0.11843546479940414
10,400,2,0.01,100,6040,0.25,0.9978933334350586,0.0021476643159985542,0.04634289930505594,0.1418740451335907
11,400,2,0.01,100,6040,0.25,0.9974283576011658,0.002621665131300688,0.051202198500657055,0.15009146928787231
12,400,2,0.01,100,6040,0.25,0.9973747730255127,0.002676342148333788,0.05173337557451464,0.12935738265514374
13,400,2,0.01,100,6040,0.25,0.9970229864120483,0.003034978872165084,0.055090642328485186,0.10929176956415176
14,400,2,0.01,100,6040,0.25,0.9972243905067444,0.00282962410710752,0.053194211218021835,0.1015465185046196
15,400,2,0.01,100,6040,0.25,0.9968058466911316,0.0032563363201916218,0.05706431739880555,0.13821694254875183
16,400,2,0.01,100,6040,0.25,0.9990434646606445,0.0009751523029990494,0.03122742869656497,0.11442428082227707
17,400,2,0.01,100,6040,0.25,0.9963883757591248,0.0036818920634686947,0.06067859641973185,0.09918588399887085
18,400,2,0.01,100,6040,0.25,0.9685731530189514,0.03203849121928215,0.17899299209545091,0.6665496826171875
19,400,2,0.01,100,6040,0.25,0.9991036057472229,0.0009138428722508252,0.03022983414196686,0.10867148637771606
20,400,2,0.01,100,6040,0.25,0.9977325201034546,0.002311615739017725,0.048079265167197856,0.11582650989294052
21,400,2,0.01,100,6040,0.25,0.9972465634346008,0.0028070099651813507,0.05298122276034549,0.11762845516204834
22,400,2,0.01,100,6040,0.25,0.9956203103065491,0.004464943893253803,0.06682023565697598,0.16043119132518768
23,400,2,0.01,100,6040,0.25,0.9983270168304443,0.0017055388307198882,0.04129816982288547,0.11266383528709412
24,400,2,0.01,100,6040,0.25,0.9915530681610107,0.008611357770860195,0.09279740174627842,0.119805708527565
25,400,2,0.01,100,6040,0.25,0.9989798069000244,0.0010400412138551474,0.03224966998056177,0.09822870045900345
26,400,2,0.01,100,6040,0.25,0.9960865378379822,0.003989651333540678,0.063163686826694,0.1369621902704239
27,400,2,0.01,100,6040,0.25,0.9982936382293701,0.0017395825125277042,0.04170830268097354,0.09217756241559982
28,400,2,0.01,100,6040,0.25,0.9982999563217163,0.0017331489361822605,0.04163110539226962,0.10006748884916306
29,400,2,0.01,100,6040,0.25,0.9974504113197327,0.0025992130395025015,0.0509824777693523,0.11302218586206436
30,400,2,0.01,100,6040,0.25,0.9987126588821411,0.0013124046381562948,0.036227125723086215,0.11205602437257767
1,400,2,0.01,100,12080,0.5,0.9939731359481812,0.006144138053059578,0.07838455238795192,0.057050444185733795
2,400,2,0.01,100,12080,0.5,0.9991816282272339,0.0008342841756530106,0.028883977836388994,0.09075939655303955
3,400,2,0.01,100,12080,0.5,0.9964760541915894,0.003592525376006961,0.05993767910093751,0.07112326472997665
4,400,2,0.01,100,12080,0.5,0.9975796341896057,0.0024674974847584963,0.04967391151055548,0.10448959469795227
5,400,2,0.01,100,12080,0.5,0.9959187507629395,0.004160712007433176,0.06450358135354328,0.09775359183549881
6,400,2,0.01,100,12080,0.5,0.9954281449317932,0.0046608299016952515,0.0682702709947401,0.0889487937092781
7,400,2,0.01,100,12080,0.5,0.9976894855499268,0.0023554775398224592,0.04853326220049976,0.07611997425556183
8,400,2,0.01,100,12080,0.5,0.9981063604354858,0.0019305188907310367,0.0439376705200792,0.09273751825094223
9,400,2,0.01,100,12080,0.5,0.9969952702522278,0.003063180949538946,0.05534601114388413,0.07945217192173004
10,400,2,0.01,100,12080,0.5,0.9995535016059875,0.0004552039026748389,0.021335508024765637,0.0886007621884346
11,400,2,0.01,100,12080,0.5,0.9989026784896851,0.0011186841875314713,0.03344673657520971,0.07081799954175949
12,400,2,0.01,100,12080,0.5,0.9980641603469849,0.001973491394892335,0.04442399571056542,0.061506714671850204
13,400,2,0.01,100,12080,0.5,0.9994510412216187,0.0005596625269390643,0.023657187637989945,0.08182030916213989
14,400,2,0.01,100,12080,0.5,0.9991403222084045,0.0008764288504607975,0.029604541044589722,0.09000765532255173
15,400,2,0.01,100,12080,0.5,0.9983235597610474,0.0017090779729187489,0.041340996273901635,0.08655434101819992
16,400,2,0.01,100,12080,0.5,0.9956284761428833,0.004456616006791592,0.06675789097021859,0.09576110541820526
17,400,2,0.01,100,12080,0.5,0.9971907734870911,0.0028639130759984255,0.05351554050926166,0.14552102982997894
18,400,2,0.01,100,12080,0.5,0.9993172883987427,0.0006959692691452801,0.02638122948509565,0.08238393068313599
19,400,2,0.01,100,12080,0.5,0.9974154829978943,0.0026348046958446503,0.05133034868228201,0.08625737577676773
20,400,2,0.01,100,12080,0.5,0.9981299638748169,0.0019064216176047921,0.043662588306292514,0.08135687559843063
21,400,2,0.01,100,12080,0.5,0.9992859959602356,0.0007279075216501951,0.026979761334196325,0.09917255491018295
22,400,2,0.01,100,12080,0.5,0.9979587197303772,0.002081027952954173,0.04561828529169168,0.0945880115032196
23,400,2,0.01,100,12080,0.5,0.9968990683555603,0.00316127622500062,0.05622522765628095,0.10026603937149048
24,400,2,0.01,100,12080,0.5,0.9967890977859497,0.0032734121195971966,0.05721374065377299,0.11460418999195099
25,400,2,0.01,100,12080,0.5,0.999454140663147,0.0005564532475546002,0.02358926127615276,0.08066930621862411
26,400,2,0.01,100,12080,0.5,0.9981908798217773,0.0018443050794303417,0.042945373201665644,0.09634747356176376
27,400,2,0.01,100,12080,0.5,0.9984604716300964,0.0015694817993789911,0.03961668587071603,0.08709936589002609
28,400,2,0.01,100,12080,0.5,0.9988179206848145,0.0012050666846334934,0.034714070412924694,0.11476272344589233
29,400,2,0.01,100,12080,0.5,0.999216616153717,0.0007986045093275607,0.02825959145719486,0.06504563987255096
30,400,2,0.01,100,12080,0.5,0.996112585067749,0.003963078372180462,0.06295298541118174,0.07082991302013397
1,400,2,0.01,100,24160,1.0,0.9943000078201294,0.005810950417071581,0.07622959016728072,0.07746753841638565
2,400,2,0.01,100,24160,1.0,0.9950954914093018,0.004999994300305843,0.07071063781571937,0.06665763258934021
3,400,2,0.01,100,24160,1.0,0.9966974854469299,0.0033668186515569687,0.058024293632555055,0.06738799065351486
4,400,2,0.01,100,24160,1.0,0.9996271133422852,0.00038016680628061295,0.01949786671101772,0.06135985627770424
5,400,2,0.01,100,24160,1.0,0.9987280964851379,0.0012966793728992343,0.0360094344984649,0.044860031455755234
6,400,2,0.01,100,24160,1.0,0.9971002340316772,0.0029562138952314854,0.05437107590651012,0.0797806903719902
7,400,2,0.01,100,24160,1.0,0.9970508217811584,0.0030065870378166437,0.05483235393284373,0.0738651379942894
8,400,2,0.01,100,24160,1.0,0.9972481727600098,0.0028053796850144863,0.052965835073323315,0.05990033224225044
9,400,2,0.01,100,24160,1.0,0.9979941844940186,0.002044839318841696,0.04521989958902713,0.13434845209121704
