seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,1,0.01,100,2416,0.1,0.920012354850769,0.09212523698806763,0.30352139461340716,0.20427383482456207
2,390,1,0.01,100,2416,0.1,0.9127157926559448,0.10052895545959473,0.3170630149664176,0.1642843782901764
3,390,1,0.01,100,2416,0.1,0.9421558380126953,0.0666215717792511,0.25811154910087053,0.22765110433101654
4,390,1,0.01,100,2416,0.1,0.9219173192977905,0.0899311825633049,0.2998852823386051,0.18794509768486023
5,390,1,0.01,100,2416,0.1,0.9115462899208069,0.10187593102455139,0.31918009183617857,0.3899107575416565
6,390,1,0.01,100,2416,0.1,0.9159830808639526,0.09676589071750641,0.3110721631993233,0.259020060300827
7,390,1,0.01,100,2416,0.1,0.9157244563102722,0.09706379473209381,0.31155062948434853,0.18140022456645966
8,390,1,0.01,100,2416,0.1,0.9140709638595581,0.09896818548440933,0.31459209380467484,0.3954649865627289
9,390,1,0.01,100,2416,0.1,0.9214616417884827,0.09045600891113281,0.3007590545787987,0.18535061180591583
10,390,1,0.01,100,2416,0.1,0.9268878698348999,0.08420637995004654,0.29018335574261755,0.254899799823761
11,390,1,0.01,100,2416,0.1,0.9160515666007996,0.09668701142072678,0.31094535118043937,0.19785477221012115
12,390,1,0.01,100,2416,0.1,0.9249535799026489,0.08643420785665512,0.29399695212137,0.15132258832454681
13,390,1,0.01,100,2416,0.1,0.922099232673645,0.0897216647863388,0.29953574876187783,0.17139281332492828
14,390,1,0.01,100,2416,0.1,0.926282525062561,0.08490362018346786,0.2913822578391963,0.19176506996154785
15,390,1,0.01,100,2416,0.1,0.9264395236968994,0.08472277224063873,0.291071764760237,0.21665623784065247
16,390,1,0.01,100,2416,0.1,0.9176772236824036,0.09481469541788101,0.307919949691281,0.14421947300434113
17,390,1,0.01,100,2416,0.1,0.9134654402732849,0.09966559708118439,0.31569858580802096,0.17396903038024902
18,390,1,0.01,100,2416,0.1,0.9229203462600708,0.08877591043710709,0.29795286613339883,0.22022970020771027
19,390,1,0.01,100,2416,0.1,0.9182343482971191,0.09417305141687393,0.3068762803099548,0.14004001021385193
20,390,1,0.01,100,2416,0.1,0.917686402797699,0.09480410814285278,0.307902757608393,0.18763837218284607
21,390,1,0.01,100,2416,0.1,0.9258432984352112,0.08540946245193481,0.2922489733975721,0.19306328892707825
22,390,1,0.01,100,2416,0.1,0.9363296627998352,0.07333188503980637,0.27079860605218475,0.16550226509571075
23,390,1,0.01,100,2416,0.1,0.9256246089935303,0.08566136658191681,0.29267963130685537,0.19721713662147522
24,390,1,0.01,100,2416,0.1,0.9121320247650146,0.10120134055614471,0.3181215814058278,0.18098613619804382
25,390,1,0.01,100,2416,0.1,0.910462498664856,0.10312419384717941,0.3211295592859359,0.16041676700115204
26,390,1,0.01,100,2416,0.1,0.9145388603210449,0.09842925518751144,0.31373437042745483,0.1912643313407898
27,390,1,0.01,100,2416,0.1,0.9247851371765137,0.08662818372249603,0.29432666158962906,0.37018021941185
28,390,1,0.01,100,2416,0.1,0.9295881986618042,0.08109632134437561,0.2847741584912079,0.1765945851802826
29,390,1,0.01,100,2416,0.1,0.9190624952316284,0.09321922808885574,0.3053182406749648,0.23233020305633545
30,390,1,0.01,100,2416,0.1,0.9148430824279785,0.09807885438203812,0.3131754370668909,0.1405048668384552
1,390,1,0.01,100,6040,0.25,0.919553816318512,0.09265333414077759,0.3043901019099957,0.09444969892501831
2,390,1,0.01,100,6040,0.25,0.9174935221672058,0.09502626210451126,0.3082632999637019,0.1129346713423729
3,390,1,0.01,100,6040,0.25,0.9382509589195251,0.07111905515193939,0.26668156132724924,0.21065296232700348
4,390,1,0.01,100,6040,0.25,0.9210473895072937,0.09093314409255981,0.3015512296319811,0.10570017248392105
5,390,1,0.01,100,6040,0.25,0.9208608865737915,0.09114788472652435,0.30190707962305946,0.13810773193836212
6,390,1,0.01,100,6040,0.25,0.9299628734588623,0.08066476881504059,0.2840154376350704,0.1408027559518814
7,390,1,0.01,100,6040,0.25,0.9344916343688965,0.07544877380132675,0.2746794018511886,0.11363265663385391
8,390,1,0.01,100,6040,0.25,0.9196590185165405,0.09253215044736862,0.3041909769328614,0.14091327786445618
9,390,1,0.01,100,6040,0.25,0.9231365323066711,0.08852698653936386,0.29753484928553137,0.12199908494949341
10,390,1,0.01,100,6040,0.25,0.9242733716964722,0.08721759915351868,0.29532625882829766,0.1328224539756775
11,390,1,0.01,100,6040,0.25,0.9211140275001526,0.09085634350776672,0.30142386021641804,0.10880403220653534
12,390,1,0.01,100,6040,0.25,0.9251835942268372,0.08616924285888672,0.2935459808256395,0.09143316745758057
13,390,1,0.01,100,6040,0.25,0.9318411350250244,0.07850150018930435,0.28018119171226386,0.1532505601644516
14,390,1,0.01,100,6040,0.25,0.9242192506790161,0.08727995306253433,0.2954318078043296,0.19390833377838135
15,390,1,0.01,100,6040,0.25,0.926274836063385,0.08491243422031403,0.291397381972306,0.115971140563488
16,390,1,0.01,100,6040,0.25,0.9231577515602112,0.08850254863500595,0.29749377915345715,0.11651448160409927
17,390,1,0.01,100,6040,0.25,0.9181112051010132,0.09431488066911697,0.30710727876284044,0.08792834728956223
18,390,1,0.01,100,6040,0.25,0.915959894657135,0.09679260104894638,0.31111509293016687,0.13020755350589752
19,390,1,0.01,100,6040,0.25,0.9196099042892456,0.09258876740932465,0.30428402424268786,0.13304589688777924
20,390,1,0.01,100,6040,0.25,0.9284076690673828,0.08245593309402466,0.287151411443553,0.11690780520439148
21,390,1,0.01,100,6040,0.25,0.9305707216262817,0.07996465265750885,0.28278021970694633,0.13779430091381073
22,390,1,0.01,100,6040,0.25,0.9382821321487427,0.07108311355113983,0.26661416607363503,0.16207076609134674
23,390,1,0.01,100,6040,0.25,0.9304159879684448,0.08014291524887085,0.28309524059734886,0.13240259885787964
24,390,1,0.01,100,6040,0.25,0.9297717809677124,0.0808848887681961,0.28440268769509913,0.10481079667806625
25,390,1,0.01,100,6040,0.25,0.919036328792572,0.0932493656873703,0.30536759108878975,0.09857138246297836
26,390,1,0.01,100,6040,0.25,0.9295793771743774,0.08110642433166504,0.2847918965344082,0.09705252200365067
27,390,1,0.01,100,6040,0.25,0.9190219640731812,0.0932658463716507,0.30539457488902894,0.23867644369602203
28,390,1,0.01,100,6040,0.25,0.9217644929885864,0.09010719507932663,0.30017860529912294,0.12822841107845306
29,390,1,0.01,100,6040,0.25,0.9266934394836426,0.0844302847981453,0.2905688985389615,0.1427484005689621
30,390,1,0.01,100,6040,0.25,0.920837938785553,0.09117433428764343,0.3019508805876271,0.1141962856054306
1,390,1,0.01,100,12080,0.5,0.9217997193336487,0.09006664901971817,0.30011106114190156,0.08394817262887955
2,390,1,0.01,100,12080,0.5,0.9213187098503113,0.09062063694000244,0.30103261773436185,0.13283869624137878
3,390,1,0.01,100,12080,0.5,0.9401817917823792,0.06889517605304718,0.26247890592016565,0.16470183432102203
4,390,1,0.01,100,12080,0.5,0.925347089767456,0.08598092943429947,0.29322504912489905,0.1309623122215271
5,390,1,0.01,100,12080,0.5,0.9594096541404724,0.046749651432037354,0.2162166770442034,0.11026874929666519
6,390,1,0.01,100,12080,0.5,0.9456923007965088,0.06254854053258896,0.25009706222302763,0.07273472845554352
7,390,1,0.01,100,12080,0.5,0.93592768907547,0.07379484176635742,0.27165206011800724,0.09587305039167404
8,390,1,0.01,100,12080,0.5,0.9458450675010681,0.062372542917728424,0.24974495574030806,0.08678881078958511
9,390,1,0.01,100,12080,0.5,0.919533371925354,0.09267687052488327,0.3044287610014587,0.13954147696495056
10,390,1,0.01,100,12080,0.5,0.9226948022842407,0.08903574198484421,0.29838857549317166,0.14805833995342255
11,390,1,0.01,100,12080,0.5,0.9263922572135925,0.08477721363306046,0.2911652685899547,0.19394195079803467
12,390,1,0.01,100,12080,0.5,0.9247523546218872,0.08666595816612244,0.2943908255467932,0.09486185759305954
13,390,1,0.01,100,12080,0.5,0.9235174059867859,0.08808828145265579,0.2967967005420643,0.10364192724227905
14,390,1,0.01,100,12080,0.5,0.9289470911026001,0.08183468878269196,0.28606762973585803,0.09742726385593414
15,390,1,0.01,100,12080,0.5,0.9245805740356445,0.08686376363039017,0.2947265913187851,0.11751791834831238
16,390,1,0.01,100,12080,0.5,0.9429645538330078,0.06569013744592667,0.25630087289341535,0.08701813966035843
17,390,1,0.01,100,12080,0.5,0.9260035157203674,0.08522495627403259,0.291933136649529,0.10711874812841415
18,390,1,0.01,100,12080,0.5,0.921173095703125,0.0907883495092392,0.3013110510904623,0.15540117025375366
19,390,1,0.01,100,12080,0.5,0.9208359718322754,0.0911765918135643,0.30195461879819674,0.11998806893825531
20,390,1,0.01,100,12080,0.5,0.9214659333229065,0.09045109152793884,0.30075087951315926,0.1599237620830536
21,390,1,0.01,100,12080,0.5,0.9207336902618408,0.09129441529512405,0.30214965711568176,0.1077699288725853
22,390,1,0.01,100,12080,0.5,0.9582517147064209,0.048083286732435226,0.2192790157138508,0.09112991392612457
23,390,1,0.01,100,12080,0.5,0.951276957988739,0.056116439402103424,0.23688908670958952,0.09080527722835541
24,390,1,0.01,100,12080,0.5,0.9162198901176453,0.0964931771159172,0.31063350932556716,0.10578518360853195
25,390,1,0.01,100,12080,0.5,0.923286497592926,0.08835422247648239,0.29724438174082013,0.11279337108135223
26,390,1,0.01,100,12080,0.5,0.9371083378791809,0.07243502140045166,0.26913755107835036,0.08159127831459045
27,390,1,0.01,100,12080,0.5,0.933140218257904,0.0770053043961525,0.2774982962040533,0.12184188514947891
28,390,1,0.01,100,12080,0.5,0.9238376021385193,0.08771948516368866,0.2961747544334065,0.12154150009155273
29,390,1,0.01,100,12080,0.5,0.9224250912666321,0.08934636414051056,0.2989086217232794,0.091388039290905
30,390,1,0.01,100,12080,0.5,0.9245802760124207,0.08686411380767822,0.29472718538960435,0.12393681704998016
1,390,1,0.01,100,24160,1.0,0.9372511506080627,0.07227054238319397,0.2688318105864594,0.08675011247396469
2,390,1,0.01,100,24160,1.0,0.9293362498283386,0.08138648420572281,0.28528316495321415,0.07965835928916931
3,390,1,0.01,100,24160,1.0,0.9292441606521606,0.08149253576993942,0.2854689751443043,0.07799063622951508
4,390,1,0.01,100,24160,1.0,0.9641257524490356,0.0413178987801075,0.203268046628356,0.07882792502641678
5,390,1,0.01,100,24160,1.0,0.9285127520561218,0.0823349580168724,0.2869406872802677,0.0738428458571434
6,390,1,0.01,100,24160,1.0,0.9347952008247375,0.0750991702079773,0.2740422781396646,0.06250482052564621
7,390,1,0.01,100,24160,1.0,0.9379369616508484,0.07148068398237228,0.26735871779759174,0.07432609051465988
8,390,1,0.01,100,24160,1.0,0.9710455536842346,0.03334810584783554,0.1826146375508698,0.07777485996484756
9,390,1,0.01,100,24160,1.0,0.9270815253257751,0.08398335427045822,0.28979881688933484,0.0862961858510971
10,390,1,0.01,100,24160,1.0,0.9353767037391663,0.07442943751811981,0.27281759019190793,0.08738325536251068
11,390,1,0.01,100,24160,1.0,0.9421995878219604,0.06657123565673828,0.25801402220952696,0.08883722871541977
12,390,1,0.01,100,24160,1.0,0.9348976016044617,0.07498124986886978,0.2738270437134904,0.12330956012010574
13,390,1,0.01,100,24160,1.0,0.9465981721878052,0.06150519847869873,0.24800241627592812,0.07600099593400955
14,390,1,0.01,100,24160,1.0,0.9500094652175903,0.05757627263665199,0.23995056290130262,0.06703416258096695
15,390,1,0.01,100,24160,1.0,0.9213231205940247,0.09061554074287415,0.3010241530888745,0.07035838812589645
16,390,1,0.01,100,24160,1.0,0.9330538511276245,0.07710475474596024,0.27767742930594885,0.10774973034858704
17,390,1,0.01,100,24160,1.0,0.9341530203819275,0.07583881169557571,0.27538847415165313,0.11101943999528885
18,390,1,0.01,100,24160,1.0,0.9319972395896912,0.07832168787717819,0.27986012198449817,0.09041053801774979
19,390,1,0.01,100,24160,1.0,0.9280941486358643,0.08281707018613815,0.28777955136899175,0.19077499210834503
20,390,1,0.01,100,24160,1.0,0.9259422421455383,0.08529549092054367,0.29205391783118345,0.09813247621059418
21,390,1,0.01,100,24160,1.0,0.9336806535720825,0.07638281583786011,0.2763744124152236,0.09930939227342606
22,390,1,0.01,100,24160,1.0,0.9355354905128479,0.07424651831388474,0.2724821431101215,0.09456484764814377
23,390,1,0.01,100,24160,1.0,0.9349659085273743,0.07490258663892746,0.2736833693137518,0.1412246972322464
24,390,1,0.01,100,24160,1.0,0.9471833109855652,0.060831259936094284,0.24663993986395286,0.08785198628902435
25,390,1,0.01,100,24160,1.0,0.9622833132743835,0.04343993589282036,0.20842249373045213,0.18877531588077545
26,390,1,0.01,100,24160,1.0,0.9314278364181519,0.07897751778364182,0.28102938953718315,0.07821061462163925
27,390,1,0.01,100,24160,1.0,0.9324547648429871,0.07779477536678314,0.2789171478535932,0.06892136484384537
28,390,1,0.01,100,24160,1.0,0.9353442788124084,0.07446678727865219,0.2728860334986974,0.0834287628531456
29,390,1,0.01,100,24160,1.0,0.9286603331565857,0.0821649581193924,0.286644305925292,0.09184225648641586
30,390,1,0.01,100,24160,1.0,0.938035249710083,0.07136750221252441,0.2671469674402545,0.11068824678659439
