seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,400,2,0.01,4,100,2416,0.1,0.9980899095535278,0.001947258017025888,0.04412774656637123,0.12113560736179352
2,400,2,0.01,4,100,2416,0.1,0.9972242116928101,0.0028298257384449244,0.053196106421851255,0.15114791691303253
3,400,2,0.01,4,100,2416,0.1,0.9984626770019531,0.0015672509325668216,0.03958852021188493,0.13288332521915436
4,400,2,0.01,4,100,2416,0.1,0.9986637830734253,0.0013622117694467306,0.03690815315681253,0.10767852514982224
5,400,2,0.01,4,100,2416,0.1,0.993560254573822,0.006565076764672995,0.0810251613060597,0.10794848948717117
6,400,2,0.01,4,100,2416,0.1,0.998237133026123,0.0017971772467717528,0.04239312735304807,0.12220923602581024
7,400,2,0.01,4,100,2416,0.1,0.9964408874511719,0.0036284036468714476,0.06023623201090393,0.13218176364898682
8,400,2,0.01,4,100,2416,0.1,0.996957004070282,0.0031022171024233103,0.05569755023718108,0.12254295498132706
9,400,2,0.01,4,100,2416,0.1,0.9975618720054626,0.0024856110103428364,0.049855902462425015,0.10013190656900406
10,400,2,0.01,4,100,2416,0.1,0.9988422393798828,0.0011802954832091928,0.03435542872981202,0.09953287243843079
11,400,2,0.01,4,100,2416,0.1,0.9983444809913635,0.0016877158777788281,0.04108181930950513,0.11468562483787537
12,400,2,0.01,4,100,2416,0.1,0.9976250529289246,0.002421185141429305,0.04920553974329826,0.1130303367972374
13,400,2,0.01,4,100,2416,0.1,0.9974696636199951,0.0025796080008149147,0.05078984151200823,0.11652630567550659
14,400,2,0.01,4,100,2416,0.1,0.9978634715080261,0.00217813509516418,0.04667049491021259,0.14325977861881256
15,400,2,0.01,4,100,2416,0.1,0.9952496886253357,0.004842746537178755,0.06958984507224279,0.13446290791034698
16,400,2,0.01,4,100,2416,0.1,0.995323121547699,0.004767886362969875,0.06904988314957437,0.11144158244132996
17,400,2,0.01,4,100,2416,0.1,0.997821033000946,0.0022213896736502647,0.047131620740753916,0.19609762728214264
18,400,2,0.01,4,100,2416,0.1,0.9916964173316956,0.008465216495096684,0.0920066111488554,0.1573348045349121
19,400,2,0.01,4,100,2416,0.1,0.9970734119415283,0.0029835193417966366,0.05462160142101874,0.1391126960515976
20,400,2,0.01,4,100,2416,0.1,0.9986247420310974,0.0014019956579431891,0.0374432324718792,0.13278524577617645
21,400,2,0.01,4,100,2416,0.1,0.9975922107696533,0.0024546505883336067,0.04954443044716133,0.1472781002521515
22,400,2,0.01,4,100,2416,0.1,0.9965398907661438,0.003527482273057103,0.05939261126652964,0.13849790394306183
23,400,2,0.01,4,100,2416,0.1,0.9984956979751587,0.0015335718635469675,0.039160846052491864,0.15323901176452637
24,400,2,0.01,4,100,2416,0.1,0.9982829093933105,0.0017505036666989326,0.041839020862096336,0.13401904702186584
25,400,2,0.01,4,100,2416,0.1,0.9970123767852783,0.0030457533430308104,0.05518834426788695,0.11974549293518066
26,400,2,0.01,4,100,2416,0.1,0.9917532205581665,0.008407297544181347,0.09169131662366588,0.1097499281167984
27,400,2,0.01,4,100,2416,0.1,0.9972377419471741,0.0028160088695585728,0.05306608021663719,0.1019299253821373
28,400,2,0.01,4,100,2416,0.1,0.9941638708114624,0.00594970490783453,0.07713433028058603,0.131757915019989
29,400,2,0.01,4,100,2416,0.1,0.9895890355110168,0.010613612830638885,0.10302238994819954,0.14352990686893463
30,400,2,0.01,4,100,2416,0.1,0.9991115927696228,0.0009057067218236625,0.030094961734876198,0.11368610709905624
1,400,2,0.01,4,100,6040,0.25,0.9973525404930115,0.0026989702600985765,0.051951614605309206,0.12018606811761856
2,400,2,0.01,4,100,6040,0.25,0.9936893582344055,0.00643343897536397,0.08020872131734784,0.10395266115665436
3,400,2,0.01,4,100,6040,0.25,0.9975929856300354,0.002453869441524148,0.04953654652399729,0.07766479253768921
4,400,2,0.01,4,100,6040,0.25,0.9981756210327148,0.0018598760943859816,0.043126280785455884,0.08797217905521393
5,400,2,0.01,4,100,6040,0.25,0.9953519701957703,0.004738496616482735,0.06883673885711564,0.1023322194814682
6,400,2,0.01,4,100,6040,0.25,0.9907923340797424,0.009386856108903885,0.09688578899355614,0.11169293522834778
7,400,2,0.01,4,100,6040,0.25,0.9951667785644531,0.004927307367324829,0.07019478162459677,0.07891292124986649
8,400,2,0.01,4,100,6040,0.25,0.9972906708717346,0.002762066200375557,0.052555363193260846,0.09843523055315018
9,400,2,0.01,4,100,6040,0.25,0.9951053857803345,0.004989858716726303,0.07063893201858522,0.08682409673929214
10,400,2,0.01,4,100,6040,0.25,0.9989743232727051,0.0010456686140969396,0.032336799688542764,0.10224530845880508
11,400,2,0.01,4,100,6040,0.25,0.996711790561676,0.003352212021127343,0.057898290312645186,0.09120775014162064
12,400,2,0.01,4,100,6040,0.25,0.9942048788070679,0.005907895974814892,0.07686283871166151,0.07790359854698181
13,400,2,0.01,4,100,6040,0.25,0.9980672597885132,0.00197035726159811,0.04438870646457396,0.08929451555013657
14,400,2,0.01,4,100,6040,0.25,0.9986250400543213,0.0014017283683642745,0.03743966303753647,0.10439897328615189
15,400,2,0.01,4,100,6040,0.25,0.9966726303100586,0.003392135724425316,0.05824204430156376,0.09477990120649338
16,400,2,0.01,4,100,6040,0.25,0.9986458420753479,0.0013805347261950374,0.037155547717602516,0.10058966279029846
17,400,2,0.01,4,100,6040,0.25,0.9994755983352661,0.0005346293328329921,0.023122052954549516,0.07973034679889679
18,400,2,0.01,4,100,6040,0.25,0.9974833726882935,0.00256560742855072,0.05065182552041654,0.0830182135105133
