seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,1,0.01,3,100,2416,0.1,0.9222226738929749,0.08957946300506592,0.2992982843336492,0.15030352771282196
2,390,1,0.01,3,100,2416,0.1,0.9275388717651367,0.08345657587051392,0.28888851806624977,0.22653329372406006
3,390,1,0.01,3,100,2416,0.1,0.9269368648529053,0.08414994925260544,0.29008610661768247,0.1634814590215683
4,390,1,0.01,3,100,2416,0.1,0.9170079231262207,0.09558551758527756,0.30916907604946126,0.16262972354888916
5,390,1,0.01,3,100,2416,0.1,0.9198641777038574,0.09229584783315659,0.3038023170305924,0.15492069721221924
6,390,1,0.01,3,100,2416,0.1,0.919973611831665,0.09216979146003723,0.3035947816745822,0.187071293592453
7,390,1,0.01,3,100,2416,0.1,0.9180413484573364,0.09439526498317719,0.3072381242345702,0.16537131369113922
8,390,1,0.01,3,100,2416,0.1,0.9191756248474121,0.09308888018131256,0.3051047036368213,0.18717379868030548
9,390,1,0.01,3,100,2416,0.1,0.9270699620246887,0.08399668335914612,0.2898218131182436,0.15118028223514557
10,390,1,0.01,3,100,2416,0.1,0.9226629137992859,0.08907244354486465,0.2984500687633773,0.13552360236644745
11,390,1,0.01,3,100,2416,0.1,0.9224289655685425,0.0893419086933136,0.2989011687720769,0.19501155614852905
12,390,1,0.01,3,100,2416,0.1,0.9248533248901367,0.08654965460300446,0.29419322664365416,0.21852681040763855
13,390,1,0.01,3,100,2416,0.1,0.9177495241165161,0.09473143517971039,0.30778472213498576,0.14291788637638092
14,390,1,0.01,3,100,2416,0.1,0.9122802019119263,0.10103067010641098,0.3178532210099671,0.1999737024307251
15,390,1,0.01,3,100,2416,0.1,0.9246854782104492,0.08674294501543045,0.29452155271801495,0.13110500574111938
16,390,1,0.01,3,100,2416,0.1,0.9249077439308167,0.08648695051670074,0.29408663777312416,0.18312875926494598
17,390,1,0.01,3,100,2416,0.1,0.9208080768585205,0.09120871871709824,0.3020078123444793,0.17205114662647247
18,390,1,0.01,3,100,2416,0.1,0.9213927388191223,0.09053533524274826,0.3008909025589645,0.1350979059934616
19,390,1,0.01,3,100,2416,0.1,0.923639714717865,0.08794744312763214,0.29655934166306774,0.15926258265972137
20,390,1,0.01,3,100,2416,0.1,0.917523205280304,0.09499204903841019,0.3082078017156772,0.12968014180660248
21,390,1,0.01,3,100,2416,0.1,0.9322385191917419,0.07804380357265472,0.27936321084325816,0.146544948220253
22,390,1,0.01,3,100,2416,0.1,0.925682783126831,0.08559435606002808,0.2925651313127183,0.2015208601951599
23,390,1,0.01,3,100,2416,0.1,0.9177374839782715,0.09474527090787888,0.30780719762195113,0.16085948050022125
24,390,1,0.01,3,100,2416,0.1,0.9193106889724731,0.09293332695960999,0.30484967928408585,0.14010566473007202
25,390,1,0.01,3,100,2416,0.1,0.91211998462677,0.10121516138315201,0.3181433032190871,0.17095594108104706
26,390,1,0.01,3,100,2416,0.1,0.9181700944900513,0.09424702078104019,0.30699677649942875,0.14074230194091797
27,390,1,0.01,3,100,2416,0.1,0.9259689450263977,0.08526473492383957,0.2920012584285204,0.14387382566928864
28,390,1,0.01,3,100,2416,0.1,0.9259573221206665,0.08527812361717224,0.2920241832745573,0.13961319625377655
