seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,100,2416,0.1,0.9936439394950867,0.006479751318693161,0.08049690254098701,0.17401427030563354
2,380,2,0.01,100,2416,0.1,0.9955902099609375,0.004495603032410145,0.06704925825398925,0.2249283790588379
3,380,2,0.01,100,2416,0.1,0.9931989312171936,0.006933454889804125,0.08326736989844297,0.2055300772190094
4,380,2,0.01,100,2416,0.1,0.9964537620544434,0.003615229856222868,0.06012678152223739,0.14761699736118317
5,380,2,0.01,100,2416,0.1,0.9977371096611023,0.0023069330491125584,0.04803054287755405,0.16391347348690033
6,380,2,0.01,100,2416,0.1,0.9977246522903442,0.002319605089724064,0.04816227870153222,0.15356631577014923
7,380,2,0.01,100,2416,0.1,0.9954869151115417,0.004600910935550928,0.06783001500479657,0.16957855224609375
8,380,2,0.01,100,2416,0.1,0.9946033954620361,0.005501636769622564,0.07417301914862684,0.18326647579669952
9,380,2,0.01,100,2416,0.1,0.9944156408309937,0.005693025421351194,0.07545213993884596,0.20331372320652008
10,380,2,0.01,100,2416,0.1,0.997561514377594,0.002485928125679493,0.04985908267988384,0.15731947124004364
11,380,2,0.01,100,2416,0.1,0.9968832731246948,0.00317737041041255,0.05636816841456311,0.16731926798820496
12,380,2,0.01,100,2416,0.1,0.993760883808136,0.006360530853271484,0.07975293633009059,0.19911722838878632
13,380,2,0.01,100,2416,0.1,0.9955928325653076,0.0044929576106369495,0.06702952790104484,0.21863538026809692
14,380,2,0.01,100,2416,0.1,0.9961123466491699,0.003963296767324209,0.06295471997653718,0.22301162779331207
15,380,2,0.01,100,2416,0.1,0.9932700991630554,0.006860894616693258,0.0828305174237929,0.2950906753540039
16,380,2,0.01,100,2416,0.1,0.9970591068267822,0.0029981022235006094,0.05475492875988982,0.16362960636615753
17,380,2,0.01,100,2416,0.1,0.9952706098556519,0.004821437876671553,0.0694365744883167,0.16581466794013977
18,380,2,0.01,100,2416,0.1,0.9971623420715332,0.0028928702231496572,0.053785409017220065,0.20630846917629242
19,380,2,0.01,100,2416,0.1,0.9920423030853271,0.008112586103379726,0.09006989565542821,0.19062073528766632
20,380,2,0.01,100,2416,0.1,0.9975115656852722,0.002536879852414131,0.05036744834130603,0.1568688601255417
21,380,2,0.01,100,2416,0.1,0.9952781796455383,0.0048137507401406765,0.06938119875110747,0.14418242871761322
