seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,100,2416,0.1,0.9193065762519836,0.09293811023235321,0.3048575244804583,0.1923115849494934
2,350,1,0.01,100,2416,0.1,0.9174559116363525,0.09506960213184357,0.30833358904252317,0.1728752851486206
3,350,1,0.01,100,2416,0.1,0.9343493580818176,0.07561265677213669,0.2749775568517123,0.17535246908664703
4,350,1,0.01,100,2416,0.1,0.918705403804779,0.09363048523664474,0.30599098881608383,0.2499346286058426
5,350,1,0.01,100,2416,0.1,0.9228065013885498,0.08890709280967712,0.29817292434035175,0.24867185950279236
6,350,1,0.01,100,2416,0.1,0.920642614364624,0.09139928221702576,0.30232314204676053,0.16744579374790192
7,350,1,0.01,100,2416,0.1,0.9142137765884399,0.09880369156599045,0.31433054507316094,0.26180410385131836
8,350,1,0.01,100,2416,0.1,0.923043429851532,0.08863417059183121,0.29771491496367997,0.2079642415046692
9,350,1,0.01,100,2416,0.1,0.9178899526596069,0.09456963837146759,0.3075217689391559,0.19768737256526947
10,350,1,0.01,100,2416,0.1,0.9242843389511108,0.08720497041940689,0.2953048770667476,0.1683862805366516
11,350,1,0.01,100,2416,0.1,0.9203345775604248,0.09175407141447067,0.30290934520821683,0.22017580270767212
12,350,1,0.01,100,2416,0.1,0.9105486273765564,0.10302501171827316,0.3209750951682594,0.15888090431690216
13,350,1,0.01,100,2416,0.1,0.9267429113388062,0.08437331020832062,0.29047084226875614,0.15628139674663544
14,350,1,0.01,100,2416,0.1,0.9208918809890747,0.09111221879720688,0.30184800611765994,0.2240978479385376
15,350,1,0.01,100,2416,0.1,0.9197009205818176,0.09248392283916473,0.30411169467674987,0.17839056253433228
16,350,1,0.01,100,2416,0.1,0.9161820411682129,0.09653674811124802,0.3107036338880638,0.16684012115001678
17,350,1,0.01,100,2416,0.1,0.9132737517356873,0.09988636523485184,0.31604804260563274,0.17618554830551147
18,350,1,0.01,100,2416,0.1,0.9158880114555359,0.09687541425228119,0.3112481554198855,0.15949469804763794
19,350,1,0.01,100,2416,0.1,0.9126551151275635,0.10059882700443268,0.3171731814079379,0.18457835912704468
20,350,1,0.01,100,2416,0.1,0.9200618267059326,0.09206823259592056,0.3034274750182003,0.18233096599578857
21,350,1,0.01,100,2416,0.1,0.921901524066925,0.0899493545293808,0.2999155790041271,0.15439581871032715
22,350,1,0.01,100,2416,0.1,0.9302591681480408,0.08032353967428207,0.28341407811589403,0.1820390522480011
23,350,1,0.01,100,2416,0.1,0.9204424619674683,0.09162981063127518,0.30270416355127194,0.17517726123332977
24,350,1,0.01,100,2416,0.1,0.9145298600196838,0.09843960404396057,0.31375086301707694,0.1654949188232422
25,350,1,0.01,100,2416,0.1,0.911937415599823,0.10142545402050018,0.3184736315937321,0.19979619979858398
