seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,4,100,2416,0.1,0.9929269552230835,0.007210699375718832,0.08491583701359147,0.1623174399137497
2,380,2,0.01,4,100,2416,0.1,0.9959112405776978,0.004168362356722355,0.06456285585940537,0.16768106818199158
3,380,2,0.01,4,100,2416,0.1,0.9967334270477295,0.003330124542117119,0.05770723128098522,0.14346963167190552
4,380,2,0.01,4,100,2416,0.1,0.9979764819145203,0.002062880201265216,0.04541894099673853,0.1542157083749771
5,380,2,0.01,4,100,2416,0.1,0.9877616167068481,0.012476605363190174,0.11169872587988716,0.12113942205905914
6,380,2,0.01,4,100,2416,0.1,0.9931630492210388,0.006970042362809181,0.08348677956903824,0.12566286325454712
7,380,2,0.01,4,100,2416,0.1,0.9976822733879089,0.002362865721806884,0.048609317232469786,0.11322373896837234
8,380,2,0.01,4,100,2416,0.1,0.9938037991523743,0.0063167838379740715,0.07947819724914545,0.13118723034858704
9,380,2,0.01,4,100,2416,0.1,0.9938985109329224,0.0062202210538089275,0.07886837803460223,0.16638463735580444
10,380,2,0.01,4,100,2416,0.1,0.9982038140296936,0.0018311640014871955,0.042792102092409474,0.15732380747795105
11,380,2,0.01,4,100,2416,0.1,0.99784255027771,0.0021994500420987606,0.04689829466088037,0.15032722055912018
12,380,2,0.01,4,100,2416,0.1,0.9979732632637024,0.0020661884918808937,0.04545534613091065,0.13589560985565186
13,380,2,0.01,4,100,2416,0.1,0.9954712390899658,0.004616931546479464,0.06794800619944241,0.1264902651309967
14,380,2,0.01,4,100,2416,0.1,0.9962705969810486,0.003801964456215501,0.061660071814874665,0.12316160649061203
15,380,2,0.01,4,100,2416,0.1,0.9973897337913513,0.0026610447093844414,0.051585314861736,0.11457208544015884
16,380,2,0.01,4,100,2416,0.1,0.9949177503585815,0.005181146785616875,0.07198018328412949,0.11667951196432114
17,380,2,0.01,4,100,2416,0.1,0.995206892490387,0.00488639622926712,0.06990276267263777,0.12652678787708282
18,380,2,0.01,4,100,2416,0.1,0.9949796795845032,0.005118047818541527,0.07154053269679732,0.13518333435058594
19,380,2,0.01,4,100,2416,0.1,0.9951542615890503,0.004940052051097155,0.07028550384750154,0.1257791966199875
20,380,2,0.01,4,100,2416,0.1,0.9962404370307922,0.0038327553775161505,0.06190925114646559,0.14172960817813873
21,380,2,0.01,4,100,2416,0.1,0.9977044463157654,0.0023402106016874313,0.04837572326784822,0.10335316509008408
22,380,2,0.01,4,100,2416,0.1,0.9976778626441956,0.0023673605173826218,0.048655529155303835,0.11999716609716415
23,380,2,0.01,4,100,2416,0.1,0.9933585524559021,0.006770719774067402,0.08228438353701996,0.13966764509677887
24,380,2,0.01,4,100,2416,0.1,0.9962363243103027,0.0038369321264326572,0.06194297479482768,0.14599309861660004
25,380,2,0.01,4,100,2416,0.1,0.9971073865890503,0.0029489051084965467,0.054303822227321594,0.14893020689487457
26,380,2,0.01,4,100,2416,0.1,0.9978557229042053,0.0021860089618712664,0.046754774749444214,0.12913164496421814
27,380,2,0.01,4,100,2416,0.1,0.9926113486289978,0.007532479241490364,0.086789856789203,0.13467024266719818
28,380,2,0.01,4,100,2416,0.1,0.9960392713546753,0.004037811420857906,0.06354377562639717,0.13850846886634827
29,380,2,0.01,4,100,2416,0.1,0.9947366118431091,0.00536583736538887,0.07325187619023059,0.12590613961219788
30,380,2,0.01,4,100,2416,0.1,0.9937074780464172,0.006414998788386583,0.0800936875689126,0.16455841064453125
1,380,2,0.01,4,100,6040,0.25,0.9989895224571228,0.0010301716392859817,0.03209628700155178,0.10943743586540222
2,380,2,0.01,4,100,6040,0.25,0.9988138675689697,0.0012092016404494643,0.03477357675663325,0.08738289028406143
3,380,2,0.01,4,100,6040,0.25,0.9960499405860901,0.004026961047202349,0.06345834103726908,0.08706086874008179
4,380,2,0.01,4,100,6040,0.25,0.9981380105018616,0.0018982513574883342,0.043568926512921276,0.08692430704832077
5,380,2,0.01,4,100,6040,0.25,0.9913179278373718,0.008851059712469578,0.09408007075076835,0.1217907965183258
6,380,2,0.01,4,100,6040,0.25,0.9910213947296143,0.009153367951512337,0.09567323529343166,0.10101378709077835
7,380,2,0.01,4,100,6040,0.25,0.99647456407547,0.0035940345842391253,0.05995026759105521,0.10551606118679047
8,380,2,0.01,4,100,6040,0.25,0.9950259923934937,0.005070826970040798,0.07120973929204345,0.10286176204681396
9,380,2,0.01,4,100,6040,0.25,0.9983935952186584,0.0016376673011109233,0.040468102267229224,0.12269306927919388
10,380,2,0.01,4,100,6040,0.25,0.9936179518699646,0.0065062581561505795,0.08066137958249028,0.10200163722038269
11,380,2,0.01,4,100,6040,0.25,0.9990201592445374,0.000998912495560944,0.031605576969277814,0.11915987730026245
12,380,2,0.01,4,100,6040,0.25,0.9993401169776917,0.0006727562285959721,0.025937544768076488,0.10170107334852219
13,380,2,0.01,4,100,6040,0.25,0.9925427436828613,0.00760238990187645,0.08719168482072387,0.11474202573299408
14,380,2,0.01,4,100,6040,0.25,0.9969633221626282,0.0030957977287471294,0.05563989332077417,0.09317533671855927
15,380,2,0.01,4,100,6040,0.25,0.9986569881439209,0.0013691778294742107,0.037002403022968804,0.13458152115345
16,380,2,0.01,4,100,6040,0.25,0.9942750334739685,0.00583637785166502,0.0763961900336988,0.12196173518896103
17,380,2,0.01,4,100,6040,0.25,0.9962931275367737,0.003779013641178608,0.06147368250868503,0.08874322474002838
18,380,2,0.01,4,100,6040,0.25,0.9976105093955994,0.002435983857139945,0.04935568718131625,0.10087833553552628
19,380,2,0.01,4,100,6040,0.25,0.9940164685249329,0.006099970545619726,0.07810230819649139,0.13442356884479523
20,380,2,0.01,4,100,6040,0.25,0.9953283071517944,0.004762614611536264,0.0690116990917936,0.13907046616077423
21,380,2,0.01,4,100,6040,0.25,0.9950091242790222,0.005087988916784525,0.07133014031098302,0.10962098836898804
22,380,2,0.01,4,100,6040,0.25,0.9975036382675171,0.002544970018789172,0.05044769587195407,0.1147703006863594
23,380,2,0.01,4,100,6040,0.25,0.9972473382949829,0.0028062304481863976,0.052973865709294785,0.10123002529144287
24,380,2,0.01,4,100,6040,0.25,0.9915351271629333,0.008629599586129189,0.09289563814372119,0.11224552243947983
25,380,2,0.01,4,100,6040,0.25,0.9961844086647034,0.003889829618856311,0.06236849860992576,0.1322324424982071
26,380,2,0.01,4,100,6040,0.25,0.993277370929718,0.0068534426391124725,0.082785521917256,0.11004776507616043
27,380,2,0.01,4,100,6040,0.25,0.996696412563324,0.003367879893630743,0.05803343772025523,0.1568564623594284
28,380,2,0.01,4,100,6040,0.25,0.9937368631362915,0.006385028827935457,0.07990637538979889,0.11321558803319931
29,380,2,0.01,4,100,6040,0.25,0.9948253631591797,0.00527537427842617,0.07263177182491262,0.12071030586957932
30,380,2,0.01,4,100,6040,0.25,0.992706298828125,0.007435680367052555,0.08623039120317473,0.1214374452829361
1,380,2,0.01,4,100,12080,0.5,0.9978025555610657,0.0022402361501008272,0.04733113298982845,0.08120020478963852
2,380,2,0.01,4,100,12080,0.5,0.9961775541305542,0.0038968438748270273,0.062424705644696696,0.1255025714635849
3,380,2,0.01,4,100,12080,0.5,0.9991360306739807,0.0008807609556242824,0.029677617081300216,0.08655925840139389
4,380,2,0.01,4,100,12080,0.5,0.998059868812561,0.0019778632558882236,0.04447317456499169,0.07768519222736359
5,380,2,0.01,4,100,12080,0.5,0.9882292151451111,0.011999877169728279,0.10954395085867717,0.111114002764225
6,380,2,0.01,4,100,12080,0.5,0.993457555770874,0.0066697681322693825,0.08166864840481555,0.08795054256916046
7,380,2,0.01,4,100,12080,0.5,0.9912827610969543,0.008886928670108318,0.09427050795507744,0.08967393636703491
8,380,2,0.01,4,100,12080,0.5,0.9976591467857361,0.002386404201388359,0.048850836240420276,0.11119738966226578
9,380,2,0.01,4,100,12080,0.5,0.9959091544151306,0.004170443397015333,0.06457897023811493,0.09470915794372559
10,380,2,0.01,4,100,12080,0.5,0.9993283152580261,0.000684780883602798,0.026168318318202988,0.0761386826634407
11,380,2,0.01,4,100,12080,0.5,0.9992256164550781,0.0007894836599007249,0.02809775186559816,0.09291064739227295
12,380,2,0.01,4,100,12080,0.5,0.996188223361969,0.0038859860505908728,0.06233767761627692,0.09111305326223373
13,380,2,0.01,4,100,12080,0.5,0.9887412190437317,0.011477895081043243,0.10713493865701909,0.09210489690303802
14,380,2,0.01,4,100,12080,0.5,0.993881106376648,0.006237961817532778,0.0789807686562544,0.08968311548233032
15,380,2,0.01,4,100,12080,0.5,0.9988712668418884,0.0011506890878081322,0.03392180843952946,0.0899989977478981
16,380,2,0.01,4,100,12080,0.5,0.9961594343185425,0.003915297333151102,0.06257233680430277,0.11035860329866409
17,380,2,0.01,4,100,12080,0.5,0.9979537725448608,0.0020860773511230946,0.04567359577614943,0.06972706317901611
18,380,2,0.01,4,100,12080,0.5,0.9857304692268372,0.014547239057719707,0.12061193580122867,0.10660106688737869
19,380,2,0.01,4,100,12080,0.5,0.9955669641494751,0.00451932568103075,0.06722593012395403,0.08713850378990173
20,380,2,0.01,4,100,12080,0.5,0.9986547827720642,0.00137140357401222,0.037032466485669296,0.11040232330560684
21,380,2,0.01,4,100,12080,0.5,0.9883614778518677,0.011865062639117241,0.10892686830675544,0.10760557651519775
22,380,2,0.01,4,100,12080,0.5,0.997744619846344,0.002299288520589471,0.04795089697377382,0.10289105027914047
23,380,2,0.01,4,100,12080,0.5,0.996772825717926,0.0032899961806833744,0.05735848830542324,0.11357823759317398
24,380,2,0.01,4,100,12080,0.5,0.9903574585914612,0.009830187074840069,0.09914729988678496,0.09864332526922226
25,380,2,0.01,4,100,12080,0.5,0.9952170848846436,0.004876008257269859,0.06982842012583314,0.10786715149879456
26,380,2,0.01,4,100,12080,0.5,0.9972202777862549,0.0028337943367660046,0.05323339493932361,0.13591894507408142
27,380,2,0.01,4,100,12080,0.5,0.9987806081771851,0.0012431023642420769,0.035257656817237255,0.09321112930774689
28,380,2,0.01,4,100,12080,0.5,0.9896113872528076,0.01059083454310894,0.10291178039033695,0.09186472743749619
29,380,2,0.01,4,100,12080,0.5,0.9924539923667908,0.007692884653806686,0.08770909105564079,0.08936789631843567
30,380,2,0.01,4,100,12080,0.5,0.998275876045227,0.001757696969434619,0.04192489677309437,0.09906098246574402
1,380,2,0.01,4,100,24160,1.0,0.9931245446205139,0.007009260356426239,0.08372132557733566,0.1017143726348877
2,380,2,0.01,4,100,24160,1.0,0.998521089553833,0.0015077122952789068,0.03882927111444286,0.07525750994682312
3,380,2,0.01,4,100,24160,1.0,0.9977452158927917,0.0022986570838838816,0.047944312320481575,0.07050129026174545
4,380,2,0.01,4,100,24160,1.0,0.9940642714500427,0.006051281467080116,0.077789983076744,0.1113797202706337
5,380,2,0.01,4,100,24160,1.0,0.9947950839996338,0.005306209437549114,0.07284373300119314,0.07903332263231277
6,380,2,0.01,4,100,24160,1.0,0.9948516488075256,0.005248561501502991,0.0724469564681843,0.08159870654344559
7,380,2,0.01,4,100,24160,1.0,0.9933209419250488,0.006809045094996691,0.08251693823086682,0.09352399408817291
8,380,2,0.01,4,100,24160,1.0,0.9974107146263123,0.0026397095061838627,0.051378103372778004,0.0819612592458725
9,380,2,0.01,4,100,24160,1.0,0.9923571348190308,0.007791605778038502,0.08827007294682894,0.07816431671380997
10,380,2,0.01,4,100,24160,1.0,0.9992550611495972,0.0007594191120006144,0.027557559979080413,0.08735175430774689
11,380,2,0.01,4,100,24160,1.0,0.9989660978317261,0.001054036314599216,0.032465925438823026,0.06297671049833298
12,380,2,0.01,4,100,24160,1.0,0.998855710029602,0.0011665326310321689,0.034154540416058435,0.10113920271396637
13,380,2,0.01,4,100,24160,1.0,0.9957530498504639,0.004329587798565626,0.06579960333136992,0.10860398411750793
14,380,2,0.01,4,100,24160,1.0,0.9945104718208313,0.005596345290541649,0.07480872469532981,0.09828440099954605
15,380,2,0.01,4,100,24160,1.0,0.9991285800933838,0.0008883948903530836,0.029805953941336682,0.09001466631889343
16,380,2,0.01,4,100,24160,1.0,0.9990965127944946,0.0009210529970005155,0.030348854953696613,0.06469761580228806
17,380,2,0.01,4,100,24160,1.0,0.9955312609672546,0.004555699415504932,0.06749592147311519,0.10427094250917435
18,380,2,0.01,4,100,24160,1.0,0.9940841794013977,0.0060309614054858685,0.07765926477559434,0.09163016080856323
19,380,2,0.01,4,100,24160,1.0,0.9980523586273193,0.001985574373975396,0.044559784267603854,0.07985427230596542
20,380,2,0.01,4,100,24160,1.0,0.9952095150947571,0.004883693065494299,0.0698834248265946,0.09171148389577866
21,380,2,0.01,4,100,24160,1.0,0.9900161027908325,0.010178238153457642,0.10088725466310222,0.07733708620071411
22,380,2,0.01,4,100,24160,1.0,0.9993297457695007,0.0006832766812294722,0.026139561611271758,0.07600445300340652
23,380,2,0.01,4,100,24160,1.0,0.9988520741462708,0.0011702923802658916,0.034209536393612405,0.09119001030921936
