seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,3,100,2416,0.1,0.926227867603302,0.0849665179848671,0.291490167904283,0.15035082399845123
2,350,1,0.01,3,100,2416,0.1,0.9195776581764221,0.09262589365243912,0.30434502403101504,0.13699547946453094
3,350,1,0.01,3,100,2416,0.1,0.9273957014083862,0.08362147957086563,0.28917378783504155,0.152354896068573
4,350,1,0.01,3,100,2416,0.1,0.9076787233352661,0.10633040219545364,0.32608342827481074,0.15691101551055908
5,350,1,0.01,3,100,2416,0.1,0.9323393702507019,0.07792764902114868,0.279155241794147,0.16346526145935059
6,350,1,0.01,3,100,2416,0.1,0.9271087050437927,0.08395204693078995,0.2897447962100268,0.13303956389427185
7,350,1,0.01,3,100,2416,0.1,0.9068746566772461,0.10725649446249008,0.327500373224963,0.17928971350193024
8,350,1,0.01,3,100,2416,0.1,0.9266471862792969,0.08448359370231628,0.29066061601516685,0.1382703334093094
9,350,1,0.01,3,100,2416,0.1,0.9300376176834106,0.08057870715856552,0.2838638884369858,0.17292533814907074
10,350,1,0.01,3,100,2416,0.1,0.9161221385002136,0.09660575538873672,0.31081466405035774,0.14984101057052612
11,350,1,0.01,3,100,2416,0.1,0.9218052625656128,0.09006021916866302,0.30010034849806994,0.1401209980249405
12,350,1,0.01,3,100,2416,0.1,0.9184530377388,0.09392111748456955,0.30646552413700556,0.15762503445148468
13,350,1,0.01,3,100,2416,0.1,0.9159632921218872,0.09678865969181061,0.3111087586227855,0.19676576554775238
14,350,1,0.01,3,100,2416,0.1,0.9207242727279663,0.09130529314279556,0.3021676573407478,0.17643289268016815
15,350,1,0.01,3,100,2416,0.1,0.9149187803268433,0.09799168258905411,0.31303623207075265,0.1517423391342163
16,350,1,0.01,3,100,2416,0.1,0.9226219654083252,0.08911961317062378,0.2985290826211473,0.16685497760772705
17,350,1,0.01,3,100,2416,0.1,0.9126416444778442,0.10061434656381607,0.3171976458989191,0.1398446410894394
18,350,1,0.01,3,100,2416,0.1,0.9156114459037781,0.09719394892454147,0.3117594407945676,0.14992505311965942
19,350,1,0.01,3,100,2416,0.1,0.9264743328094482,0.0846826583147049,0.29100284932403137,0.11250704526901245
20,350,1,0.01,3,100,2416,0.1,0.9095215201377869,0.10420797765254974,0.3228126045441066,0.15143601596355438
21,350,1,0.01,3,100,2416,0.1,0.9329313039779663,0.07724590599536896,0.2779314771582538,0.2105063498020172
