seed,max_neurons,layers,lr,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,2,0.01,1,0.9909906387329102,0.008791787549853325,0.09376453247285631,0.355228066444397
1,390,2,0.01,2,0.991215705871582,0.008572174236178398,0.09258603693958609,0.31455695629119873
1,390,2,0.01,3,0.9935624003410339,0.006282154470682144,0.07926004334267137,0.3743496239185333
1,390,2,0.01,4,0.9940903782844543,0.00576690724119544,0.07594015565690816,0.2991885840892792
1,390,2,0.01,5,0.9837738275527954,0.015834342688322067,0.12583458462728786,0.5335976481437683
1,390,2,0.01,6,0.9862126708030701,0.013454397208988667,0.11599309121231603,0.3574962615966797
1,390,2,0.01,7,0.9922994375228882,0.007514619268476963,0.08668690367337481,0.27927494049072266
1,390,2,0.01,8,0.9960793852806091,0.0038259332068264484,0.061854128454182006,0.21200528740882874
1,390,2,0.01,9,0.9930803179740906,0.006752577610313892,0.08217406896530006,0.25967684388160706
1,390,2,0.01,10,0.9968976974487305,0.0030273781158030033,0.05502161498723027,0.22778449952602386
1,390,2,0.01,11,0.993320107460022,0.006518559530377388,0.080737596758743,0.3484664261341095
1,390,2,0.01,12,0.9696800708770752,0.02958773635327816,0.17201086114916744,0.668185830116272
1,390,2,0.01,13,0.9946109056472778,0.005258932709693909,0.07251849908605326,0.25005123019218445
1,390,2,0.01,14,0.9947142601013184,0.005158111918717623,0.07181999664938465,0.2356615960597992
1,390,2,0.01,15,0.9963307976722717,0.003580577904358506,0.05983793031479704,0.2434876263141632
1,390,2,0.01,16,0.9965208172798157,0.0033951608929783106,0.05826800917294421,0.22866325080394745
1,390,2,0.01,17,0.9872280359268188,0.012463525868952274,0.11164016243696653,0.2958778738975525
1,390,2,0.01,18,0.9703245759010315,0.028958797454833984,0.17017284582104744,0.2927810251712799
1,390,2,0.01,19,0.9967931509017944,0.0031293865758925676,0.05594092040619789,0.26022669672966003
1,390,2,0.01,20,0.9931665658950806,0.006668416783213615,0.08166037462082583,0.20757442712783813
