seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,400,1,0.01,100,2304,0.1,0.9876487851142883,0.01203923113644123,0.10972343020723163,1.8875045776367188
2,400,1,0.01,100,2304,0.1,0.9944658875465393,0.005394314415752888,0.0734459965944563,1.6234651803970337
3,400,1,0.01,100,2304,0.1,0.9871845841407776,0.012491668574512005,0.11176613339698213,1.3431098461151123
4,400,1,0.01,100,2304,0.1,0.97507244348526,0.024297848343849182,0.15587767108809775,1.7049086093902588
5,400,1,0.01,100,2304,0.1,0.9903030395507812,0.009452005848288536,0.09722142689905625,1.9124265909194946
6,400,1,0.01,100,2304,0.1,0.9958747625350952,0.004021041095256805,0.06341167948617041,0.8990439176559448
7,400,1,0.01,100,2304,0.1,0.9963347911834717,0.0035726192872971296,0.05977139188020578,0.8045344352722168
8,400,1,0.01,100,2304,0.1,0.9923573732376099,0.007449588272720575,0.08631099740311529,1.57460355758667
9,400,1,0.01,100,2304,0.1,0.9910767078399658,0.008697880432009697,0.09326242776171816,0.8036162853240967
10,400,1,0.01,100,2304,0.1,0.9963088035583496,0.0035979675594717264,0.05998306060440503,0.4497458040714264
11,400,1,0.01,100,2304,0.1,0.9943689703941345,0.005488795693963766,0.07408640694461952,0.6394925117492676
12,400,1,0.01,100,2304,0.1,0.9894561171531677,0.010277524590492249,0.10137812678527972,2.675852060317993
13,400,1,0.01,100,2304,0.1,0.9921554923057556,0.007646330166608095,0.08744329686492897,0.6360556483268738
14,400,1,0.01,100,2304,0.1,0.9946536421775818,0.005211310926824808,0.07218941007394927,0.6630579829216003
15,400,1,0.01,100,2304,0.1,0.9973194599151611,0.0026128224562853575,0.05111577502381586,0.8703399896621704
16,400,1,0.01,100,2304,0.1,0.9966161251068115,0.003298380644991994,0.057431530059645755,1.355704426765442
17,400,1,0.01,100,2304,0.1,0.995705783367157,0.004185766447335482,0.06469749954469246,2.1473872661590576
18,400,1,0.01,100,2304,0.1,0.98136967420578,0.01815972663462162,0.1347580299448668,2.100412368774414
19,400,1,0.01,100,2304,0.1,0.9935832619667053,0.006254651118069887,0.07908635228704057,1.736909031867981
20,400,1,0.01,100,2304,0.1,0.9899827837944031,0.009764186106622219,0.09881389632345351,2.792715311050415
21,400,1,0.01,100,2304,0.1,0.979509711265564,0.019972683861851692,0.14132474610573936,0.8628689646720886
22,400,1,0.01,100,2304,0.1,0.9851667881011963,0.01445850171148777,0.12024351005974405,3.655954122543335
23,400,1,0.01,100,2304,0.1,0.9955912828445435,0.004297357052564621,0.06555422986020522,1.5255309343338013
24,400,1,0.01,100,2304,0.1,0.9970422387123108,0.0028830550145357847,0.05369408733311131,0.7267884016036987
25,400,1,0.01,100,2304,0.1,0.9940445423126221,0.005805032327771187,0.07619076274569764,0.6057627201080322
26,400,1,0.01,100,2304,0.1,0.9945901036262512,0.005273262970149517,0.07261723604041617,0.5924807190895081
27,400,1,0.01,100,2304,0.1,0.9917382597923279,0.00805304478853941,0.08973875856361849,1.238602876663208
28,400,1,0.01,100,2304,0.1,0.996120274066925,0.003781696781516075,0.06149550212426983,0.3994412422180176
29,400,1,0.01,100,2304,0.1,0.9960024952888489,0.003896520007401705,0.06242211152629895,0.6183108687400818
30,400,1,0.01,100,2304,0.1,0.9795358777046204,0.01994716003537178,0.14123441519463936,0.7809585332870483
1,400,1,0.01,100,5761,0.25,0.9982480406761169,0.0017076896037906408,0.041324201187568535,1.322265863418579
2,400,1,0.01,100,5761,0.25,0.9964792728424072,0.0034317972604185343,0.058581543684154774,0.7443594932556152
3,400,1,0.01,100,5761,0.25,0.9965665936470032,0.003346672747284174,0.057850434287775004,0.4936878979206085
4,400,1,0.01,100,5761,0.25,0.9985103607177734,0.0014519920805469155,0.03810501385050156,0.5503654479980469
5,400,1,0.01,100,5761,0.25,0.998240053653717,0.0017155131790786982,0.041418753953718815,0.48293426632881165
6,400,1,0.01,100,5761,0.25,0.9985116124153137,0.0014507900923490524,0.038089238537269976,0.6901488304138184
7,400,1,0.01,100,5761,0.25,0.9980430603027344,0.0019075203454121947,0.04367516852185226,1.5544320344924927
