seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,2,0.01,100,2304,0.1,0.9572157263755798,0.04175109788775444,0.20433085397891929,0.4301305413246155
2,390,2,0.01,100,2304,0.1,0.9853066802024841,0.014338521286845207,0.11974356469909023,0.3994400203227997
3,390,2,0.01,100,2304,0.1,0.9719771146774292,0.027346165850758553,0.16536676162626682,0.4773600697517395
4,390,2,0.01,100,2304,0.1,0.9799401760101318,0.01957543008029461,0.1399122227694729,0.3893919885158539
5,390,2,0.01,100,2304,0.1,0.9937063455581665,0.0061417026445269585,0.07836901584508356,0.2667189836502075
6,390,2,0.01,100,2304,0.1,0.9751919507980347,0.024209000170230865,0.15559241681467276,0.654423177242279
7,390,2,0.01,100,2304,0.1,0.964127242565155,0.035006482154130936,0.18710019282227086,0.7316330671310425
8,390,2,0.01,100,2304,0.1,0.9923385381698608,0.007476454135030508,0.08646649140002448,0.33784219622612
9,390,2,0.01,100,2304,0.1,0.9846470952033997,0.01498215738683939,0.12240162330148809,0.38721054792404175
10,390,2,0.01,100,2304,0.1,0.988656222820282,0.011069866828620434,0.10521343463940541,0.4020887017250061
11,390,2,0.01,100,2304,0.1,0.990997850894928,0.008784748613834381,0.0937269897832763,0.39598506689071655
12,390,2,0.01,100,2304,0.1,0.9925276637077332,0.007291886955499649,0.08539254625258372,0.29217806458473206
13,390,2,0.01,100,2304,0.1,0.9940786361694336,0.00577840069308877,0.07601579239269146,0.2748258411884308
14,390,2,0.01,100,2304,0.1,0.9916656613349915,0.00813307799398899,0.09018357940328711,0.5101503729820251
15,390,2,0.01,100,2304,0.1,0.9702153205871582,0.029065433889627457,0.17048587592415818,0.6268466711044312
16,390,2,0.01,100,2304,0.1,0.9930978417396545,0.006735493894666433,0.08207005479872932,0.2785389721393585
17,390,2,0.01,100,2304,0.1,0.991809070110321,0.007993127219378948,0.08940429083315268,0.39207494258880615
18,390,2,0.01,100,2304,0.1,0.9932602047920227,0.006577023770660162,0.08109885184551112,0.2779584527015686
19,390,2,0.01,100,2304,0.1,0.9227641820907593,0.07537069916725159,0.27453724550095493,0.7502069473266602
