seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,400,1,0.01,3,100,2304,0.1,0.9949437379837036,0.004928539041429758,0.07020355433615708,1.3380552530288696
2,400,1,0.01,3,100,2304,0.1,0.9941508173942566,0.0057014296762645245,0.07550781202143607,3.4870119094848633
3,400,1,0.01,3,100,2304,0.1,0.9962103962898254,0.0036938737612217665,0.060777247068469355,1.3641843795776367
4,400,1,0.01,3,100,2304,0.1,0.9947442412376404,0.005123006645590067,0.07157518177126808,1.037409782409668
5,400,1,0.01,3,100,2304,0.1,0.9957496523857117,0.004142971243709326,0.06436591678605476,1.0472525358200073
6,400,1,0.01,3,100,2304,0.1,0.9922645688056946,0.0075400518253445625,0.08683347180289731,1.799382209777832
7,400,1,0.01,3,100,2304,0.1,0.9941851496696472,0.00566796725615859,0.0752859034358929,1.4685468673706055
8,400,1,0.01,3,100,2304,0.1,0.9956709146499634,0.004219716414809227,0.06495934432250088,0.6832858920097351
9,400,1,0.01,3,100,2304,0.1,0.9955286383628845,0.004358412232249975,0.06601827195746625,0.5023078322410583
10,400,1,0.01,3,100,2304,0.1,0.9885441064834595,0.01116650179028511,0.10567166976198072,1.2974447011947632
11,400,1,0.01,3,100,2304,0.1,0.8109474182128906,0.1842769980430603,0.42927496787380964,5.124205112457275
12,400,1,0.01,3,100,2304,0.1,0.9931383728981018,0.006688269320875406,0.08178183979879278,2.262380361557007
13,400,1,0.01,3,100,2304,0.1,0.9951968193054199,0.004681841470301151,0.06842398315138597,0.9403942227363586
14,400,1,0.01,3,100,2304,0.1,0.9955172538757324,0.0043694861233234406,0.06610208864569592,0.9054038524627686
15,400,1,0.01,3,100,2304,0.1,0.9681644439697266,0.03103138692677021,0.17615727894915445,2.7429111003875732
16,400,1,0.01,3,100,2304,0.1,0.9937697649002075,0.006072835065424442,0.07792839704128683,0.7225946187973022
17,400,1,0.01,3,100,2304,0.1,0.9962857961654663,0.0036203537601977587,0.06016937560086326,1.7125705480575562
18,400,1,0.01,3,100,2304,0.1,0.9950476884841919,0.004827193450182676,0.06947800695315516,0.8952236771583557
19,400,1,0.01,3,100,2304,0.1,0.9907565116882324,0.009009980596601963,0.09492091759249888,1.1564342975616455
20,400,1,0.01,3,100,2304,0.1,0.996066689491272,0.0038339358288794756,0.0619187841359912,0.7812945246696472
21,400,1,0.01,3,100,2304,0.1,0.9956961274147034,0.004195166286081076,0.0647701033354207,1.2755887508392334
22,400,1,0.01,3,100,2304,0.1,0.9962750673294067,0.0036308246199041605,0.06025632431458262,0.5270721912384033
23,400,1,0.01,3,100,2304,0.1,0.995215117931366,0.004664009902626276,0.0682935568163372,2.4711532592773438
24,400,1,0.01,3,100,2304,0.1,0.9915361404418945,0.00825007539242506,0.09082992564361737,0.3934387266635895
25,400,1,0.01,3,100,2304,0.1,0.9885717034339905,0.01113960798829794,0.1055443413371742,3.000505208969116
26,400,1,0.01,3,100,2304,0.1,0.9951276779174805,0.004749245010316372,0.06891476627194183,0.6812241077423096
27,400,1,0.01,3,100,2304,0.1,0.9948433637619019,0.005026376340538263,0.07089694168677703,1.5363914966583252
28,400,1,0.01,3,100,2304,0.1,0.9959050416946411,0.003991544712334871,0.06317867292318564,0.4798450767993927
29,400,1,0.01,3,100,2304,0.1,0.9946660399436951,0.0051992484368383884,0.07210581416805713,1.892697811126709
30,400,1,0.01,3,100,2304,0.1,0.9936296939849854,0.0062093911692500114,0.07879969015960667,0.9360980987548828
1,400,1,0.01,3,100,5761,0.25,0.9973220825195312,0.0026102547999471426,0.051090652764934824,1.1457935571670532
2,400,1,0.01,3,100,5761,0.25,0.9983124732971191,0.001644895295612514,0.04055730878167971,1.0319910049438477
3,400,1,0.01,3,100,5761,0.25,0.9982881546020508,0.0016686144517734647,0.04084867747887885,0.2947015166282654
4,400,1,0.01,3,100,5761,0.25,0.9977653622627258,0.0021781744435429573,0.04667091646349959,0.4933033287525177
5,400,1,0.01,3,100,5761,0.25,0.9980422854423523,0.0019082495709881186,0.04368351600991063,1.061816692352295
6,400,1,0.01,3,100,5761,0.25,0.9979662895202637,0.0019823312759399414,0.04452337898160854,0.7987693548202515
7,400,1,0.01,3,100,5761,0.25,0.9974677562713623,0.002468295395374298,0.0496819423470369,0.7061810493469238
8,400,1,0.01,3,100,5761,0.25,0.9980764985084534,0.0018749383743852377,0.04330055859206943,1.0536057949066162
9,400,1,0.01,3,100,5761,0.25,0.9981467723846436,0.001806394080631435,0.04250169503245059,0.3298341929912567
10,400,1,0.01,3,100,5761,0.25,0.998002827167511,0.0019467000383883715,0.04412142380282363,0.3239639401435852
11,400,1,0.01,3,100,5761,0.25,0.9980785250663757,0.0018729360308498144,0.04327743096406965,0.8000873327255249
12,400,1,0.01,3,100,5761,0.25,0.9975030422210693,0.0024338706862181425,0.04933427496394512,0.5198724865913391
13,400,1,0.01,3,100,5761,0.25,0.9983215928077698,0.001636027591302991,0.0404478379064072,0.4325810670852661
14,400,1,0.01,3,100,5761,0.25,0.9981817603111267,0.0017723141936585307,0.04209886214208801,1.037410855293274
15,400,1,0.01,3,100,5761,0.25,0.9974754452705383,0.0024607719387859106,0.04960616835420682,0.5149275660514832
16,400,1,0.01,3,100,5761,0.25,0.9979622960090637,0.0019862058106809855,0.0445668689800056,0.7636132836341858
17,400,1,0.01,3,100,5761,0.25,0.998017430305481,0.0019325000466778874,0.04396020981157719,0.36926233768463135
18,400,1,0.01,3,100,5761,0.25,0.9975383281707764,0.002399513265118003,0.04898482688667995,0.6740747690200806
19,400,1,0.01,3,100,5761,0.25,0.9983115792274475,0.0016457464080303907,0.04056780013792208,0.36049842834472656
20,400,1,0.01,3,100,5761,0.25,0.9976584911346436,0.0022823819890618324,0.04777428166976278,0.7201444506645203
21,400,1,0.01,3,100,5761,0.25,0.9974230527877808,0.0025118733756244183,0.05011859311297972,1.2087992429733276
22,400,1,0.01,3,100,5761,0.25,0.9983134865760803,0.0016439107712358236,0.040545169517907105,0.37197554111480713
23,400,1,0.01,3,100,5761,0.25,0.9975647330284119,0.002373739378526807,0.04872103630390888,0.5636935830116272
24,400,1,0.01,3,100,5761,0.25,0.9977976083755493,0.002146743470802903,0.04633296311270091,0.39640048146247864
25,400,1,0.01,3,100,5761,0.25,0.9981706142425537,0.0017831638688221574,0.04222752501416768,0.6210752129554749
26,400,1,0.01,3,100,5761,0.25,0.9979462027549744,0.002001943299546838,0.04474308102429735,0.4948314130306244
27,400,1,0.01,3,100,5761,0.25,0.9984983801841736,0.0014636825071647763,0.038258103810366456,0.9848898649215698
28,400,1,0.01,3,100,5761,0.25,0.9984583854675293,0.0015026790788397193,0.03876440479150582,0.7979944944381714
29,400,1,0.01,3,100,5761,0.25,0.9979948401451111,0.001954527571797371,0.04421003926482503,0.5923972129821777
30,400,1,0.01,3,100,5761,0.25,0.998377799987793,0.0015812289202585816,0.039764669246186136,0.38824179768562317
1,400,1,0.01,3,100,11523,0.5,0.9979203343391418,0.0020271490793675184,0.04502387232754995,0.8003280758857727
2,400,1,0.01,3,100,11523,0.5,0.9959095120429993,0.003987161908298731,0.06314397760910165,0.756072998046875
3,400,1,0.01,3,100,11523,0.5,0.9964586496353149,0.003451911499723792,0.058752970135336924,0.4742862582206726
4,400,1,0.01,3,100,11523,0.5,0.9955343008041382,0.004352903924882412,0.06597654071624559,0.6305639147758484
5,400,1,0.01,3,100,11523,0.5,0.998071014881134,0.0018802678678184748,0.04336205562261174,0.44794511795043945
6,400,1,0.01,3,100,11523,0.5,0.9965983033180237,0.00331574073061347,0.05758246895204711,0.761049211025238
7,400,1,0.01,3,100,11523,0.5,0.9971356987953186,0.002791921840980649,0.05283863965868774,0.998263418674469
8,400,1,0.01,3,100,11523,0.5,0.9939777255058289,0.0058701736852526665,0.07661705870922393,1.3824843168258667
9,400,1,0.01,3,100,11523,0.5,0.9980498552322388,0.0019008754752576351,0.043599030668784775,0.5081743001937866
10,400,1,0.01,3,100,11523,0.5,0.9985272288322449,0.001435553189367056,0.037888694743512294,0.9699149131774902
11,400,1,0.01,3,100,11523,0.5,0.9975928664207458,0.0023463070392608643,0.0484386936163731,0.31674450635910034
12,400,1,0.01,3,100,11523,0.5,0.9921700358390808,0.0076321945525705814,0.08736243215805396,0.5690401792526245
13,400,1,0.01,3,100,11523,0.5,0.9962784647941589,0.0036275109741836786,0.060228821789768384,0.6896841526031494
14,400,1,0.01,3,100,11523,0.5,0.998343288898468,0.0016148617723956704,0.0401853427557321,1.1131633520126343
15,400,1,0.01,3,100,11523,0.5,0.9948967695236206,0.004974312148988247,0.07052880368323461,0.40547990798950195
16,400,1,0.01,3,100,11523,0.5,0.9974449276924133,0.0024905537720769644,0.04990544832056881,0.6761891841888428
17,400,1,0.01,3,100,11523,0.5,0.9906800389289856,0.00908452644944191,0.09531278219337588,0.5996752977371216
18,400,1,0.01,3,100,11523,0.5,0.9983770251274109,0.0015820019179955125,0.03977438771364699,0.8847501873970032
19,400,1,0.01,3,100,11523,0.5,0.9981263279914856,0.00182631378993392,0.0427353927083152,0.4722197353839874
