seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,2,0.01,4,100,2304,0.1,0.9929019212722778,0.006926693022251129,0.08322675664863512,0.2794684171676636
2,390,2,0.01,4,100,2304,0.1,0.9922994375228882,0.007514581084251404,0.08668668343091344,0.33087772130966187
3,390,2,0.01,4,100,2304,0.1,0.9840149879455566,0.01559899840503931,0.1248959503148093,0.469177782535553
4,390,2,0.01,4,100,2304,0.1,0.9941045045852661,0.005753157194703817,0.07584956950902107,0.2737981677055359
5,390,2,0.01,4,100,2304,0.1,0.9892944097518921,0.01044704020023346,0.10221076362220106,0.4356105923652649
6,390,2,0.01,4,100,2304,0.1,0.99405437707901,0.005802053026854992,0.07617120864772327,0.2890421152114868
7,390,2,0.01,4,100,2304,0.1,0.9863238334655762,0.013345884159207344,0.1155243877248754,0.5355736613273621
8,390,2,0.01,4,100,2304,0.1,0.9854781627655029,0.014171190559864044,0.1190428097780964,0.48249900341033936
9,390,2,0.01,4,100,2304,0.1,0.9944772720336914,0.005389392375946045,0.07341248106382214,0.29098591208457947
10,390,2,0.01,4,100,2304,0.1,0.9893931746482849,0.010350716300308704,0.10173847010992795,0.3973250091075897
11,390,2,0.01,4,100,2304,0.1,0.9911996722221375,0.00858781486749649,0.09267046383555275,0.3262336850166321
12,390,2,0.01,4,100,2304,0.1,0.9755355715751648,0.02387368120253086,0.15451110381629815,0.49337446689605713
13,390,2,0.01,4,100,2304,0.1,0.9918261170387268,0.007976483553647995,0.08931116141696957,0.3716096580028534
14,390,2,0.01,4,100,2304,0.1,0.994398295879364,0.005466423463076353,0.07393526535474362,0.2961147725582123
15,390,2,0.01,4,100,2304,0.1,0.9761030673980713,0.02331984043121338,0.15270835088891957,0.5316336154937744
16,390,2,0.01,4,100,2304,0.1,0.979939341545105,0.019576240330934525,0.13991511830725986,0.5367990136146545
17,390,2,0.01,4,100,2304,0.1,0.9945240616798401,0.005343720316886902,0.07310075455757555,0.26128825545310974
18,390,2,0.01,4,100,2304,0.1,0.993134081363678,0.006700134836137295,0.08185435135737926,0.3574048578739166
19,390,2,0.01,4,100,2304,0.1,0.9735673069953918,0.025794371962547302,0.16060626377120943,0.7777750492095947
20,390,2,0.01,4,100,2304,0.1,0.9909631609916687,0.008818602189421654,0.09390741285660921,0.3700231909751892
21,390,2,0.01,4,100,2304,0.1,0.9945554733276367,0.0053130462765693665,0.07289064601558534,0.2609255313873291
22,390,2,0.01,4,100,2304,0.1,0.9939877986907959,0.005867036525160074,0.07659658298618859,0.3001362681388855
