seed,max_neurons,layers,lr,unlock_layers,epoch,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,4,1,0.9861063957214355,0.01354264561086893,0.11637287317441694,2.6338233947753906
1,380,2,0.01,4,2,0.9888889789581299,0.010830327868461609,0.10406886118557082,1.0063197612762451
1,380,2,0.01,4,3,0.989743709564209,0.009997233748435974,0.09998616778552909,2.258469820022583
1,380,2,0.01,4,4,0.9962076544761658,0.003696574829518795,0.060799464056180585,0.734424889087677
1,380,2,0.01,4,5,0.9969327449798584,0.002989762229844928,0.05467871825349354,0.8019933700561523
1,380,2,0.01,4,6,0.9899053573608398,0.009839634411036968,0.0991949313777522,0.5250117778778076
1,380,2,0.01,4,7,0.997006356716156,0.0029180156998336315,0.05401866066308597,0.8278691172599792
1,380,2,0.01,4,8,0.9952770471572876,0.004603623878210783,0.06785001015630568,1.0039575099945068
1,380,2,0.01,4,9,0.9974473714828491,0.002488131634891033,0.049881175155473564,1.2422529458999634
1,380,2,0.01,4,10,0.9945918917655945,0.005271517671644688,0.07260521793676188,0.6389248371124268
1,380,2,0.01,4,11,0.9972003698348999,0.0027289160061627626,0.05223902761501943,0.7171190977096558
1,380,2,0.01,4,12,0.9950312376022339,0.004843247123062611,0.06959344166703219,1.2385425567626953
1,380,2,0.01,4,13,0.9911563992500305,0.008620215579867363,0.09284511607977752,0.8204537630081177
1,380,2,0.01,4,14,0.9941275119781494,0.005724145565181971,0.07565808327721481,1.6874417066574097
1,380,2,0.01,4,15,0.9973174333572388,0.002614809898659587,0.051135211925439274,0.5956755876541138
1,380,2,0.01,4,16,0.9967524409294128,0.00316554494202137,0.05626317571930481,0.8404136300086975
1,380,2,0.01,4,17,0.9962848424911499,0.003621314186602831,0.06017735609515286,0.5459759831428528
1,380,2,0.01,4,18,0.9958205819129944,0.004073865711688995,0.06382684162395157,0.5174732804298401
1,380,2,0.01,4,19,0.9966870546340942,0.003229257185012102,0.0568265535204459,0.7944459915161133
1,380,2,0.01,4,20,0.9947640299797058,0.005103711504489183,0.07144026528848547,0.9948480725288391
1,380,2,0.01,4,21,0.9971838593482971,0.002745028119534254,0.052393015942339624,0.909044623374939
1,380,2,0.01,4,22,0.987401008605957,0.012280705384910107,0.11081834408124905,0.8159455060958862
1,380,2,0.01,4,23,0.9957845211029053,0.004109017550945282,0.06410161894168728,0.7386685013771057
1,380,2,0.01,4,24,0.9966275095939636,0.003287307685241103,0.057335047616977726,1.1841838359832764
1,380,2,0.01,4,25,0.9977552890777588,0.0021879845298826694,0.04677589689020051,0.7658559679985046
1,380,2,0.01,4,26,0.9954587817192078,0.0044265021570026875,0.06653196342362584,0.9553380012512207
1,380,2,0.01,4,27,0.9977441430091858,0.002198855159804225,0.04689195197263839,0.548098623752594
1,380,2,0.01,4,28,0.9975019693374634,0.0024349356535822153,0.049345067165647016,0.7237824201583862
1,380,2,0.01,4,29,0.9918084740638733,0.007984611205756664,0.0893566517152286,0.7272605895996094
1,380,2,0.01,4,30,0.9962192177772522,0.003685281379148364,0.060706518423875734,0.7187245488166809
1,380,2,0.01,4,31,0.9981566071510315,0.0017968353349715471,0.04238909452880006,1.2609360218048096
1,380,2,0.01,4,32,0.998009979724884,0.0019397474825382233,0.04404256444098394,1.1220836639404297
1,380,2,0.01,4,33,0.9965493679046631,0.003363450523465872,0.05799526293988046,1.8188101053237915
1,380,2,0.01,4,34,0.9964370131492615,0.0034729710314422846,0.058931918613280225,0.4712938368320465
1,380,2,0.01,4,35,0.9972655773162842,0.002665362088009715,0.05162714487563413,1.372801661491394
1,380,2,0.01,4,36,0.9978684186935425,0.002077715238556266,0.04558196176730731,1.8583518266677856
1,380,2,0.01,4,37,0.9948475956916809,0.005022278055548668,0.07086803267728453,1.102095365524292
1,380,2,0.01,4,38,0.9975849986076355,0.0023540121037513018,0.04851816261722307,0.5591914057731628
1,380,2,0.01,4,39,0.9974586963653564,0.002477108733728528,0.04977056091434502,0.45652833580970764
1,380,2,0.01,4,40,0.9973904490470886,0.002543638227507472,0.05043449442105544,0.567498505115509
1,380,2,0.01,4,41,0.9951514601707458,0.00472605973482132,0.06874634342873313,0.8417571187019348
1,380,2,0.01,4,42,0.9957107305526733,0.004180897492915392,0.06465985998218209,0.7912915945053101
1,380,2,0.01,4,43,0.9974473118782043,0.002488180762156844,0.049881667595990054,1.2126600742340088
1,380,2,0.01,4,44,0.9864537715911865,0.013204013928771019,0.11490871998578271,1.287877082824707
1,380,2,0.01,4,45,0.9948304295539856,0.0050390055403113365,0.07098595311969359,1.3477225303649902
1,380,2,0.01,4,46,0.9974780678749084,0.002458251314237714,0.04958075548272448,0.5574042201042175
1,380,2,0.01,4,47,0.9971355199813843,0.002792147919535637,0.052840778945201373,0.4874018430709839
1,380,2,0.01,4,48,0.9979783296585083,0.001970601500943303,0.04439145752217766,0.5306026339530945
1,380,2,0.01,4,49,0.9979857802391052,0.001963326707482338,0.04430944264468171,0.5096270442008972
1,380,2,0.01,4,50,0.9966754913330078,0.0032405138481408358,0.05692551139990607,0.684324324131012
1,380,2,0.01,4,51,0.9971961975097656,0.002732998924329877,0.052278092202469255,0.8691055774688721
1,380,2,0.01,4,52,0.9769480228424072,0.022469667717814445,0.1498988582938991,1.2006491422653198
1,380,2,0.01,4,53,0.9968287348747253,0.0030911797657608986,0.05559837916487223,0.8622572422027588
1,380,2,0.01,4,54,0.997509241104126,0.0024278424680233,0.04927314144666747,1.0806721448898315
1,380,2,0.01,4,55,0.9951261878013611,0.004750671796500683,0.06892511731220109,0.5756153464317322
1,380,2,0.01,4,56,0.9979670643806458,0.0019815920386463404,0.04451507653196095,0.7655286192893982
1,380,2,0.01,4,57,0.9977111220359802,0.0022310686763375998,0.04723418969705736,0.5302533507347107
1,380,2,0.01,4,58,0.9981343746185303,0.0018184746149927378,0.04264357647984908,0.7389665246009827
1,380,2,0.01,4,59,0.99749356508255,0.002443097997456789,0.049427704756106056,0.7791474461555481
1,380,2,0.01,4,60,0.9978476762771606,0.002097948919981718,0.0458033723647257,0.5727665424346924
1,380,2,0.01,4,61,0.9960900545120239,0.0038111822213977575,0.06173477319467334,0.7198578715324402
1,380,2,0.01,4,62,0.9979195594787598,0.0020279050804674625,0.045032267103350045,0.689258337020874
1,380,2,0.01,4,63,0.9965143799781799,0.003397546010091901,0.058288472360252336,0.5502088069915771
1,380,2,0.01,4,64,0.9983710646629333,0.0015878151170909405,0.03984739787101462,0.5005097389221191
1,380,2,0.01,4,65,0.9973641633987427,0.002569240052253008,0.050687671600232416,0.6687090396881104
1,380,2,0.01,4,66,0.9958709478378296,0.004024761263281107,0.06344100616542196,0.38349559903144836
1,380,2,0.01,4,67,0.998146116733551,0.0018070683581754565,0.04250962665297658,0.30214595794677734
1,380,2,0.01,4,68,0.9979652166366577,0.00198340998031199,0.04453549124363612,0.47404879331588745
1,380,2,0.01,4,69,0.9977118372917175,0.0022303613368421793,0.047226701524055004,0.8440495729446411
1,380,2,0.01,4,70,0.998115062713623,0.0018373428611084819,0.04286423755426523,0.4598847031593323
1,380,2,0.01,4,71,0.9978695511817932,0.0020766276866197586,0.04557003057514619,0.5148236751556396
1,380,2,0.01,4,72,0.9973552227020264,0.0025779942516237497,0.05077395249164427,0.4054298996925354
1,380,2,0.01,4,73,0.9973191022872925,0.002613202203065157,0.05111948946405037,0.5635035037994385
1,380,2,0.01,4,74,0.9973931908607483,0.002540943445637822,0.05040777167895663,0.8545025587081909
1,380,2,0.01,4,75,0.9982062578201294,0.0017484312411397696,0.041814246868020585,0.4773139953613281
1,380,2,0.01,4,76,0.9964242577552795,0.003485428635030985,0.059037518875973985,0.3203479051589966
1,380,2,0.01,4,77,0.9707633852958679,0.0284980908036232,0.16881377551498336,0.9409708380699158
1,380,2,0.01,4,78,0.9969897270202637,0.002934242831543088,0.054168651741972385,0.9483075737953186
1,380,2,0.01,4,79,0.9933170080184937,0.006514155305922031,0.08071031722104698,0.8877173066139221
1,380,2,0.01,4,80,0.9974419474601746,0.002493441803380847,0.04993437496735938,1.0525046586990356
1,380,2,0.01,4,81,0.996242105960846,0.0036629477981477976,0.060522291745668366,1.012001633644104
1,380,2,0.01,4,82,0.9979899525642395,0.0019592505414038897,0.04426342216101111,0.5011919140815735
1,380,2,0.01,4,83,0.998187243938446,0.00176698446739465,0.042035514358630725,0.9270427823066711
1,380,2,0.01,4,84,0.9976544380187988,0.0022863056510686874,0.047815328620314713,0.615365743637085
1,380,2,0.01,4,85,0.9979794025421143,0.0019695661030709743,0.04437979386016765,1.4587632417678833
1,380,2,0.01,4,86,0.9984126091003418,0.0015473036328330636,0.039335780567227384,0.323146790266037
1,380,2,0.01,4,87,0.9966983795166016,0.0032182419672608376,0.056729551093419005,0.7478081583976746
1,380,2,0.01,4,88,0.9978578686714172,0.002088006353005767,0.04569470815100767,0.6148101091384888
1,380,2,0.01,4,89,0.9983912110328674,0.001568143954500556,0.03959979740479181,0.616786539554596
1,380,2,0.01,4,90,0.9972600340843201,0.002670775167644024,0.05167954302859134,0.868380606174469
1,380,2,0.01,4,91,0.9979300498962402,0.0020176360849291086,0.04491810420007849,1.0503296852111816
1,380,2,0.01,4,92,0.9976217150688171,0.002318179700523615,0.04814747865178004,0.759736955165863
1,380,2,0.01,4,93,0.9980114102363586,0.0019383580656722188,0.04402678804628176,0.9370846152305603
1,380,2,0.01,4,94,0.996606171131134,0.003308105282485485,0.05751613062859397,0.3967801332473755
1,380,2,0.01,4,95,0.9964629411697388,0.003447717521339655,0.05871726765900858,1.3061959743499756
1,380,2,0.01,4,96,0.9959627985954285,0.0039352006278932095,0.06273117747893156,0.5815871357917786
1,380,2,0.01,4,97,0.9982802867889404,0.0016762648010626435,0.040942212947795625,0.3573833703994751
1,380,2,0.01,4,98,0.9981436133384705,0.0018094946863129735,0.04253815565246069,0.31040093302726746
1,380,2,0.01,4,99,0.9978032112121582,0.0021412859205156565,0.046274030735561134,0.8679521679878235
1,380,2,0.01,4,100,0.9975830912590027,0.0023558528628200293,0.04853712870391108,0.3740026652812958
2,380,2,0.01,4,1,0.9747197031974792,0.024641724303364754,0.1569768272814964,2.434035062789917
2,380,2,0.01,4,2,0.9913728833198547,0.00840920489281416,0.09170171695674056,0.8606833815574646
2,380,2,0.01,4,3,0.9925369024276733,0.007274562492966652,0.0852910457959489,0.8940201997756958
2,380,2,0.01,4,4,0.9965733289718628,0.0033401143737137318,0.057793722615122584,1.1764683723449707
2,380,2,0.01,4,5,0.996634304523468,0.0032806796953082085,0.05727721794315964,0.8221966028213501
2,380,2,0.01,4,6,0.9967136979103088,0.003203311935067177,0.05659780857124397,1.2067447900772095
2,380,2,0.01,4,7,0.9960811138153076,0.003819877514615655,0.06180515767001695,1.1211577653884888
2,380,2,0.01,4,8,0.9955177307128906,0.004369060508906841,0.06609886919537157,1.4180412292480469
2,380,2,0.01,4,9,0.9970078468322754,0.0029165935702621937,0.054005495741287234,1.1308437585830688
