seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,100,2304,0.1,0.9815942645072937,0.017940819263458252,0.13394334348319908,0.6817094683647156
2,380,2,0.01,100,2304,0.1,0.9878212213516235,0.011871143244206905,0.10895477614224584,1.3261114358901978
3,380,2,0.01,100,2304,0.1,0.9955928325653076,0.004295811057090759,0.0655424370701209,0.9344563484191895
4,380,2,0.01,100,2304,0.1,0.9909337759017944,0.00883722584694624,0.09400652023634445,0.9146708250045776
5,380,2,0.01,100,2304,0.1,0.99608314037323,0.003817904507741332,0.06178919410173054,0.88324373960495
6,380,2,0.01,100,2304,0.1,0.9961763620376587,0.0037270253524184227,0.06104936815740539,1.2657058238983154
7,380,2,0.01,100,2304,0.1,0.9924476146697998,0.007361609023064375,0.08579981948153723,1.5708431005477905
8,380,2,0.01,100,2304,0.1,0.9872429370880127,0.012434786185622215,0.11151137244972915,2.8827438354492188
9,380,2,0.01,100,2304,0.1,0.9950407147407532,0.004834005609154701,0.06952701352103872,1.4482030868530273
10,380,2,0.01,100,2304,0.1,0.9951686859130859,0.004709291271865368,0.06862427611177671,1.3627901077270508
11,380,2,0.01,100,2304,0.1,0.995499849319458,0.004386456683278084,0.06623033053879532,0.6590742468833923
12,380,2,0.01,100,2304,0.1,0.9935332536697388,0.00630336906760931,0.0793937596263668,0.6996945142745972
13,380,2,0.01,100,2304,0.1,0.9942139983177185,0.00563986087217927,0.07509900713178085,1.307035207748413
14,380,2,0.01,100,2304,0.1,0.9832197427749634,0.016356373205780983,0.12789203730405183,1.541031837463379
15,380,2,0.01,100,2304,0.1,0.9923332333564758,0.007473120000213385,0.08644720932576935,0.9996345043182373
16,380,2,0.01,100,2304,0.1,0.9819209575653076,0.01762232556939125,0.13274910760299388,4.218478679656982
17,380,2,0.01,100,2304,0.1,0.9936066269874573,0.006231889594346285,0.07894231814651939,1.5100297927856445
18,380,2,0.01,100,2304,0.1,0.9878471493721008,0.011845868080854416,0.10883872509752407,2.1750943660736084
19,380,2,0.01,100,2304,0.1,0.9928299784660339,0.00698891282081604,0.08359971782737093,2.301089286804199
20,380,2,0.01,100,2304,0.1,0.9932823181152344,0.00654799398034811,0.08091967610135442,1.7445653676986694
21,380,2,0.01,100,2304,0.1,0.990788459777832,0.008978843688964844,0.09475676065044036,1.8050339221954346
22,380,2,0.01,100,2304,0.1,0.992620050907135,0.007193543948233128,0.08481476256073071,1.9682073593139648
23,380,2,0.01,100,2304,0.1,0.9887605905532837,0.010955500416457653,0.10466852638906145,1.36466646194458
24,380,2,0.01,100,2304,0.1,0.9637414813041687,0.035342611372470856,0.18799630680540205,1.8064550161361694
25,380,2,0.01,100,2304,0.1,0.993974506855011,0.005873295944184065,0.07663743174313753,1.6711876392364502
26,380,2,0.01,100,2304,0.1,0.9954648017883301,0.004420651588588953,0.06648798078291258,1.3581018447875977
27,380,2,0.01,100,2304,0.1,0.995531439781189,0.004355660639703274,0.0659974290385866,1.5828547477722168
28,380,2,0.01,100,2304,0.1,0.9943153262138367,0.00554106617346406,0.07443833806221133,1.4015240669250488
29,380,2,0.01,100,2304,0.1,0.9961526393890381,0.0037501531187444925,0.06123849376613122,0.8864160180091858
30,380,2,0.01,100,2304,0.1,0.987210214138031,0.012466713786125183,0.11165443916891608,1.4520864486694336
1,380,2,0.01,100,5761,0.25,0.9978441596031189,0.0021013657096773386,0.04584065564187906,0.5557876825332642
2,380,2,0.01,100,5761,0.25,0.9982852935791016,0.0016713807126507163,0.040882523315601695,0.7808568477630615
3,380,2,0.01,100,5761,0.25,0.9975447058677673,0.0023932731710374355,0.0489210912698954,1.3412728309631348
4,380,2,0.01,100,5761,0.25,0.9816255569458008,0.0179103072732687,0.1338293961477399,1.9403843879699707
5,380,2,0.01,100,5761,0.25,0.9983885288238525,0.001570739084854722,0.039632550824476614,0.5611271858215332
6,380,2,0.01,100,5761,0.25,0.9986003637313843,0.0013642595149576664,0.03693588383885874,0.36556458473205566
7,380,2,0.01,100,5761,0.25,0.9984473586082458,0.0015134006971493363,0.038902451042952764,0.4850710332393646
8,380,2,0.01,100,5761,0.25,0.9981150031089783,0.0018373599741607904,0.0428644371730318,0.7034006714820862
9,380,2,0.01,100,5761,0.25,0.9976890087127686,0.002252620877698064,0.0474617833387881,0.6192647218704224
10,380,2,0.01,100,5761,0.25,0.9980470538139343,0.0019036359153687954,0.04363067631115515,1.0729681253433228
11,380,2,0.01,100,5761,0.25,0.997817873954773,0.0021270124707370996,0.046119545430729256,0.4398571848869324
12,380,2,0.01,100,5761,0.25,0.996701180934906,0.0032154947984963655,0.05670533306926576,0.7708498239517212
13,380,2,0.01,100,5761,0.25,0.9983534812927246,0.0016049511032178998,0.04006184098637879,1.0514146089553833
14,380,2,0.01,100,5761,0.25,0.9976896643638611,0.0022519894409924746,0.04745513081841072,0.4858762323856354
15,380,2,0.01,100,5761,0.25,0.9982207417488098,0.0017342931823804975,0.04164484580810088,0.35998231172561646
16,380,2,0.01,100,5761,0.25,0.9971646666526794,0.002763701369985938,0.05257091753037926,0.6169875264167786
17,380,2,0.01,100,5761,0.25,0.9980968236923218,0.0018551270477473736,0.043071185817752614,0.4618305265903473
18,380,2,0.01,100,5761,0.25,0.9982278943061829,0.0017273211851716042,0.04156105370622362,1.095772385597229
19,380,2,0.01,100,5761,0.25,0.997399091720581,0.0025352039374411106,0.05035080870692258,0.8550630211830139
