seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,100,2304,0.1,0.9778964519500732,0.021569764241576195,0.1468664844053135,0.5198757648468018
2,350,1,0.01,100,2304,0.1,0.9856929183006287,0.013961616903543472,0.11815928615027882,0.5031346678733826
3,350,1,0.01,100,2304,0.1,0.9901430606842041,0.009618903510272503,0.09807600884147205,0.3312470614910126
4,350,1,0.01,100,2304,0.1,0.9907050728797913,0.009070447646081448,0.09523889775759402,0.43416789174079895
5,350,1,0.01,100,2304,0.1,0.9868796467781067,0.012803534977138042,0.1131527064507873,0.43853816390037537
6,350,1,0.01,100,2304,0.1,0.993014931678772,0.006816369481384754,0.08256130741082504,0.34094351530075073
7,350,1,0.01,100,2304,0.1,0.9913327097892761,0.008457975462079048,0.09196725211769159,0.35779568552970886
8,350,1,0.01,100,2304,0.1,0.988838255405426,0.010892192833125591,0.10436566884337777,0.390317440032959
9,350,1,0.01,100,2304,0.1,0.9909219741821289,0.008858791552484035,0.09412115358666209,0.34239140152931213
10,350,1,0.01,100,2304,0.1,0.9820884466171265,0.01747904345393181,0.13220833352679326,0.36051973700523376
11,350,1,0.01,100,2304,0.1,0.9907368421554565,0.00903948675841093,0.09507621552423577,0.4045174717903137
12,350,1,0.01,100,2304,0.1,0.9939053058624268,0.005947521887719631,0.07712017821374398,0.300489604473114
13,350,1,0.01,100,2304,0.1,0.9942620396614075,0.005599398631602526,0.07482912956598203,0.29359278082847595
14,350,1,0.01,100,2304,0.1,0.9842565059661865,0.015363337472081184,0.12394893090334093,0.532564103603363
15,350,1,0.01,100,2304,0.1,0.9909185171127319,0.008862165734171867,0.09413907655257654,0.3984561562538147
16,350,1,0.01,100,2304,0.1,0.9841217398643494,0.01549484208226204,0.12447827956017884,0.3098191022872925
17,350,1,0.01,100,2304,0.1,0.99210524559021,0.0077041275799274445,0.08777315979231604,0.3693214952945709
18,350,1,0.01,100,2304,0.1,0.9853997230529785,0.014247704297304153,0.11936374783536312,0.36328285932540894
19,350,1,0.01,100,2304,0.1,0.9922320246696472,0.0075804186053574085,0.08706559943719108,0.292391836643219
20,350,1,0.01,100,2304,0.1,0.9838707447052002,0.01573977991938591,0.12545827959678832,0.5234825611114502
