seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,380,2,0.01,4,100,2304,0.1,0.9584511518478394,0.04049927741289139,0.20124432268486828,1.016608476638794
2,380,2,0.01,4,100,2304,0.1,0.9949995279312134,0.004874138161540031,0.06981502819264654,2.1075973510742188
3,380,2,0.01,4,100,2304,0.1,0.9910752773284912,0.008699302561581135,0.09327005179360165,2.18290376663208
4,380,2,0.01,4,100,2304,0.1,0.9901055693626404,0.009644480422139168,0.09820631559191684,0.7033985257148743
5,380,2,0.01,4,100,2304,0.1,0.9931566119194031,0.006670528091490269,0.08167330097094318,1.0994659662246704
6,380,2,0.01,4,100,2304,0.1,0.9890098571777344,0.010712521150708199,0.10350130989851383,1.10679030418396
7,380,2,0.01,4,100,2304,0.1,0.9871121644973755,0.012562288902699947,0.11208161714884358,1.5041751861572266
8,380,2,0.01,4,100,2304,0.1,0.992950439453125,0.006871497258543968,0.08289449474207541,0.779255211353302
9,380,2,0.01,4,100,2304,0.1,0.9947768449783325,0.005091194994747639,0.07135261028685383,1.1146974563598633
10,380,2,0.01,4,100,2304,0.1,0.993492066860199,0.006343555636703968,0.07964644145662735,1.4115022420883179
11,380,2,0.01,4,100,2304,0.1,0.9946966171264648,0.005169421434402466,0.0718986886834695,2.1802639961242676
12,380,2,0.01,4,100,2304,0.1,0.9788259267807007,0.0206392090767622,0.14366352730168572,2.1605141162872314
13,380,2,0.01,4,100,2304,0.1,0.994400143623352,0.005458399187773466,0.07388097987827087,1.0250484943389893
14,380,2,0.01,4,100,2304,0.1,0.9919411540031433,0.007855253294110298,0.08862986682890987,1.1638078689575195
15,380,2,0.01,4,100,2304,0.1,0.9956032037734985,0.004285754170268774,0.06546567169340566,0.7986408472061157
16,380,2,0.01,4,100,2304,0.1,0.9932117462158203,0.0066167800687253475,0.08134359267161334,0.6764333844184875
17,380,2,0.01,4,100,2304,0.1,0.9945840239524841,0.005279144737869501,0.07265772318115606,1.5719585418701172
18,380,2,0.01,4,100,2304,0.1,0.9944265484809875,0.005432681646198034,0.07370672727911635,1.1748394966125488
19,380,2,0.01,4,100,2304,0.1,0.9948645830154419,0.005005714483559132,0.07075107408060412,1.7557629346847534
20,380,2,0.01,4,100,2304,0.1,0.994314968585968,0.0055414242669939995,0.07444074332644725,1.2496387958526611
21,380,2,0.01,4,100,2304,0.1,0.9935667514801025,0.006270726677030325,0.07918792001959847,1.0659366846084595
22,380,2,0.01,4,100,2304,0.1,0.9924726486206055,0.007337203249335289,0.08565747631897223,1.3247584104537964
23,380,2,0.01,4,100,2304,0.1,0.9815948605537415,0.01794019155204296,0.13394100026520245,2.206845760345459
24,380,2,0.01,4,100,2304,0.1,0.9950128793716431,0.004861138295382261,0.0697218638260787,1.4181303977966309
25,380,2,0.01,4,100,2304,0.1,0.9955542683601379,0.00433344068005681,0.06582887421228477,1.0233428478240967
