seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,350,1,0.01,3,100,2304,0.1,0.9936907291412354,0.006156888324767351,0.07846584177059054,0.30156975984573364
2,350,1,0.01,3,100,2304,0.1,0.9935305118560791,0.00631325040012598,0.07945596516389428,0.3314740061759949
3,350,1,0.01,3,100,2304,0.1,0.9940229654312134,0.005832726135849953,0.07637228643853707,0.32392948865890503
4,350,1,0.01,3,100,2304,0.1,0.993320643901825,0.0065180580131709576,0.08073449085224331,0.34127628803253174
5,350,1,0.01,3,100,2304,0.1,0.9856605529785156,0.013993180356919765,0.11829277389984465,0.3709789514541626
6,350,1,0.01,3,100,2304,0.1,0.9934019446372986,0.0064387270249426365,0.08024167885172043,0.31415170431137085
7,350,1,0.01,3,100,2304,0.1,0.9930762052536011,0.00675658555701375,0.08219845227870018,0.3701861500740051
8,350,1,0.01,3,100,2304,0.1,0.9931760430335999,0.006659152451902628,0.08160363013924458,0.2700847089290619
9,350,1,0.01,3,100,2304,0.1,0.9927616715431213,0.0070635429583489895,0.08404488656871988,0.31610357761383057
10,350,1,0.01,3,100,2304,0.1,0.9745582342147827,0.02482740394771099,0.15756714107868744,0.8297518491744995
11,350,1,0.01,3,100,2304,0.1,0.994236409664154,0.005624386016279459,0.0749959066634937,0.29374852776527405
12,350,1,0.01,3,100,2304,0.1,0.992798924446106,0.007027165498584509,0.08382819035732854,0.3751862943172455
13,350,1,0.01,3,100,2304,0.1,0.9917193055152893,0.008080748841166496,0.08989298549478984,0.3260195851325989
14,350,1,0.01,3,100,2304,0.1,0.9921665191650391,0.007644327357411385,0.08743184406960307,0.31908681988716125
15,350,1,0.01,3,100,2304,0.1,0.9944227933883667,0.00544255506247282,0.0737736745897398,0.339192271232605
16,350,1,0.01,3,100,2304,0.1,0.9922895431518555,0.007524268236011267,0.08674253994443135,0.2991780936717987
17,350,1,0.01,3,100,2304,0.1,0.9920101165771484,0.007796946447342634,0.08830031963329824,0.2591782510280609
18,350,1,0.01,3,100,2304,0.1,0.9926015138626099,0.00721981143578887,0.08496947355249926,0.3358639180660248
19,350,1,0.01,3,100,2304,0.1,0.9924371242523193,0.007380230817943811,0.08590826978786043,0.3192012310028076
20,350,1,0.01,3,100,2304,0.1,0.9934265613555908,0.0064146751537919044,0.08009166719323493,0.269290030002594
21,350,1,0.01,3,100,2304,0.1,0.9935618042945862,0.0062827253714203835,0.0792636447018454,0.26464083790779114
22,350,1,0.01,3,100,2304,0.1,0.9933455586433411,0.006493765395134687,0.08058390282888195,0.3221888244152069
23,350,1,0.01,3,100,2304,0.1,0.9921203851699829,0.007689320482313633,0.08768877055993905,0.3867683708667755
24,350,1,0.01,3,100,2304,0.1,0.9859879016876221,0.013673754408955574,0.11693482975125749,0.3950327932834625
25,350,1,0.01,3,100,2304,0.1,0.9951409101486206,0.004741762299090624,0.06886045526345744,0.2725703716278076
26,350,1,0.01,3,100,2304,0.1,0.9931842088699341,0.006651182658970356,0.08155478317652715,0.33905908465385437
27,350,1,0.01,3,100,2304,0.1,0.9906999468803406,0.009075458161532879,0.0952651991103408,0.4057249426841736
28,350,1,0.01,3,100,2304,0.1,0.9941024780273438,0.00575513020157814,0.0758625744460214,0.293550044298172
29,350,1,0.01,3,100,2304,0.1,0.9878756999969482,0.011831524781882763,0.10877281269638459,0.4789586663246155
30,350,1,0.01,3,100,2304,0.1,0.9948024153709412,0.005072066094726324,0.07121843928875671,0.26500406861305237
1,350,1,0.01,3,100,5761,0.25,0.9969923496246338,0.0029350093100219965,0.05417572620668777,0.2242201417684555
2,350,1,0.01,3,100,5761,0.25,0.9957265853881836,0.004170248284935951,0.06457745957325939,0.2178330272436142
3,350,1,0.01,3,100,5761,0.25,0.9957339763641357,0.004163033328950405,0.06452157258584454,0.20796559751033783
4,350,1,0.01,3,100,5761,0.25,0.9965634346008301,0.003353596432134509,0.057910244621608264,0.19226284325122833
5,350,1,0.01,3,100,5761,0.25,0.9963335990905762,0.003577875206246972,0.05981534256565762,0.23376096785068512
6,350,1,0.01,3,100,5761,0.25,0.9961920976638794,0.0037159654311835766,0.06095871907433404,0.24745430052280426
7,350,1,0.01,3,100,5761,0.25,0.997122049331665,0.0028084435034543276,0.05299474977254188,0.21219056844711304
8,350,1,0.01,3,100,5761,0.25,0.9968555569648743,0.003068493911996484,0.055393988049214186,0.202493354678154
9,350,1,0.01,3,100,5761,0.25,0.9966423511505127,0.0032765469513833523,0.057241129892616135,0.20670098066329956
10,350,1,0.01,3,100,5761,0.25,0.9959678649902344,0.003934790380299091,0.06272790750773607,0.21132375299930573
11,350,1,0.01,3,100,5761,0.25,0.9949113726615906,0.004965758416801691,0.07046813759992307,0.3486567735671997
12,350,1,0.01,3,100,5761,0.25,0.9965525269508362,0.0033642281778156757,0.05800196701678035,0.19615612924098969
13,350,1,0.01,3,100,5761,0.25,0.9965555667877197,0.0033612616825848818,0.05797638900953458,0.18126587569713593
14,350,1,0.01,3,100,5761,0.25,0.9951408505439758,0.004741797689348459,0.0688607122338163,0.2583160400390625
15,350,1,0.01,3,100,5761,0.25,0.9946261644363403,0.005244088359177113,0.07241607804332621,0.2565097510814667
16,350,1,0.01,3,100,5761,0.25,0.9968004822731018,0.0031222340185195208,0.055876954270249204,0.20542310178279877
17,350,1,0.01,3,100,5761,0.25,0.9965333938598633,0.0033829095773398876,0.0581627851580363,0.21570582687854767
18,350,1,0.01,3,100,5761,0.25,0.9969281554222107,0.002997672650963068,0.054751005935627046,0.18351303040981293
19,350,1,0.01,3,100,5761,0.25,0.9948256015777588,0.005049428902566433,0.07105933367662852,0.3040013611316681
20,350,1,0.01,3,100,5761,0.25,0.9957214593887329,0.004175218753516674,0.06461593265996146,0.2749009132385254
21,350,1,0.01,3,100,5761,0.25,0.9961140751838684,0.0037920980248600245,0.06158001319308096,0.22254276275634766
22,350,1,0.01,3,100,5761,0.25,0.9958170652389526,0.00408190255984664,0.06388976881979336,0.27246367931365967
23,350,1,0.01,3,100,5761,0.25,0.9964516758918762,0.0034626477863639593,0.05884426723448903,0.20789752900600433
24,350,1,0.01,3,100,5761,0.25,0.9967876672744751,0.0031347551848739386,0.05598888447606309,0.19671206176280975
25,350,1,0.01,3,100,5761,0.25,0.9964458346366882,0.003468320472165942,0.058892448345827346,0.20241239666938782
