seed,max_neurons,layers,lr,unlock_layers,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,360,2,0.01,4,1,0.9893205165863037,0.010859671048820019,0.10420974545991377,0.6507107019424438
1,360,2,0.01,4,2,0.9942692518234253,0.005827454850077629,0.07633776817590117,0.49852100014686584
1,360,2,0.01,4,3,0.9961464405059814,0.00391859095543623,0.0625986497892425,0.36072710156440735
1,360,2,0.01,4,4,0.9963694214820862,0.003691848134621978,0.06076058043355065,0.3405480980873108
1,360,2,0.01,4,5,0.9971426725387573,0.0029055140912532806,0.05390282080979882,0.31263652443885803
1,360,2,0.01,4,6,0.9978482723236084,0.0021880040876567364,0.04677610594798092,0.2753506898880005
1,360,2,0.01,4,7,0.9980329871177673,0.002000210341066122,0.04472371117277861,0.21125894784927368
1,360,2,0.01,4,8,0.9968471527099609,0.0032060095109045506,0.056621634654119186,0.2102501541376114
1,360,2,0.01,4,9,0.9986211657524109,0.0014020685339346528,0.03744420561227935,0.17531201243400574
1,360,2,0.01,4,10,0.9970861673355103,0.0029629983473569155,0.05443343042062401,0.20818115770816803
1,360,2,0.01,4,11,0.9986079335212708,0.0014155477983877063,0.03762376640353417,0.20334184169769287
1,360,2,0.01,4,12,0.9986587762832642,0.001363867660984397,0.03693057894190662,0.1978977918624878
1,360,2,0.01,4,13,0.9989851117134094,0.001032021245919168,0.03212508748500412,0.14982379972934723
1,360,2,0.01,4,14,0.999093234539032,0.0009220848442055285,0.03036584996678882,0.1347775012254715
1,360,2,0.01,4,15,0.9982563853263855,0.0017730084946379066,0.042107107412382376,0.21803513169288635
1,360,2,0.01,4,16,0.9987440705299377,0.0012771012261509895,0.035736553081557675,0.16806238889694214
1,360,2,0.01,4,17,0.9991334080696106,0.0008812033920548856,0.029685070187804603,0.11926736682653427
1,360,2,0.01,4,18,0.9989031553268433,0.0011153261875733733,0.033396499630550705,0.16558361053466797
1,360,2,0.01,4,19,0.9990045428276062,0.001012222608551383,0.031815446068716106,0.1407298445701599
1,360,2,0.01,4,20,0.9989550113677979,0.001062604133039713,0.03259760931479045,0.15847660601139069
1,360,2,0.01,4,21,0.9991232752799988,0.0008915266953408718,0.029858444288691128,0.14308270812034607
1,360,2,0.01,4,22,0.9988707900047302,0.001148246810771525,0.03388579069125472,0.1379707157611847
1,360,2,0.01,4,23,0.9991405010223389,0.0008740267949178815,0.029563944170524364,0.16532732546329498
1,360,2,0.01,4,24,0.9991357922554016,0.0008787964470684528,0.029644501126995758,0.144227534532547
1,360,2,0.01,4,25,0.9990434050559998,0.0009727173019200563,0.0311884161495908,0.13477304577827454
1,360,2,0.01,4,26,0.999285876750946,0.0007261577411554754,0.026947314173317447,0.13006173074245453
1,360,2,0.01,4,27,0.9992143511772156,0.0007989295991137624,0.02826534272061392,0.18083040416240692
1,360,2,0.01,4,28,0.9990556240081787,0.0009603287908248603,0.03098917215455844,0.17915388941764832
1,360,2,0.01,4,29,0.9992638826370239,0.0007485506939701736,0.027359654492887398,0.16836071014404297
1,360,2,0.01,4,30,0.9989269971847534,0.0010911255376413465,0.03303218941640633,0.16929325461387634
1,360,2,0.01,4,31,0.9982411861419678,0.0017884605331346393,0.04229019429057567,0.19327428936958313
1,360,2,0.01,4,32,0.999108612537384,0.0009064343757927418,0.030107048606476554,0.18470370769500732
1,360,2,0.01,4,33,0.9990350008010864,0.0009812811622396111,0.031325407614899624,0.19437947869300842
1,360,2,0.01,4,34,0.9992270469665527,0.0007859744946472347,0.028035236661159733,0.18117718398571014
1,360,2,0.01,4,35,0.9991035461425781,0.0009115707944147289,0.030192230696235892,0.12877735495567322
1,360,2,0.01,4,36,0.9991769194602966,0.000836976571008563,0.028930547367939013,0.19070182740688324
1,360,2,0.01,4,37,0.9990670680999756,0.0009486937779001892,0.030800873005487835,0.2240554839372635
1,360,2,0.01,4,38,0.9971526861190796,0.00289533962495625,0.05380836017717182,0.20345079898834229
1,360,2,0.01,4,39,0.9986170530319214,0.0014062514528632164,0.03750001937150455,0.19405652582645416
1,360,2,0.01,4,40,0.998887836933136,0.0011308965040370822,0.03362880467749459,0.22380849719047546
1,360,2,0.01,4,41,0.9991862177848816,0.0008274815627373755,0.02876597925914179,0.2017943561077118
1,360,2,0.01,4,42,0.9992539882659912,0.0007585717830806971,0.027542181886711464,0.12374524772167206
1,360,2,0.01,4,43,0.9992368817329407,0.0007760177832096815,0.02785709574255151,0.16932275891304016
1,360,2,0.01,4,44,0.9990667700767517,0.0009489923832006752,0.030805719975366186,0.18525516986846924
1,360,2,0.01,4,45,0.9993346333503723,0.0006765677826479077,0.0260109166053007,0.12694616615772247
1,360,2,0.01,4,46,0.9993935227394104,0.0006166875245980918,0.024833194007177005,0.17289137840270996
1,360,2,0.01,4,47,0.9993237257003784,0.0006876677507534623,0.026223419890499835,0.1476895809173584
1,360,2,0.01,4,48,0.9993041753768921,0.0007075394387356937,0.0265996135072616,0.19066019356250763
1,360,2,0.01,4,49,0.9990535378456116,0.0009624483063817024,0.03102335098569628,0.1461350917816162
1,360,2,0.01,4,50,0.999282956123352,0.000729130522813648,0.027002416980960203,0.18961086869239807
1,360,2,0.01,4,51,0.9993791580200195,0.0006313254707492888,0.0251261909319596,0.14601834118366241
1,360,2,0.01,4,52,0.9990628957748413,0.0009528984082862735,0.030869052597808595,0.12812449038028717
1,360,2,0.01,4,53,0.9989206790924072,0.001097517553716898,0.033128802479366774,0.13577313721179962
1,360,2,0.01,4,54,0.9993911981582642,0.0006190485437400639,0.024880686158947948,0.13928569853305817
1,360,2,0.01,4,55,0.9993115663528442,0.0007000736659392715,0.02645890522941702,0.15381914377212524
1,360,2,0.01,4,56,0.9993897676467896,0.0006204975070431828,0.02490978737450769,0.10256721824407578
1,360,2,0.01,4,57,0.9992638826370239,0.0007485234527848661,0.02735915665339241,0.10773251950740814
1,360,2,0.01,4,58,0.9993866682052612,0.0006236530607566237,0.024973046685509235,0.10130565613508224
1,360,2,0.01,4,59,0.9988352060317993,0.0011844354448840022,0.034415627916456824,0.12218733876943588
1,360,2,0.01,4,60,0.9993372559547424,0.0006739156669937074,0.02595988572767044,0.1461375504732132
1,360,2,0.01,4,61,0.9992098808288574,0.000803440110757947,0.028345019152541544,0.17926926910877228
1,360,2,0.01,4,62,0.9991474151611328,0.0008669536910019815,0.0294440773501562,0.1932505965232849
1,360,2,0.01,4,63,0.9994111657142639,0.0005987415206618607,0.024469195341528104,0.1872791200876236
1,360,2,0.01,4,64,0.9992685914039612,0.0007437423337250948,0.027271639732973425,0.16120141744613647
1,360,2,0.01,4,65,0.9991259574890137,0.0008887873846106231,0.02981253737290107,0.11591512709856033
1,360,2,0.01,4,66,0.9992724657058716,0.0007398012094199657,0.027199286928520125,0.1546853631734848
1,360,2,0.01,4,67,0.9993776679039001,0.0006328091258183122,0.025155697681008813,0.15138286352157593
1,360,2,0.01,4,68,0.9984648823738098,0.0015609916299581528,0.039509386605693496,0.17791470885276794
1,360,2,0.01,4,69,0.999316394329071,0.0006951685063540936,0.02636604836440405,0.1378985494375229
1,360,2,0.01,4,70,0.9993915557861328,0.0006187361432239413,0.024874407394427336,0.11568411439657211
1,360,2,0.01,4,71,0.998933732509613,0.0010842380579560995,0.03292777031558772,0.17697158455848694
1,360,2,0.01,4,72,0.9991711378097534,0.000842820096295327,0.029031364010244625,0.11348902434110641
1,360,2,0.01,4,73,0.9994093775749207,0.0006005642935633659,0.02450641331495423,0.12962527573108673
