seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,2,0.01,100,2378,0.1,0.9974271059036255,0.002616310026496649,0.05114987806922563,0.22884218394756317
2,390,2,0.01,100,2378,0.1,0.9967602491378784,0.0032944208942353725,0.05739704604102351,0.3644328713417053
3,390,2,0.01,100,2378,0.1,0.998008668422699,0.002024921355769038,0.044999126166727264,0.19998493790626526
4,390,2,0.01,100,2378,0.1,0.9979873895645142,0.002046549692749977,0.04523880737541582,0.22087447345256805
5,390,2,0.01,100,2378,0.1,0.997970700263977,0.0020635342225432396,0.045426140299867426,0.2383314073085785
6,390,2,0.01,100,2378,0.1,0.9979479312896729,0.002086668275296688,0.04568006430924423,0.2628909945487976
7,390,2,0.01,100,2378,0.1,0.9973088502883911,0.002736574038863182,0.05231227426582773,0.2547191381454468
8,390,2,0.01,100,2378,0.1,0.9978275895118713,0.002209088997915387,0.047000946776797885,0.264396071434021
9,390,2,0.01,100,2378,0.1,0.9982826709747314,0.0017462827963754535,0.04178854862729087,0.3041444718837738
10,390,2,0.01,100,2378,0.1,0.9979671835899353,0.002067086286842823,0.045465220628990936,0.24887600541114807
11,390,2,0.01,100,2378,0.1,0.9970465898513794,0.0030032237991690636,0.05480167697405859,0.27869272232055664
12,390,2,0.01,100,2378,0.1,0.9961065053939819,0.003959191031754017,0.06292210288725272,0.28763547539711
13,390,2,0.01,100,2378,0.1,0.9981658458709717,0.001865091035142541,0.04318669974821578,0.16168485581874847
14,390,2,0.01,100,2378,0.1,0.9980513453483582,0.0019815433770418167,0.04451452995418256,0.22790434956550598
15,390,2,0.01,100,2378,0.1,0.9959481358528137,0.004120223689824343,0.06418896859916307,0.3072064220905304
16,390,2,0.01,100,2378,0.1,0.9973403811454773,0.002704471116885543,0.05200452977275675,0.29978787899017334
17,390,2,0.01,100,2378,0.1,0.9976212382316589,0.002418869873508811,0.04918200761974658,0.2455659657716751
18,390,2,0.01,100,2378,0.1,0.9977914690971375,0.0022457970771938562,0.047389841497876485,0.28620341420173645
19,390,2,0.01,100,2378,0.1,0.9980896711349487,0.0019425321370363235,0.04407416632264669,0.17671863734722137
20,390,2,0.01,100,2378,0.1,0.9982319474220276,0.0017979030963033438,0.04240168742282958,0.149706169962883
21,390,2,0.01,100,2378,0.1,0.997843861579895,0.002192534040659666,0.04682450256713536,0.3104654550552368
22,390,2,0.01,100,2378,0.1,0.9969711303710938,0.003079973394051194,0.055497507998568674,0.3253145217895508
23,390,2,0.01,100,2378,0.1,0.9980742335319519,0.0019582791719585657,0.04425244820299286,0.1554143726825714
24,390,2,0.01,100,2378,0.1,0.9962784647941589,0.003784325672313571,0.061516873070025034,0.34802690148353577
25,390,2,0.01,100,2378,0.1,0.9970251321792603,0.003025033976882696,0.05500030887988445,0.3194187879562378
26,390,2,0.01,100,2378,0.1,0.9982319474220276,0.0017978968098759651,0.042401613293316626,0.21382591128349304
27,390,2,0.01,100,2378,0.1,0.9973568320274353,0.0026877333875745535,0.05184335432410362,0.2955828905105591
28,390,2,0.01,100,2378,0.1,0.9982919692993164,0.0017368609551340342,0.04167566382355576,0.251321941614151
29,390,2,0.01,100,2378,0.1,0.9984928369522095,0.0015326070133596659,0.0391485250470521,0.23478518426418304
30,390,2,0.01,100,2378,0.1,0.9984419345855713,0.001584365963935852,0.03980409481367278,0.18289493024349213
1,390,2,0.01,100,5945,0.25,0.9970269799232483,0.0030231671407818794,0.054983335118760114,0.15979444980621338
2,390,2,0.01,100,5945,0.25,0.9983237385749817,0.0017045465065166354,0.04128615393224023,0.17162655293941498
3,390,2,0.01,100,5945,0.25,0.9987770915031433,0.001243534148670733,0.03526377955736924,0.17041510343551636
4,390,2,0.01,100,5945,0.25,0.998797595500946,0.0012226642575114965,0.034966616329171696,0.27394863963127136
5,390,2,0.01,100,5945,0.25,0.998881459236145,0.0011373995803296566,0.03372535515498179,0.14485326409339905
6,390,2,0.01,100,5945,0.25,0.9991204142570496,0.0008944310829974711,0.029907040692744427,0.24922630190849304
7,390,2,0.01,100,5945,0.25,0.9991499781608582,0.0008643885375931859,0.02940048532921159,0.15460683405399323
8,390,2,0.01,100,5945,0.25,0.9984844326972961,0.0015411402564495802,0.039257359264850966,0.3223843276500702
9,390,2,0.01,100,5945,0.25,0.999177873134613,0.0008359834901057184,0.02891337908487554,0.1323794722557068
10,390,2,0.01,100,5945,0.25,0.99847811460495,0.0015475559048354626,0.03933898708451277,0.21829231083393097
11,390,2,0.01,100,5945,0.25,0.999234139919281,0.0007787922513671219,0.027906849542130727,0.12177792936563492
12,390,2,0.01,100,5945,0.25,0.9989155530929565,0.0011027349391952157,0.033207453066973015,0.12501350045204163
13,390,2,0.01,100,5945,0.25,0.9984977841377258,0.0015275570331141353,0.039083974121295995,0.19093474745750427
14,390,2,0.01,100,5945,0.25,0.9977840185165405,0.0022533752489835024,0.047469729817890285,0.15536396205425262
15,390,2,0.01,100,5945,0.25,0.9989587664604187,0.0010588080622255802,0.03253933100457937,0.25273704528808594
16,390,2,0.01,100,5945,0.25,0.9988666772842407,0.001152458251453936,0.03394787550722336,0.17197738587856293
17,390,2,0.01,100,5945,0.25,0.9987714886665344,0.0012492570094764233,0.03534483002472106,0.14966456592082977
18,390,2,0.01,100,5945,0.25,0.993462085723877,0.006648220121860504,0.08153661828810724,0.39794185757637024
