seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,2,0.01,4,100,2378,0.1,0.9972402453422546,0.0028063198551535606,0.05297470958064386,0.26077574491500854
2,390,2,0.01,4,100,2378,0.1,0.9980155229568481,0.0020179804414510727,0.044921937196108014,0.2513628304004669
3,390,2,0.01,4,100,2378,0.1,0.9975051879882812,0.0025368963833898306,0.05036761244480257,0.2639482915401459
4,390,2,0.01,4,100,2378,0.1,0.9974318146705627,0.0026115328073501587,0.051103158487026595,0.3905523419380188
5,390,2,0.01,4,100,2378,0.1,0.9979926347732544,0.002041213447228074,0.04517979025214785,0.19482536613941193
6,390,2,0.01,4,100,2378,0.1,0.9961066246032715,0.003959032706916332,0.06292084477274866,0.32381269335746765
7,390,2,0.01,4,100,2378,0.1,0.9974081516265869,0.002635603304952383,0.05133812720534693,0.3260291814804077
8,390,2,0.01,4,100,2378,0.1,0.9980506300926208,0.0019822765607386827,0.0445227645226426,0.2663603723049164
9,390,2,0.01,4,100,2378,0.1,0.9979729652404785,0.0020612250082194805,0.04540071594390865,0.35875532031059265
10,390,2,0.01,4,100,2378,0.1,0.9973301291465759,0.0027149077504873276,0.05210477665711012,0.31725698709487915
11,390,2,0.01,4,100,2378,0.1,0.9968968629837036,0.003155509475618601,0.05617392166849846,0.2565670609474182
12,390,2,0.01,4,100,2378,0.1,0.9976298213005066,0.0024101620074361563,0.04909340085425083,0.3245627284049988
13,390,2,0.01,4,100,2378,0.1,0.9961567521095276,0.003908062819391489,0.06251450087292938,0.2871951162815094
14,390,2,0.01,4,100,2378,0.1,0.9980376362800598,0.001995442435145378,0.04467037536382897,0.2112700343132019
15,390,2,0.01,4,100,2378,0.1,0.9968184232711792,0.0032352253329008818,0.05687904124456461,0.33766046166419983
16,390,2,0.01,4,100,2378,0.1,0.997359037399292,0.002685525454580784,0.05182205567691023,0.2987998425960541
17,390,2,0.01,4,100,2378,0.1,0.9977549910545349,0.0022828851360827684,0.0477795472569882,0.2905300259590149
18,390,2,0.01,4,100,2378,0.1,0.997627854347229,0.0024121704045683146,0.049113851453213425,0.2091374695301056
19,390,2,0.01,4,100,2378,0.1,0.9975415468215942,0.0024999233428388834,0.049999233422512425,0.29256170988082886
20,390,2,0.01,4,100,2378,0.1,0.9980893731117249,0.0019428523955866694,0.044077799350542325,0.24648654460906982
21,390,2,0.01,4,100,2378,0.1,0.997616708278656,0.0024235150776803493,0.04922920959837106,0.22932027280330658
22,390,2,0.01,4,100,2378,0.1,0.9976262450218201,0.002413802547380328,0.04913046455490044,0.4804849624633789
23,390,2,0.01,4,100,2378,0.1,0.9973118305206299,0.0027335432823747396,0.05228329831193457,0.193314328789711
24,390,2,0.01,4,100,2378,0.1,0.9965704679489136,0.003487379988655448,0.05905404294928035,0.3994465172290802
25,390,2,0.01,4,100,2378,0.1,0.9973363280296326,0.0027085922192782164,0.05204413722292086,0.25505879521369934
26,390,2,0.01,4,100,2378,0.1,0.9975020885467529,0.002540042158216238,0.05039883092112592,0.24087008833885193
27,390,2,0.01,4,100,2378,0.1,0.9968221783638,0.0032314350828528404,0.0568457129681108,0.350730299949646
28,390,2,0.01,4,100,2378,0.1,0.9958492517471313,0.004220794420689344,0.06496764133543209,0.32809868454933167
29,390,2,0.01,4,100,2378,0.1,0.9974479079246521,0.0025951452553272247,0.05094256820506034,0.324424684047699
30,390,2,0.01,4,100,2378,0.1,0.9972667694091797,0.002779367845505476,0.05271971021833747,0.2546814978122711
1,390,2,0.01,4,100,5945,0.25,0.9989002346992493,0.0011183293536305428,0.03344143169229665,0.21909557282924652
2,390,2,0.01,4,100,5945,0.25,0.9991873502731323,0.0008263607742264867,0.028746491511599928,0.11299813538789749
3,390,2,0.01,4,100,5945,0.25,0.9983890652656555,0.0016381333116441965,0.04047385960894014,0.2625385522842407
