seed,max_neurons,layers,lr,epoch,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,1,0.01,1,0.9937861561775208,0.006318677216768265,0.0794901076661006,0.5377930998802185
1,390,1,0.01,2,0.9965516924858093,0.0035064893309026957,0.05921561728887655,0.24768543243408203
1,390,1,0.01,3,0.9975086450576782,0.0025333839002996683,0.050332731897838295,0.2378581166267395
1,390,1,0.01,4,0.9981986284255981,0.001831753645092249,0.04279899116909473,0.18193019926548004
1,390,1,0.01,5,0.9981774687767029,0.0018532859394326806,0.043049807658486476,0.19066819548606873
1,390,1,0.01,6,0.9985998272895813,0.0014237700961530209,0.03773287818538391,0.15236115455627441
1,390,1,0.01,7,0.998825192451477,0.0011946550803259015,0.03456378278380278,0.16733808815479279
1,390,1,0.01,8,0.998974621295929,0.0010426611406728625,0.03229026386812072,0.23138776421546936
1,390,1,0.01,9,0.9983496069908142,0.0016782099846750498,0.040965961293188885,0.3556019961833954
1,390,1,0.01,10,0.9990609884262085,0.0009548555826768279,0.03090073757496458,0.1913386434316635
1,390,1,0.01,11,0.9988731741905212,0.0011458646040409803,0.03385062191512854,0.13230974972248077
1,390,1,0.01,12,0.9991012215614319,0.0009139410103671253,0.030231457298104655,0.13071291148662567
1,390,1,0.01,13,0.9985767602920532,0.0014472806360572577,0.038043141774270664,0.20521143078804016
1,390,1,0.01,14,0.999194324016571,0.0008192952373065054,0.028623333790921444,0.13928541541099548
1,390,1,0.01,15,0.9992895126342773,0.0007225015433505177,0.02687938882025627,0.15645302832126617
1,390,1,0.01,16,0.9990439414978027,0.0009722147951833904,0.03118035912531141,0.17981943488121033
1,390,1,0.01,17,0.998289942741394,0.0017389293061569333,0.04170047129418244,0.18730713427066803
1,390,1,0.01,18,0.9992626309394836,0.0007498222403228283,0.027382882250099758,0.12217582762241364
1,390,1,0.01,19,0.9990806579589844,0.0009348581079393625,0.030575449431518787,0.16732560098171234
1,390,1,0.01,20,0.9985976815223694,0.001425952767021954,0.03776178977514114,0.13526903092861176
