seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,400,1,0.01,100,2378,0.1,0.9988497495651245,0.0011684864293783903,0.034183130772040035,0.14034631848335266
2,400,1,0.01,100,2378,0.1,0.9986956715583801,0.0013249756302684546,0.03640021470085657,0.24018150568008423
3,400,1,0.01,100,2378,0.1,0.9966083765029907,0.003445332869887352,0.05869695792702848,0.2536297142505646
4,400,1,0.01,100,2378,0.1,0.9985670447349548,0.0014556582318618894,0.03815308941438281,0.1868029534816742
5,400,1,0.01,100,2378,0.1,0.9985190629959106,0.001504369080066681,0.03878619703021528,0.17580388486385345
6,400,1,0.01,100,2378,0.1,0.9987319707870483,0.0012881114380434155,0.035890269406113624,0.2008126676082611
7,400,1,0.01,100,2378,0.1,0.9980960488319397,0.001934086554683745,0.04397825092797285,0.2799251675605774
8,400,1,0.01,100,2378,0.1,0.998758852481842,0.0012607796816155314,0.035507459520719466,0.1767984926700592
9,400,1,0.01,100,2378,0.1,0.9989577531814575,0.001058728201314807,0.03253810383711391,0.17922347784042358
10,400,1,0.01,100,2378,0.1,0.9983693361282349,0.001656486070714891,0.04069995172865554,0.18563629686832428
11,400,1,0.01,100,2378,0.1,0.9984661340713501,0.0015581485349684954,0.03947339021376927,0.21749788522720337
12,400,1,0.01,100,2378,0.1,0.9989722967147827,0.0010439928155392408,0.032310877665876564,0.1310911625623703
13,400,1,0.01,100,2378,0.1,0.9987757802009583,0.0012436292599886656,0.03526512810112371,0.22819317877292633
14,400,1,0.01,100,2378,0.1,0.9986737966537476,0.0013471712591126561,0.036703831667996956,0.21942831575870514
15,400,1,0.01,100,2378,0.1,0.9983688592910767,0.001656938693486154,0.04070551183176738,0.14011891186237335
16,400,1,0.01,100,2378,0.1,0.9989322423934937,0.001084636664018035,0.032933822493267234,0.24774780869483948
17,400,1,0.01,100,2378,0.1,0.9988401532173157,0.0011782351648434997,0.03432543029363943,0.16324758529663086
18,400,1,0.01,100,2378,0.1,0.9987606406211853,0.0012589667458087206,0.03548192139398204,0.14504896104335785
19,400,1,0.01,100,2378,0.1,0.998448371887207,0.0015761860413476825,0.039701209570335294,0.20585061609745026
20,400,1,0.01,100,2378,0.1,0.9988340735435486,0.001184376422315836,0.034414770409169314,0.17000828683376312
21,400,1,0.01,100,2378,0.1,0.9987853169441223,0.0012339429231360555,0.03512752372621867,0.22541864216327667
22,400,1,0.01,100,2378,0.1,0.9987872838973999,0.00123193662147969,0.03509895470636825,0.17450717091560364
23,400,1,0.01,100,2378,0.1,0.9985988140106201,0.0014233447145670652,0.03772724101451185,0.15312013030052185
24,400,1,0.01,100,2378,0.1,0.9986596703529358,0.0013615618227049708,0.036899347185349644,0.18750806152820587
25,400,1,0.01,100,2378,0.1,0.9982401132583618,0.001787765184417367,0.04228197233357695,0.37314194440841675
26,400,1,0.01,100,2378,0.1,0.9990246891975403,0.0009907271014526486,0.03147581772492414,0.1505071073770523
27,400,1,0.01,100,2378,0.1,0.9988022446632385,0.001216747215948999,0.034881903846392885,0.14664416015148163
28,400,1,0.01,100,2378,0.1,0.9986062049865723,0.0014158416306599975,0.03762767107674879,0.13970619440078735
29,400,1,0.01,100,2378,0.1,0.9991375207901001,0.0008761566132307053,0.029599942791003926,0.1869642436504364
30,400,1,0.01,100,2378,0.1,0.998387336730957,0.0016382054891437292,0.040474751254871585,0.27351510524749756
1,400,1,0.01,100,5945,0.25,0.9995306134223938,0.000476805871585384,0.02183588495081855,0.11161768436431885
2,400,1,0.01,100,5945,0.25,0.9994812607765198,0.0005269568064250052,0.02295553977638089,0.15184487402439117
3,400,1,0.01,100,5945,0.25,0.9981616139411926,0.001867488375864923,0.04321444637924826,0.20538723468780518
4,400,1,0.01,100,5945,0.25,0.999453067779541,0.0005556151736527681,0.02357149069644871,0.16257606446743011
5,400,1,0.01,100,5945,0.25,0.9987368583679199,0.001283134683035314,0.03582086937855242,0.1751396358013153
6,400,1,0.01,100,5945,0.25,0.9995894432067871,0.00041704531759023666,0.02042168743248796,0.10520514845848083
7,400,1,0.01,100,5945,0.25,0.9991957545280457,0.0008169952197931707,0.02858312823665686,0.1493493914604187
8,400,1,0.01,100,5945,0.25,0.9979248642921448,0.0021080016158521175,0.04591297872989856,0.26022353768348694
9,400,1,0.01,100,5945,0.25,0.999326765537262,0.0006839000852778554,0.026151483424040316,0.1180030032992363
10,400,1,0.01,100,5945,0.25,0.9992641806602478,0.0007474820595234632,0.027340118132946376,0.11604401469230652
11,400,1,0.01,100,5945,0.25,0.9994547963142395,0.0005538559635169804,0.02353414463108826,0.10575728118419647
12,400,1,0.01,100,5945,0.25,0.9991155862808228,0.0008984392043203115,0.029973975450719104,0.12313233315944672
13,400,1,0.01,100,5945,0.25,0.999127209186554,0.0008866051211953163,0.029775915119359744,0.13537757098674774
14,400,1,0.01,100,5945,0.25,0.9993153214454651,0.0006954894633963704,0.02637213422149164,0.12693990767002106
15,400,1,0.01,100,5945,0.25,0.9987537860870361,0.0012659330386668444,0.035579952763696084,0.1459057778120041
16,400,1,0.01,100,5945,0.25,0.9987884759902954,0.0012307094875723124,0.03508146929038623,0.16843904554843903
17,400,1,0.01,100,5945,0.25,0.9987934231758118,0.0012256760383024812,0.03500965635796046,0.12960894405841827
18,400,1,0.01,100,5945,0.25,0.9994619488716125,0.0005465646390803158,0.02337872193000113,0.18921245634555817
19,400,1,0.01,100,5945,0.25,0.9993798732757568,0.0006299510132521391,0.025098824937676647,0.10107191652059555
20,400,1,0.01,100,5945,0.25,0.9971948266029358,0.0028495844453573227,0.053381499092450775,0.2556307315826416
21,400,1,0.01,100,5945,0.25,0.999416172504425,0.000593092234339565,0.02435348505531734,0.16662153601646423
22,400,1,0.01,100,5945,0.25,0.9981984496116638,0.001830065157264471,0.042779260831207346,0.22320961952209473
23,400,1,0.01,100,5945,0.25,0.9995396137237549,0.0004676526878029108,0.02162527890693923,0.08316930383443832
24,400,1,0.01,100,5945,0.25,0.9991744756698608,0.0008385883993469179,0.02895839082799522,0.10499746352434158
