seed,max_neurons,layers,lr,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,1,0.01,100,2378,0.1,0.9978933334350586,0.0021422160789370537,0.04628408018894892,0.1882273405790329
2,390,1,0.01,100,2378,0.1,0.997633159160614,0.0024067661724984646,0.04905880321102895,0.241321861743927
3,390,1,0.01,100,2378,0.1,0.9978110790252686,0.0022258246317505836,0.04717864592960022,0.2018854022026062
4,390,1,0.01,100,2378,0.1,0.9964228868484497,0.0036374747287482023,0.060311480903292386,0.30385327339172363
5,390,1,0.01,100,2378,0.1,0.9985508918762207,0.0014735667500644922,0.038387064879520184,0.19788037240505219
6,390,1,0.01,100,2378,0.1,0.9973378777503967,0.0027070357464253902,0.0520291816812968,0.1817903369665146
7,390,1,0.01,100,2378,0.1,0.9982255697250366,0.001804348430596292,0.04247762270415203,0.15692608058452606
8,390,1,0.01,100,2378,0.1,0.9981697797775269,0.0018610882107168436,0.04314033160184149,0.1972935050725937
9,390,1,0.01,100,2378,0.1,0.9984631538391113,0.0015627758111804724,0.03953195936429754,0.2778073251247406
10,390,1,0.01,100,2378,0.1,0.9985305666923523,0.0014941967092454433,0.038654840696159175,0.32339468598365784
11,390,1,0.01,100,2378,0.1,0.9978848695755005,0.002150829415768385,0.04637703543531416,0.2992861866950989
12,390,1,0.01,100,2378,0.1,0.9965834021568298,0.0034742532297968864,0.058942796250236434,0.2756118178367615
13,390,1,0.01,100,2378,0.1,0.9963452219963074,0.0037164350505918264,0.060962570898805,0.37816593050956726
14,390,1,0.01,100,2378,0.1,0.9978652000427246,0.002170841908082366,0.046592294514032746,0.2373863309621811
15,390,1,0.01,100,2378,0.1,0.9979187250137329,0.0021163909696042538,0.04600424947332859,0.16175946593284607
16,390,1,0.01,100,2378,0.1,0.9986736178398132,0.0013487630058079958,0.03672550892510539,0.1367754340171814
17,390,1,0.01,100,2378,0.1,0.9968487620353699,0.003204377368092537,0.05660722010567677,0.24168474972248077
18,390,1,0.01,100,2378,0.1,0.9982640743255615,0.0017652192618697882,0.04201451251496069,0.13173352181911469
19,390,1,0.01,100,2378,0.1,0.9979671835899353,0.0020671039819717407,0.04546541522928984,0.2335294932126999
20,390,1,0.01,100,2378,0.1,0.9949406981468201,0.005144678987562656,0.07172641764066191,0.4542045295238495
21,390,1,0.01,100,2378,0.1,0.9984318017959595,0.0015946384519338608,0.039932924409988566,0.19908297061920166
22,390,1,0.01,100,2378,0.1,0.9981573224067688,0.0018737663049250841,0.04328702236150096,0.28359055519104004
23,390,1,0.01,100,2378,0.1,0.9981513619422913,0.001879813033156097,0.043356810689395696,0.17440097033977509
24,390,1,0.01,100,2378,0.1,0.9983978271484375,0.001629232312552631,0.04036374998129672,0.27012908458709717
25,390,1,0.01,100,2378,0.1,0.997757077217102,0.0022807903587818146,0.047757620949769,0.22327348589897156
26,390,1,0.01,100,2378,0.1,0.9972019791603088,0.002845217939466238,0.05334058435625015,0.2607367932796478
27,390,1,0.01,100,2378,0.1,0.9980372786521912,0.001995835453271866,0.04467477423862225,0.1762874275445938
28,390,1,0.01,100,2378,0.1,0.9983300566673279,0.0016981316730380058,0.04120839323533503,0.12230102717876434
29,390,1,0.01,100,2378,0.1,0.9983623027801514,0.0016652963822707534,0.04080804310758791,0.26897773146629333
30,390,1,0.01,100,2378,0.1,0.9984158277511597,0.0016108901472762227,0.04013589599443648,0.13347847759723663
1,390,1,0.01,100,5945,0.25,0.999178946018219,0.0008349020499736071,0.028894671653673574,0.16221147775650024
2,390,1,0.01,100,5945,0.25,0.9989188313484192,0.0010994294425472617,0.03315764531065591,0.17622007429599762
3,390,1,0.01,100,5945,0.25,0.9991578459739685,0.0008563580340705812,0.029263595713284813,0.18258745968341827
4,390,1,0.01,100,5945,0.25,0.9976660013198853,0.0023733722046017647,0.048717268033026694,0.1365709900856018
5,390,1,0.01,100,5945,0.25,0.9986445307731628,0.001378354849293828,0.03712620165454349,0.17074672877788544
6,390,1,0.01,100,5945,0.25,0.9984861016273499,0.0015394401270896196,0.03923569965082335,0.24564063549041748
7,390,1,0.01,100,5945,0.25,0.9986844658851624,0.001337739173322916,0.03657511686000355,0.19428052008152008
8,390,1,0.01,100,5945,0.25,0.9983363151550293,0.001691777491942048,0.04113122283548166,0.2254345566034317
9,390,1,0.01,100,5945,0.25,0.9991466403007507,0.000867732334882021,0.029457296802015302,0.20140959322452545
10,390,1,0.01,100,5945,0.25,0.9992979764938354,0.0007138688233681023,0.026718323737991167,0.13670788705348969
11,390,1,0.01,100,5945,0.25,0.9984314441680908,0.0015950362430885434,0.03993790484099715,0.17533226311206818
12,390,1,0.01,100,5945,0.25,0.9990534782409668,0.000962494988925755,0.031024103354098005,0.2387773096561432
13,390,1,0.01,100,5945,0.25,0.9990701675415039,0.0009454966057091951,0.030748928529449528,0.14765916764736176
14,390,1,0.01,100,5945,0.25,0.999261736869812,0.0007506944821216166,0.02739880439219231,0.19774563610553741
15,390,1,0.01,100,5945,0.25,0.9976773858070374,0.002361804014071822,0.048598395180003855,0.22929856181144714
16,390,1,0.01,100,5945,0.25,0.9990105032920837,0.0010061979992315173,0.03172062419359867,0.1501397341489792
17,390,1,0.01,100,5945,0.25,0.999291181564331,0.0007207561866380274,0.026846902738268105,0.1270523965358734
18,390,1,0.01,100,5945,0.25,0.9991711974143982,0.000842761539388448,0.029030355481606627,0.1716080904006958
19,390,1,0.01,100,5945,0.25,0.9993550181388855,0.0006558758905157447,0.025610074004495668,0.1304236799478531
20,390,1,0.01,100,5945,0.25,0.9984340667724609,0.0015923511236906052,0.03990427450400026,0.1775195449590683
21,390,1,0.01,100,5945,0.25,0.9992139339447021,0.000799313304014504,0.0282721294566664,0.12496795505285263
22,390,1,0.01,100,5945,0.25,0.9985625743865967,0.00146166339982301,0.0382317067343718,0.1728620082139969
23,390,1,0.01,100,5945,0.25,0.999247670173645,0.0007650055340491235,0.0276587334136819,0.12246432155370712
24,390,1,0.01,100,5945,0.25,0.9992169141769409,0.0007962897070683539,0.028218605689657204,0.21687442064285278
25,390,1,0.01,100,5945,0.25,0.9991141557693481,0.0009007971384562552,0.030013282700435406,0.13683763146400452
26,390,1,0.01,100,5945,0.25,0.9989692568778992,0.0010481418576091528,0.0323750190364292,0.12769851088523865
27,390,1,0.01,100,5945,0.25,0.9989179968833923,0.0011002363171428442,0.03316981032720634,0.18007118999958038
28,390,1,0.01,100,5945,0.25,0.9978191256523132,0.0022176962811499834,0.04709242275727576,0.15794946253299713
29,390,1,0.01,100,5945,0.25,0.99836665391922,0.0016609180020168424,0.04075436175450233,0.3116479218006134
30,390,1,0.01,100,5945,0.25,0.9989750385284424,0.0010422819759696722,0.03228439214186434,0.14770299196243286
1,390,1,0.01,100,11891,0.5,0.9981917142868042,0.001838795025832951,0.04288117332621568,0.15179677307605743
2,390,1,0.01,100,11891,0.5,0.9937012791633606,0.0064049675129354,0.08003104093372396,0.4503782093524933
3,390,1,0.01,100,11891,0.5,0.9992756843566895,0.0007365362835116684,0.02713920196895385,0.11378677934408188
4,390,1,0.01,100,11891,0.5,0.9994130730628967,0.0005967994802631438,0.024429479737872923,0.1451665163040161
5,390,1,0.01,100,11891,0.5,0.9994682669639587,0.0005407240823842585,0.02325347463034844,0.12537157535552979
6,390,1,0.01,100,11891,0.5,0.9992879033088684,0.0007240914856083691,0.026908948058375844,0.19380687177181244
7,390,1,0.01,100,11891,0.5,0.9994316101074219,0.0005779699422419071,0.024041005433257302,0.10984022915363312
8,390,1,0.01,100,11891,0.5,0.9992483258247375,0.0007643676362931728,0.027647199429475182,0.11837518215179443
9,390,1,0.01,100,11891,0.5,0.9990143775939941,0.0010022636270150542,0.03165854745586181,0.1476069837808609
10,390,1,0.01,100,11891,0.5,0.9993590116500854,0.0006518153240904212,0.025530674180099928,0.11382539570331573
11,390,1,0.01,100,11891,0.5,0.9993314743041992,0.0006798179820179939,0.026073319351743344,0.11960770934820175
