seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Hys_score,Hys_mse,Hys_rmse,Hys_mape
1,400,1,0.01,3,100,2378,0.1,0.9984915256500244,0.0015323705738410354,0.03914550515501154,0.27969828248023987
2,400,1,0.01,3,100,2378,0.1,0.9980338215827942,0.00199729367159307,0.04469109163572837,0.26782989501953125
3,400,1,0.01,3,100,2378,0.1,0.9988376498222351,0.0011807262198999524,0.0343616969880702,0.2076238989830017
4,400,1,0.01,3,100,2378,0.1,0.9980673789978027,0.001963234506547451,0.044308402211628566,0.2381637990474701
5,400,1,0.01,3,100,2378,0.1,0.998407781124115,0.0016174124320968986,0.04021706642828264,0.19701771438121796
6,400,1,0.01,3,100,2378,0.1,0.998092532157898,0.0019376514246687293,0.044018762189193025,0.2944372594356537
7,400,1,0.01,3,100,2378,0.1,0.9975808262825012,0.00245750043541193,0.049573182623389535,0.2585829496383667
8,400,1,0.01,3,100,2378,0.1,0.998099684715271,0.0019303819863125682,0.04393611255348575,0.2489660531282425
9,400,1,0.01,3,100,2378,0.1,0.998289167881012,0.0017378883203491569,0.04168798772247417,0.23788057267665863
10,400,1,0.01,3,100,2378,0.1,0.997791588306427,0.002243385184556246,0.04736438730265859,0.29854291677474976
11,400,1,0.01,3,100,2378,0.1,0.9982960820198059,0.001730924122966826,0.04160437624777982,0.24238315224647522
12,400,1,0.01,3,100,2378,0.1,0.9979643225669861,0.002067922381684184,0.04547441458319375,0.22081847488880157
13,400,1,0.01,3,100,2378,0.1,0.9981341361999512,0.001895377179607749,0.0435359297547181,0.16185763478279114
14,400,1,0.01,3,100,2378,0.1,0.9980611205101013,0.0019695519004017115,0.04437963384708927,0.324832946062088
15,400,1,0.01,3,100,2378,0.1,0.9982035160064697,0.00182490109000355,0.04271886105695644,0.17456741631031036
16,400,1,0.01,3,100,2378,0.1,0.9982197880744934,0.001808411325328052,0.04252541975487193,0.20985417068004608
17,400,1,0.01,3,100,2378,0.1,0.9982422590255737,0.0017855975311249495,0.04225633125491315,0.26555681228637695
18,400,1,0.01,3,100,2378,0.1,0.9979602694511414,0.002072045113891363,0.045519722251913655,0.25838324427604675
19,400,1,0.01,3,100,2378,0.1,0.9979859590530396,0.0020459028892219067,0.04523165804192796,0.23851943016052246
20,400,1,0.01,3,100,2378,0.1,0.9980489015579224,0.001982006011530757,0.044519726094516314,0.18227876722812653
21,400,1,0.01,3,100,2378,0.1,0.9985682964324951,0.0014543433208018541,0.03813585348201682,0.19469226896762848
22,400,1,0.01,3,100,2378,0.1,0.9982891082763672,0.0017379659693688154,0.04168891902375037,0.29868096113204956
23,400,1,0.01,3,100,2378,0.1,0.9975675940513611,0.0024709191638976336,0.04970834098919047,0.20835204422473907
24,400,1,0.01,3,100,2378,0.1,0.9980013370513916,0.0020303099881857634,0.045058961241752606,0.21381241083145142
25,400,1,0.01,3,100,2378,0.1,0.9982784986495972,0.001748734270222485,0.041817870225807595,0.24648156762123108
26,400,1,0.01,3,100,2378,0.1,0.9982942938804626,0.0017326930537819862,0.0416256297703949,0.23358534276485443
27,400,1,0.01,3,100,2378,0.1,0.9983927011489868,0.001632737461477518,0.04040714616843805,0.1565755307674408
28,400,1,0.01,3,100,2378,0.1,0.9982907772064209,0.0017362611833959818,0.041668467495169316,0.21252356469631195
29,400,1,0.01,3,100,2378,0.1,0.9980267286300659,0.0020044955890625715,0.04477159355062729,0.20798976719379425
30,400,1,0.01,3,100,2378,0.1,0.9978147745132446,0.0022198024671524763,0.04711477971032525,0.20226265490055084
1,400,1,0.01,3,100,5945,0.25,0.998371958732605,0.0016538341296836734,0.0406673595120666,0.1575799584388733
2,400,1,0.01,3,100,5945,0.25,0.9986994862556458,0.0013211179757490754,0.03634718662770305,0.17839573323726654
3,400,1,0.01,3,100,5945,0.25,0.9991023540496826,0.0009118654415942729,0.030197109821873232,0.21326912939548492
4,400,1,0.01,3,100,5945,0.25,0.9978145360946655,0.002220073016360402,0.04711765079415996,0.1556778848171234
5,400,1,0.01,3,100,5945,0.25,0.9984904527664185,0.00153347325976938,0.039159587073530025,0.16700448095798492
6,400,1,0.01,3,100,5945,0.25,0.9989665746688843,0.001049764803610742,0.0324000741297106,0.22292813658714294
7,400,1,0.01,3,100,5945,0.25,0.9991893172264099,0.0008234981796704233,0.028696657987828885,0.13469289243221283
8,400,1,0.01,3,100,5945,0.25,0.9990568161010742,0.0009581156191416085,0.03095344276718841,0.1088317409157753
9,400,1,0.01,3,100,5945,0.25,0.9989620447158813,0.0010543673997744918,0.032471024002554826,0.20835261046886444
10,400,1,0.01,3,100,5945,0.25,0.9983228445053101,0.0017037183279171586,0.04127612297584596,0.1532008796930313
11,400,1,0.01,3,100,5945,0.25,0.9985675811767578,0.0014551265630871058,0.03814612120631802,0.21094460785388947
12,400,1,0.01,3,100,5945,0.25,0.9990532398223877,0.0009617629111744463,0.031012302577758496,0.16775687038898468
13,400,1,0.01,3,100,5945,0.25,0.9990278482437134,0.0009875250980257988,0.03142491206074886,0.149571031332016
14,400,1,0.01,3,100,5945,0.25,0.9991689324378967,0.0008442432153970003,0.02905586370075755,0.12390614300966263
15,400,1,0.01,3,100,5945,0.25,0.9993045330047607,0.0007064722594805062,0.02657954588552081,0.15427343547344208
16,400,1,0.01,3,100,5945,0.25,0.999264121055603,0.0007475034799426794,0.027340509869837458,0.13251513242721558
17,400,1,0.01,3,100,5945,0.25,0.999014675617218,0.0010009058751165867,0.03163709650262784,0.14021050930023193
18,400,1,0.01,3,100,5945,0.25,0.9987856149673462,0.0012336268555372953,0.035123024578434234,0.12491670250892639
19,400,1,0.01,3,100,5945,0.25,0.9986616373062134,0.0013595764758065343,0.03687243517597576,0.20892520248889923
20,400,1,0.01,3,100,5945,0.25,0.9986457228660583,0.00137574493419379,0.03709103576598785,0.1760234236717224
21,400,1,0.01,3,100,5945,0.25,0.9986315369606018,0.001390115125104785,0.03728424768055251,0.1218138262629509
22,400,1,0.01,3,100,5945,0.25,0.9990209341049194,0.0009945809142664075,0.031536976936073116,0.15676550567150116
23,400,1,0.01,3,100,5945,0.25,0.998358428478241,0.0016675506485626101,0.04083565413413394,0.17763689160346985
24,400,1,0.01,3,100,5945,0.25,0.9992505311965942,0.0007613378693349659,0.02759235164560944,0.11882127821445465
25,400,1,0.01,3,100,5945,0.25,0.9985722303390503,0.0014503946295008063,0.03808404691600942,0.21988633275032043
26,400,1,0.01,3,100,5945,0.25,0.9963590502738953,0.003698600921779871,0.06081612386349422,0.20476855337619781
27,400,1,0.01,3,100,5945,0.25,0.9990620613098145,0.0009527888032607734,0.030867277224607508,0.16162723302841187
28,400,1,0.01,3,100,5945,0.25,0.9986050128936768,0.00141708308365196,0.03764416400522078,0.19943861663341522
29,400,1,0.01,3,100,5945,0.25,0.9988014101982117,0.0012175623560324311,0.034893586173284495,0.13738024234771729
30,400,1,0.01,3,100,5945,0.25,0.9989388585090637,0.0010779256699606776,0.03283177835513449,0.20481958985328674
1,400,1,0.01,3,100,11891,0.5,0.9993639588356018,0.0006461319862864912,0.025419126387161522,0.20080620050430298
2,400,1,0.01,3,100,11891,0.5,0.9993655681610107,0.0006444920436479151,0.02538684784781118,0.1611146479845047
3,400,1,0.01,3,100,11891,0.5,0.9991621375083923,0.000851126853376627,0.02917407844948366,0.15344281494617462
4,400,1,0.01,3,100,11891,0.5,0.9992757439613342,0.0007357503054663539,0.02712471761081309,0.14378570020198822
5,400,1,0.01,3,100,11891,0.5,0.9992948770523071,0.0007163071422837675,0.026763914928197022,0.11881671100854874
6,400,1,0.01,3,100,11891,0.5,0.9992495775222778,0.0007623120909556746,0.02760999983621287,0.1457631140947342
7,400,1,0.01,3,100,11891,0.5,0.9985451102256775,0.0014778953045606613,0.038443403914854644,0.1857960969209671
8,400,1,0.01,3,100,11891,0.5,0.9992967844009399,0.0007143552065826952,0.026727424241454606,0.12544439733028412
9,400,1,0.01,3,100,11891,0.5,0.9994189739227295,0.000590226729400456,0.024294582305535856,0.15509222447872162
10,400,1,0.01,3,100,11891,0.5,0.9993801712989807,0.0006296696956269443,0.02509322011275046,0.10850416123867035
11,400,1,0.01,3,100,11891,0.5,0.999493420124054,0.0005145754548721015,0.022684255660525905,0.16543638706207275
12,400,1,0.01,3,100,11891,0.5,0.9992113709449768,0.0008011384634301066,0.02830438947283807,0.14546333253383636
13,400,1,0.01,3,100,11891,0.5,0.9990845918655396,0.0009299044613726437,0.030494334906218952,0.21455101668834686
14,400,1,0.01,3,100,11891,0.5,0.9992473721504211,0.0007645360310561955,0.02765024468347786,0.11453720927238464
15,400,1,0.01,3,100,11891,0.5,0.9992614388465881,0.0007502690423280001,0.027391039453222656,0.17678306996822357
16,400,1,0.01,3,100,11891,0.5,0.999578595161438,0.0004280682187527418,0.02068980953882229,0.08799184113740921
17,400,1,0.01,3,100,11891,0.5,0.9991943836212158,0.0008183723548427224,0.028607208092414793,0.09802548587322235
18,400,1,0.01,3,100,11891,0.5,0.9993497729301453,0.0006605291273444891,0.025700761221109564,0.15218611061573029
19,400,1,0.01,3,100,11891,0.5,0.9992724061012268,0.0007391180261038244,0.027186725181673213,0.1855068802833557
20,400,1,0.01,3,100,11891,0.5,0.9994176030158997,0.0005916106165386736,0.024323047024143042,0.16125424206256866
21,400,1,0.01,3,100,11891,0.5,0.9993643164634705,0.0006457386189140379,0.02541138758340516,0.16544918715953827
22,400,1,0.01,3,100,11891,0.5,0.9992034435272217,0.0008091569179669023,0.02844568364386594,0.1410057544708252
23,400,1,0.01,3,100,11891,0.5,0.9993178248405457,0.00069295713910833,0.026324079074268297,0.10115969926118851
24,400,1,0.01,3,100,11891,0.5,0.9994776248931885,0.0005306571838445961,0.023035997565649207,0.12240265309810638
25,400,1,0.01,3,100,11891,0.5,0.9992859363555908,0.0007253699586726725,0.02693269311956516,0.17049673199653625
26,400,1,0.01,3,100,11891,0.5,0.9992491602897644,0.0007627427694387734,0.027617798055579547,0.17108236253261566
27,400,1,0.01,3,100,11891,0.5,0.9993374347686768,0.0006730316090397537,0.025942852754463102,0.1239762231707573
28,400,1,0.01,3,100,11891,0.5,0.9992513060569763,0.0007605406572110951,0.027577901610004615,0.13229867815971375
29,400,1,0.01,3,100,11891,0.5,0.9993483424186707,0.0006619641790166497,0.025728664540093208,0.12303678691387177
30,400,1,0.01,3,100,11891,0.5,0.9993218779563904,0.0006888825446367264,0.02624657205496989,0.1180650144815445
1,400,1,0.01,3,100,23783,1.0,0.9993951916694641,0.0006144138751551509,0.024787373300839098,0.16593661904335022
2,400,1,0.01,3,100,23783,1.0,0.9993398189544678,0.0006706233252771199,0.02589639599012032,0.19952304661273956
3,400,1,0.01,3,100,23783,1.0,0.9994694590568542,0.0005389387952163815,0.023215055356737395,0.10457239300012589
4,400,1,0.01,3,100,23783,1.0,0.9995188117027283,0.0004888330586254597,0.022109569390321913,0.07981116324663162
5,400,1,0.01,3,100,23783,1.0,0.9995807409286499,0.00042586986091919243,0.02063661457020488,0.12026914954185486
6,400,1,0.01,3,100,23783,1.0,0.9978466629981995,0.0021874194499105215,0.04676985621006891,0.19930019974708557
7,400,1,0.01,3,100,23783,1.0,0.9994528889656067,0.00055579689797014,0.023575345129396092,0.19818855822086334
8,400,1,0.01,3,100,23783,1.0,0.9995834827423096,0.0004231144266668707,0.02056974542056539,0.10261905938386917
9,400,1,0.01,3,100,23783,1.0,0.9994059801101685,0.0006033974350430071,0.024564149385700437,0.15850435197353363
10,400,1,0.01,3,100,23783,1.0,0.9992366433143616,0.0007754350663162768,0.027846634739520624,0.12885695695877075
11,400,1,0.01,3,100,23783,1.0,0.9995301365852356,0.0004773286927957088,0.021847853276596964,0.15154539048671722
12,400,1,0.01,3,100,23783,1.0,0.9995497465133667,0.0004574069462250918,0.0213870742792251,0.09988538920879364
13,400,1,0.01,3,100,23783,1.0,0.9995830655097961,0.0004235391679685563,0.020580067248883234,0.11958806961774826
14,400,1,0.01,3,100,23783,1.0,0.9996870756149292,0.0003178485494572669,0.017828307532047647,0.11700181663036346
15,400,1,0.01,3,100,23783,1.0,0.9993926286697388,0.0006169828702695668,0.024839139885864944,0.14435012638568878
16,400,1,0.01,3,100,23783,1.0,0.999568521976471,0.0004382938495837152,0.020935468697493142,0.10990090668201447
17,400,1,0.01,3,100,23783,1.0,0.9994765520095825,0.00053171202307567,0.023058881652753025,0.17922210693359375
18,400,1,0.01,3,100,23783,1.0,0.9992069602012634,0.0008055869839154184,0.028382864265528565,0.21003884077072144
19,400,1,0.01,3,100,23783,1.0,0.9995516538619995,0.0004554344341158867,0.021340909870853367,0.11283368617296219
20,400,1,0.01,3,100,23783,1.0,0.9992539286613464,0.0007578906370326877,0.027529813603304466,0.14214260876178741
21,400,1,0.01,3,100,23783,1.0,0.9994024038314819,0.0006070628296583891,0.024638645045099154,0.10165934264659882
22,400,1,0.01,3,100,23783,1.0,0.999484658241272,0.0005235288990661502,0.022880753900738283,0.10240903496742249
23,400,1,0.01,3,100,23783,1.0,0.999183714389801,0.0008291812264360487,0.028795507052942284,0.12382352352142334
24,400,1,0.01,3,100,23783,1.0,0.999284029006958,0.0007273122319020331,0.026968726924013916,0.16290509700775146
25,400,1,0.01,3,100,23783,1.0,0.9994689226150513,0.000539477274287492,0.023226650087507066,0.1316927969455719
26,400,1,0.01,3,100,23783,1.0,0.9992148280143738,0.000797575106844306,0.028241372254979146,0.12885381281375885
27,400,1,0.01,3,100,23783,1.0,0.999481201171875,0.0005270024994388223,0.022956535005066035,0.142403244972229
28,400,1,0.01,3,100,23783,1.0,0.999640941619873,0.00036474436637945473,0.019098281765107947,0.11835889518260956
29,400,1,0.01,3,100,23783,1.0,0.9995255470275879,0.00048194712144322693,0.02195329409093831,0.09856075048446655
30,400,1,0.01,3,100,23783,1.0,0.9996092319488525,0.00039697543252259493,0.019924242332460096,0.11036749184131622
