seed,max_neurons,layers,lr,unlock_layers,epoch,n_samples,data_fraction,Jou_score,Jou_mse,Jou_rmse,Jou_mape
1,390,1,0.01,3,100,2378,0.1,0.9970724582672119,0.0029769022949039936,0.05456099609523266,0.2502029836177826
2,390,1,0.01,3,100,2378,0.1,0.9974040389060974,0.0026397572364658117,0.05137856787091104,0.24971309304237366
3,390,1,0.01,3,100,2378,0.1,0.9976532459259033,0.002386355074122548,0.04885033340850959,0.17001983523368835
4,390,1,0.01,3,100,2378,0.1,0.9976343512535095,0.00240554241463542,0.0490463292676977,0.23981636762619019
5,390,1,0.01,3,100,2378,0.1,0.997260332107544,0.0027859117835760117,0.05278173721635175,0.318462073802948
6,390,1,0.01,3,100,2378,0.1,0.9975178837776184,0.0025239901151508093,0.050239328370817314,0.35990023612976074
7,390,1,0.01,3,100,2378,0.1,0.997035562992096,0.0030144660267978907,0.05490415309243819,0.2878146171569824
8,390,1,0.01,3,100,2378,0.1,0.997206449508667,0.002840654458850622,0.05329779037493602,0.22988830506801605
9,390,1,0.01,3,100,2378,0.1,0.9970254898071289,0.003024706384167075,0.05499733070038104,0.24582968652248383
10,390,1,0.01,3,100,2378,0.1,0.9972490072250366,0.0027974131517112255,0.052890577154264685,0.2802358567714691
11,390,1,0.01,3,100,2378,0.1,0.996656596660614,0.003399812849238515,0.05830791412182839,0.26202282309532166
12,390,1,0.01,3,100,2378,0.1,0.9973856806755066,0.0026584449224174023,0.0515601097983451,0.3644152283668518
13,390,1,0.01,3,100,2378,0.1,0.9974595904350281,0.0025832923129200935,0.05082609873795247,0.3082432746887207
14,390,1,0.01,3,100,2378,0.1,0.9976815581321716,0.002357534132897854,0.048554445037481936,0.3762650191783905
15,390,1,0.01,3,100,2378,0.1,0.9974019527435303,0.002641863888129592,0.051399065051123176,0.306600958108902
16,390,1,0.01,3,100,2378,0.1,0.9977676868438721,0.002269958145916462,0.04764407776331138,0.2217216193675995
17,390,1,0.01,3,100,2378,0.1,0.9981305599212646,0.0019009893294423819,0.043600336345518964,0.2495993971824646
18,390,1,0.01,3,100,2378,0.1,0.9976382851600647,0.002401540754362941,0.04900551759101153,0.341688871383667
19,390,1,0.01,3,100,2378,0.1,0.9976631999015808,0.0023762190248817205,0.04874647705098001,0.30069294571876526
20,390,1,0.01,3,100,2378,0.1,0.9976671934127808,0.002372161718085408,0.04870484286069927,0.30389153957366943
21,390,1,0.01,3,100,2378,0.1,0.9970401525497437,0.0030098005663603544,0.054861649322275705,0.3541315793991089
22,390,1,0.01,3,100,2378,0.1,0.9968475699424744,0.003205616259947419,0.05661816192660637,0.31252145767211914
23,390,1,0.01,3,100,2378,0.1,0.9954845309257507,0.004591616801917553,0.06776146989194931,0.3310851752758026
24,390,1,0.01,3,100,2378,0.1,0.998077929019928,0.0019544840324670076,0.04420954684756458,0.18393445014953613
25,390,1,0.01,3,100,2378,0.1,0.9976885318756104,0.002350440714508295,0.04848134398413781,0.2912469804286957
