ft_neurons,ft_layers,lr,epochs,hys_score,hys_mse,hys_mape,time
10,1,0.001,100,0.9963455200195312,0.0035621824208647013,0.9333593845367432,2026-02-03 12:38:11.995597
10,1,0.0005,100,0.9973874688148499,0.002546536037698388,0.9880392551422119,2026-02-03 12:38:38.341508
10,2,0.001,100,0.9976282119750977,0.002311876742169261,0.3299002945423126,2026-02-03 12:39:06.534988
10,2,0.0005,100,0.9973541498184204,0.00257901125587523,1.1762595176696777,2026-02-03 12:39:34.578068
20,1,0.001,100,0.9968633651733398,0.0030574144329875708,0.6217479109764099,2026-02-03 12:40:01.562160
20,1,0.0005,100,0.9971584677696228,0.002769752871245146,0.7713595628738403,2026-02-03 12:40:27.011399
20,2,0.001,100,0.9967302083969116,0.0031872037798166275,1.4438976049423218,2026-02-03 12:40:52.367554
20,2,0.0005,100,0.9969714283943176,0.002952050184831023,0.509964644908905,2026-02-03 12:41:17.575538
30,1,0.001,100,0.9966226816177368,0.0032919878140091896,1.605940341949463,2026-02-03 12:41:41.599682
30,1,0.0005,100,0.9971292018890381,0.002798289991915226,2.392364025115967,2026-02-03 12:42:06.012184
30,2,0.001,100,0.9972160458564758,0.0027136525604873896,0.697493314743042,2026-02-03 12:42:32.027369
30,2,0.0005,100,0.997018575668335,0.002906131325289607,0.412852942943573,2026-02-03 12:42:57.922402
40,1,0.001,100,0.9971193671226501,0.00280784978531301,0.4606778919696808,2026-02-03 12:43:22.207044
40,1,0.0005,100,0.997033953666687,0.0028911172412335873,1.4235185384750366,2026-02-03 12:43:49.667320
40,2,0.001,100,0.9974157214164734,0.0025190142914652824,0.7850846648216248,2026-02-03 12:44:19.446559
40,2,0.0005,100,0.9969078302383423,0.0030140404123812914,1.0993245840072632,2026-02-03 12:44:49.355889
50,1,0.001,100,0.9975276589393616,0.002409868175163865,1.0651769638061523,2026-02-03 12:45:17.416646
50,1,0.0005,100,0.997050404548645,0.002875058213248849,0.6168453097343445,2026-02-03 12:45:45.395152
50,2,0.001,100,0.9965981841087341,0.0033158620353788137,0.5735682845115662,2026-02-03 12:46:15.750063
50,2,0.0005,100,0.9972787499427795,0.002652482595294714,1.0190773010253906,2026-02-03 12:46:46.259710
60,1,0.001,100,0.9976451992988586,0.002295292913913727,0.5538953542709351,2026-02-03 12:47:14.637581
60,1,0.0005,100,0.9973530769348145,0.0025800748262554407,0.6957263946533203,2026-02-03 12:47:43.235821
60,2,0.001,100,0.9973740577697754,0.002559636253863573,1.1394269466400146,2026-02-03 12:48:10.782991
60,2,0.0005,100,0.9974488615989685,0.0024866722524166107,1.1283760070800781,2026-02-03 12:48:40.608207
70,1,0.001,100,0.996822714805603,0.0030970503576099873,1.1362709999084473,2026-02-03 12:49:08.480966
70,1,0.0005,100,0.9971969127655029,0.002732297172769904,0.3818015158176422,2026-02-03 12:49:34.175601
70,2,0.001,100,0.9959810972213745,0.003917386755347252,1.0439881086349487,2026-02-03 12:50:02.113294
70,2,0.0005,100,0.9971047043800354,0.0028221711982041597,0.4235611855983734,2026-02-03 12:50:29.969855
80,1,0.001,100,0.9951612949371338,0.004716481082141399,1.8509622812271118,2026-02-03 12:50:55.520530
80,1,0.0005,100,0.9972004294395447,0.0027288724668323994,0.8897234201431274,2026-02-03 12:51:21.082756
80,2,0.001,100,0.9968230724334717,0.003096657805144787,1.7463594675064087,2026-02-03 12:51:49.220932
80,2,0.0005,100,0.9971025586128235,0.0028242571279406548,0.945690393447876,2026-02-03 12:52:17.788095
90,1,0.001,100,0.9974216818809509,0.002513160463422537,1.5095487833023071,2026-02-03 12:52:47.645045
90,1,0.0005,100,0.9968318939208984,0.0030880842823535204,1.8148685693740845,2026-02-03 12:53:17.339634
90,2,0.001,100,0.9970723986625671,0.002853650599718094,0.4538978934288025,2026-02-03 12:53:46.049062
90,2,0.0005,100,0.9975395798683167,0.0023982799611985683,0.4017568528652191,2026-02-03 12:54:14.885857
100,1,0.001,100,0.9974167943000793,0.002517928136512637,0.6517333984375,2026-02-03 12:54:40.878557
100,1,0.0005,100,0.9964528679847717,0.0034575180616229773,0.8812726736068726,2026-02-03 12:55:07.084970
100,2,0.001,100,0.9975515007972717,0.0023866717237979174,1.448262095451355,2026-02-03 12:55:36.338995
100,2,0.0005,100,0.9975263476371765,0.0024111499078571796,0.46282124519348145,2026-02-03 12:56:06.018819
110,1,0.001,100,0.997717022895813,0.0022253345232456923,0.8372393250465393,2026-02-03 12:56:32.721513
110,1,0.0005,100,0.9893977642059326,0.010334430262446404,3.6066155433654785,2026-02-03 12:56:59.271042
110,2,0.001,100,0.9975166916847229,0.0024205984082072973,1.2905784845352173,2026-02-03 12:57:29.265043
110,2,0.0005,100,0.9965182542800903,0.0033938093110919,1.0340183973312378,2026-02-03 12:57:59.037541
120,1,0.001,100,0.9978771805763245,0.0020692232064902782,1.0490587949752808,2026-02-03 12:58:25.692481
120,1,0.0005,100,0.9973391890525818,0.002593579702079296,0.4666445255279541,2026-02-03 12:58:52.239582
120,2,0.001,100,0.9978367686271667,0.002108608838170767,0.8470097184181213,2026-02-03 12:59:22.348089
120,2,0.0005,100,0.9970118403434753,0.002912654308602214,0.5101932883262634,2026-02-03 12:59:52.418613
130,1,0.001,100,0.9977368712425232,0.0022059339098632336,0.572255551815033,2026-02-03 13:00:20.240960
130,1,0.0005,100,0.9964188933372498,0.0034906549844890833,0.6300763487815857,2026-02-03 13:00:51.459759
130,2,0.001,100,0.9974463582038879,0.0024891113862395287,1.3812776803970337,2026-02-03 13:01:26.542120
130,2,0.0005,100,0.9969722032546997,0.0029512885957956314,0.7514051198959351,2026-02-03 13:02:02.561686
140,1,0.001,100,0.9963818788528442,0.0035267409402877092,1.988967776298523,2026-02-03 13:02:34.649243
140,1,0.0005,100,0.9967448711395264,0.003172915196046233,0.3944210708141327,2026-02-03 13:03:05.596910
140,2,0.001,100,0.997921884059906,0.0020256340503692627,0.34622105956077576,2026-02-03 13:03:40.246295
